/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-discreteEval-LRreset_tb.csv,row_average
3.988487958908081,3.9376392364501953,3.949867486953736,4.077922821044922,3.96950101852417,3.985663414001465,4.045515060424805,3.952180862426758,3.9801993370056152,3.919471502304077,3.980644869804382
3.694902896881104,3.690399885177612,3.732110500335693,3.7961618900299072,3.796899080276489,3.7077949047088623,3.7575972080230713,3.710325241088867,3.758207321166992,3.7606935501098633,3.7405092477798463
3.5484330654144287,3.4997501373291016,3.5875532627105717,3.517214775085449,3.481905460357666,3.602363109588623,3.5407440662384038,3.5433945655822754,3.53240704536438,3.5635712146759038,3.54173367023468
3.304546356201172,3.3578357696533203,3.4394497871398926,3.300457000732422,3.43118667602539,3.3286471366882324,3.5471720695495605,3.3046975135803223,3.3322720527648926,3.3984808921813965,3.37447452545166
3.1672987937927246,3.2121007442474365,3.183563709259033,3.149123430252075,3.2910866737365723,3.284123420715332,3.195916652679444,3.169801712036133,3.2274465560913086,3.158421277999878,3.2038882970809937
3.055346727371216,3.069963932037353,3.013549566268921,3.10556435585022,3.1179959774017334,3.056107759475708,3.1341707706451416,3.121522903442383,3.021998643875122,3.0387353897094727,3.073495602607727
2.875929832458496,2.9337949752807617,2.894427537918091,2.914926052093506,3.02655029296875,2.9274160861968994,2.9974524974823,2.975957155227661,3.0028531551361084,2.963510274887085,2.951281785964966
2.7925405502319336,2.8045427799224854,2.8259968757629395,2.87214469909668,2.869800329208374,2.8460018634796143,2.8494069576263428,2.841334104537964,2.883479595184326,2.881524085998535,2.8466771841049194
2.713423013687134,2.705191373825073,2.8187594413757324,2.728868007659912,2.749032020568848,2.836321353912353,2.7983222007751465,2.7059803009033203,2.763334274291992,2.692582368850708,2.751181435585022
2.6381893157958984,2.7271533012390137,2.6034603118896484,2.63592791557312,2.69750452041626,2.6847712993621826,2.772094249725342,2.666572570800781,2.651845693588257,2.6186540126800537,2.6696173191070556
2.7002739906311035,2.5197696685791016,2.5424671173095703,2.4995970726013184,2.714886426925659,2.614376306533813,2.5821237564086914,2.5711007118225098,2.574421167373657,2.5620758533477783,2.5881092071533205
2.470968246459961,2.4726479053497314,2.4413061141967773,2.4989633560180664,2.583007574081421,2.457810640335083,2.5660645961761475,2.465623140335083,2.4941794872283936,2.507279634475708,2.4957850694656374
2.439747095108032,2.3711066246032715,2.402250289916992,2.4935302734375,2.503225564956665,2.417473793029785,2.4177684783935547,2.473732709884644,2.4171154499053955,2.412752151489258,2.4348702430725098
2.3995604515075684,2.361515045166016,2.4154510498046875,2.388455390930176,2.432837009429932,2.350313663482666,2.3338065147399902,2.361712455749512,2.347203731536865,2.484662771224976,2.3875518083572387
2.3161184787750244,2.2423341274261475,2.3140947818756104,2.358859062194824,2.498206377029419,2.409083127975464,2.34619665145874,2.335758924484253,2.299923181533813,2.301133155822754,2.342170786857605
2.3191964626312256,2.2474069595336914,2.246786117553711,2.3848073482513428,2.405205249786377,2.35071063041687,2.300455093383789,2.2879295349121094,2.215543508529663,2.292886734008789,2.305092763900757
2.34598159790039,2.199453592300415,2.1697676181793213,2.25028657913208,2.3063745498657227,2.268896102905273,2.230167388916016,2.271183013916016,2.191476821899414,2.2708899974823,2.250447726249695
2.2148633003234863,2.1540892124176025,2.154311418533325,2.184316396713257,2.2743048667907715,2.1741886138916016,2.1934101581573486,2.194514513015747,2.247208833694458,2.232590436935425,2.2023797750473024
2.1809239387512207,2.1161577701568604,2.1489830017089844,2.1499030590057373,2.2187750339508057,2.138959646224976,2.1737754344940186,2.1755666732788086,2.1671645641326904,2.16866135597229,2.163887047767639
2.12386155128479,2.169210433959961,2.065495491027832,2.118065357208252,2.201454401016236,2.1648519039154053,2.1889920234680176,2.1179449558258057,2.1540749073028564,2.086900472640991,2.1390851497650147
2.10817813873291,2.033109426498413,2.088977575302124,2.2151448726654053,2.1821377277374268,2.113842725753784,2.1227569580078125,2.1591153144836426,2.090505599975586,2.199589490890503,2.1313357830047606
2.1270644664764404,2.096097707748413,2.070696353912353,2.01655650138855,2.1184329986572266,2.147549152374268,2.081453561782837,2.0939481258392334,2.0724899768829346,2.078939914703369,2.0903228759765624
2.0760295391082764,2.02394437789917,2.1124184131622314,2.065713167190552,2.087400436401367,2.080075740814209,2.081127643585205,2.054786205291748,2.1077513694763184,2.0460612773895264,2.0735308170318603
2.0452239513397217,1.987379550933838,1.984851598739624,2.044850826263428,2.026512384414673,2.025444269180298,2.122537851333618,2.0066654682159424,2.079609632492065,2.083268880844116,2.0406344413757322
2.017894983291626,2.01023006439209,2.0318660736083984,2.052872896194458,2.062097549438477,2.1283953189849854,2.008523941040039,2.0518836975097656,2.0118658542633057,1.9936528205871584,2.03692831993103
2.0282962322235107,1.9881294965744016,2.0568044185638428,2.000063419342041,2.0896553993225098,2.072707414627075,2.059706926345825,2.0304150581359863,1.981578230857849,1.977455735206604,2.0284812331199644
2.05134916305542,2.009654998779297,1.9906879663467407,2.01801872253418,2.083850383758545,2.067629814147949,2.08066463470459,1.991158366203308,1.9982975721359253,1.9761409759521484,2.0267452597618103
1.9879270792007449,1.9467628002166748,2.0357675552368164,1.938347101211548,1.996933460235596,1.953537940979004,1.9845737218856807,2.0373024940490723,2.023548126220703,1.988409399986267,1.9893109679222107
1.9981428384780884,1.977017283439636,2.012235164642334,2.06166934967041,2.0599594116210938,1.9784108400344849,2.010075330734253,1.9992767572402956,2.016141176223755,1.96355140209198,2.007647955417633
1.93453311920166,1.9319239854812624,2.104281425476074,2.002932071685791,1.975167751312256,1.920858383178711,1.924336075782776,1.960330843925476,2.034562587738037,1.9864451885223389,1.9775371432304383
2.0906612873077397,2.094502210617065,1.977077841758728,1.9992378950119016,1.9394235610961916,1.9524972438812256,1.9812349081039429,1.9744380712509155,2.016707181930542,1.9920244216918943,2.001780462265015
1.980929970741272,1.9683818817138672,1.9576834440231323,1.948216199874878,1.9829524755477903,2.032967090606689,1.95781683921814,1.9998772144317627,1.982813596725464,1.9927276372909544,1.980436635017395
1.9784895181655884,1.9833168983459477,2.0147666931152344,1.9653587341308596,2.044464349746704,1.943832516670227,2.028692483901977,1.9748799800872805,1.9867233037948608,1.986716866493225,1.9907241344451905
1.9877716302871704,2.0190117359161377,1.9959957599639893,1.958390712738037,1.9503213167190552,1.9368093013763428,1.9241905212402344,1.947417140007019,1.945827603340149,1.955654859542847,1.9621390581130982
1.9954683780670168,1.888452649116516,1.9324731826782229,1.965083122253418,2.0015430450439453,1.934363961219788,1.9965128898620603,1.917210817337036,2.027991533279419,1.995583176612854,1.9654682755470276
1.9811084270477293,1.9149783849716189,1.9898170232772827,2.0561139583587646,1.9491604566574097,2.02369236946106,1.9570835828781128,1.9446903467178345,2.04313325881958,2.029915571212769,1.988969337940216
2.0011441707611084,1.9725000858306885,1.9569331407547,1.909079432487488,2.001450061798096,1.972750663757324,1.932861328125,1.9563733339309688,1.9522453546524048,1.9562749862670896,1.9611612558364868
1.919315814971924,1.9227253198623655,1.9299840927124023,2.0861330032348637,2.0351059436798096,1.948848247528076,1.903658628463745,1.986661672592163,2.0180652141571045,1.94940185546875,1.9699899792671203
1.9957891702651975,1.9891870021820068,1.99837589263916,1.946864366531372,2.024286985397339,1.9247817993164065,1.89641273021698,2.011682271957397,1.9658807516098025,1.9431883096694944,1.9696449279785155
1.941430687904358,1.9512385129928589,1.8861467838287356,1.930770754814148,1.946466326713562,1.9185072183609009,1.8844130039215088,2.0135157108306885,2.005657196044922,1.9774742126464844,1.9455620408058167
1.9516812562942505,2.01222825050354,1.9669331312179563,1.931589245796204,1.895843505859375,1.8656219244003296,1.9443026781082156,1.9963109493255613,1.9712165594100952,1.8928918838500977,1.9428619384765624
2.0833754539489746,2.0202198028564453,1.9689470529556277,1.9656522274017332,1.9500538110733032,1.994875192642212,1.9428279399871824,1.922189474105835,2.010136127471924,1.913923501968384,1.977220058441162
1.901047110557556,1.931639075279236,1.9288543462753296,1.9131662845611568,2.034909725189209,2.0131678581237797,1.945241928100586,1.9721672534942627,2.0161776542663574,1.9920350313186648,1.9648406267166139
1.9518496990203855,1.8511768579483032,1.9020109176635744,1.9209065437316892,1.9492138624191284,1.901139736175537,1.9935258626937864,1.9505671262741089,1.980878591537476,1.9062421321868896,1.930751132965088
1.983647346496582,1.9540435075759888,1.9904931783676147,1.95402467250824,2.0083467960357666,1.9430336952209477,2.028306245803833,1.9406671524047847,1.9424251317977903,1.974735975265503,1.971972370147705
1.992552757263184,2.033721685409546,2.028984308242798,1.964150667190552,1.9208028316497805,1.914334297180176,1.9656519889831543,1.910142421722412,1.9821535348892207,1.9528268575668333,1.9665321350097655
1.9253153800964355,1.9335315227508545,1.9000883102416992,2.0323052406311035,1.921248435974121,1.948136329650879,1.928944945335388,2.005679130554199,1.9211878776550293,1.9394911527633667,1.9455928325653076
1.9960063695907595,1.9929033517837524,1.9057886600494385,1.9265507459640503,1.984040141105652,1.9837242364883425,1.8933613300323489,1.9757258892059328,1.989845633506775,1.981732487678528,1.9629678845405578
1.9513500928878784,2.0262084007263184,1.9709607362747192,1.923042058944702,1.9297828674316408,1.9846758842468264,1.970009207725525,1.9703140258789065,2.040431022644043,2.032329797744751,1.979910409450531
1.9336220026016235,1.9888914823532104,1.9438977241516116,2.010305166244507,1.8765485286712649,1.9200222492218015,1.879641056060791,2.011535406112671,2.0013620853424072,1.8956778049468996,1.9461503505706788
2.066176652908325,2.0043833255767822,2.055851459503174,1.9454385042190552,2.14418625831604,1.9685852527618408,1.9878685474395752,2.043434858322144,2.0138256549835205,2.000134229660034,2.022988474369049
1.9192594289779663,1.869403600692749,1.8265565633773804,1.9411389827728271,1.964208722114563,1.8919000625610352,1.8448069095611568,1.9735593795776367,1.835761308670044,2.046078681945801,1.9112673640251159
1.8752297163009644,2.034839153289795,1.847655296325684,1.800255537033081,1.9299092292785645,1.8358383178710935,1.8538358211517332,1.8586292266845703,1.8235559463500977,1.843805193901062,1.8703553438186646
1.8907281160354612,1.8024320602416992,1.8329837322235107,1.870807647705078,1.896305799484253,1.870210647583008,1.755153775215149,1.8360912799835205,1.8186907768249512,1.7946498394012451,1.8368053674697875
1.8343429565429688,1.878916621208191,1.7745254039764404,1.771512746810913,1.8624460697174072,1.850805401802063,1.816696524620056,1.882519483566284,1.8110439777374268,1.898439645767212,1.8381248831748962
1.892321348190308,1.7423334121704102,1.8427854776382449,1.8096470832824707,1.858139157295227,1.9242162704467771,1.777727723121643,1.805956482887268,1.8595536947250368,1.8035073280334477,1.8316187977790832
1.7286092042922974,1.853973388671875,1.835163116455078,1.9557374715805051,1.843819260597229,1.8002318143844604,1.7980387210845947,1.960101127624512,1.9076223373413088,1.891317129135132,1.8574613571166991
1.8490700721740725,1.7185289859771729,1.9232444763183596,1.902346134185791,1.8772845268249512,1.7559845447540283,1.9250493049621584,1.7577837705612185,1.906441330909729,1.8035244941711424,1.8419257640838622
1.8391412496566768,1.7474088668823242,1.8100054264068604,1.7760541439056396,1.8300994634628296,1.6728898286819458,1.8723814487457275,1.8382790088653564,1.7267643213272097,1.8258373737335205,1.7938861131668091
1.8144168853759768,1.701727032661438,1.7504172325134275,1.7033144235610962,1.7673615217208862,1.776146650314331,1.672069430351257,1.7121968269348145,1.8970493078231807,1.84370219707489,1.7638401508331298
1.8224589824676516,1.886163592338562,1.86253023147583,1.801342487335205,1.7700400352478027,1.751280665397644,1.7859768867492676,1.8057191371917725,1.8783154487609863,1.85768723487854,1.8221514701843262
1.6706360578536987,1.6410698890686035,1.7254270315170288,1.7840197086334229,1.706211805343628,1.6901386976242063,1.9077911376953125,1.9404079914093015,1.9253056049346924,1.7547250986099243,1.774573302268982
1.721734881401062,1.7260925769805908,1.7521235942840576,1.647186279296875,1.6970272064208984,1.7286463975906372,1.713346004486084,1.7095860242843628,1.7888604402542114,1.790167212486267,1.7274770617485047
