07/15 03:54:39PM parser.py:28 [INFO] 
07/15 03:54:39PM parser.py:29 [INFO] Parameters:
07/15 03:54:39PM parser.py:31 [INFO] ADVANCED=True
07/15 03:54:39PM parser.py:31 [INFO] BATCH_SIZE=64
07/15 03:54:39PM parser.py:31 [INFO] CIFAR=True
07/15 03:54:39PM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/15 03:54:39PM parser.py:31 [INFO] DATA_PATH=../data/
07/15 03:54:39PM parser.py:31 [INFO] DATASET=cifar100
07/15 03:54:39PM parser.py:31 [INFO] DESCRIPTION=pretrained_cosine_LR_features-0.001_classifier-0.01_warmup-50_50Epoch
07/15 03:54:39PM parser.py:31 [INFO] EPOCHS=50
07/15 03:54:39PM parser.py:31 [INFO] EXP_NAME=pretrained-20240715-155439
07/15 03:54:39PM parser.py:31 [INFO] GPUS=[0]
07/15 03:54:39PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/15 03:54:39PM parser.py:31 [INFO] LR=0.001
07/15 03:54:39PM parser.py:31 [INFO] LR_MIN=0.0001
07/15 03:54:39PM parser.py:31 [INFO] MODEL_NAME=efficientnet_b0
07/15 03:54:39PM parser.py:31 [INFO] MOMENTUM=0.9
07/15 03:54:39PM parser.py:31 [INFO] NAME=FINETUNE2
07/15 03:54:39PM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_b0/FINETUNE2/pretrained-20240715-155439
07/15 03:54:39PM parser.py:31 [INFO] PRETRAINED=True
07/15 03:54:39PM parser.py:31 [INFO] SAVE=pretrained
07/15 03:54:39PM parser.py:31 [INFO] SEED=0
07/15 03:54:39PM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/15 03:54:39PM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/15 03:54:39PM parser.py:31 [INFO] WORKERS=4
07/15 03:54:39PM parser.py:32 [INFO] 
07/15 03:54:40PM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/15 04:03:27午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 81.5600%
07/15 04:04:04午後 trainTeacher_main.py:209 [INFO] Train: [ 14/49] Final Prec@1 89.3800%
07/15 04:04:05午後 trainTeacher_main.py:237 [INFO] Valid: [ 14/49] Final Prec@1 82.1600%
07/15 04:04:05午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.1600%
07/15 04:04:41午後 trainTeacher_main.py:209 [INFO] Train: [ 15/49] Final Prec@1 89.6467%
07/15 04:04:42午後 trainTeacher_main.py:237 [INFO] Valid: [ 15/49] Final Prec@1 81.7600%
07/15 04:04:42午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.1600%
07/15 04:05:18午後 trainTeacher_main.py:209 [INFO] Train: [ 16/49] Final Prec@1 90.3333%
07/15 04:05:20午後 trainTeacher_main.py:237 [INFO] Valid: [ 16/49] Final Prec@1 81.6800%
07/15 04:05:20午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.1600%
07/15 04:05:56午後 trainTeacher_main.py:209 [INFO] Train: [ 17/49] Final Prec@1 90.7244%
07/15 04:05:57午後 trainTeacher_main.py:237 [INFO] Valid: [ 17/49] Final Prec@1 82.5000%
07/15 04:05:57午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.5000%
07/15 04:06:33午後 trainTeacher_main.py:209 [INFO] Train: [ 18/49] Final Prec@1 91.2756%
07/15 04:06:35午後 trainTeacher_main.py:237 [INFO] Valid: [ 18/49] Final Prec@1 82.7200%
07/15 04:06:35午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.7200%
07/15 04:07:11午後 trainTeacher_main.py:209 [INFO] Train: [ 19/49] Final Prec@1 91.7622%
07/15 04:07:12午後 trainTeacher_main.py:237 [INFO] Valid: [ 19/49] Final Prec@1 82.7000%
07/15 04:07:12午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.7200%
07/15 04:07:48午後 trainTeacher_main.py:209 [INFO] Train: [ 20/49] Final Prec@1 91.9044%
07/15 04:07:50午後 trainTeacher_main.py:237 [INFO] Valid: [ 20/49] Final Prec@1 82.4000%
07/15 04:07:50午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.7200%
07/15 04:08:26午後 trainTeacher_main.py:209 [INFO] Train: [ 21/49] Final Prec@1 92.1378%
07/15 04:08:27午後 trainTeacher_main.py:237 [INFO] Valid: [ 21/49] Final Prec@1 82.2600%
07/15 04:08:27午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.7200%
