/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-relaxEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analog-reset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-relaxEval-reset_tb.csv,row_average
4.357902050018311,4.265434741973877,4.247401714324951,4.284526348114014,4.262257099151611,4.252816200256348,4.295715808868408,4.237453460693359,4.292308807373047,4.231247425079346,4.272706365585327
3.898355722427368,3.854864835739136,3.8526880741119385,3.8752694129943848,3.856227159500122,3.866268396377564,3.892045259475708,3.8253657817840576,3.873355388641357,3.816972017288208,3.8611412048339844
3.66703200340271,3.615344524383545,3.620634078979492,3.635021448135376,3.613962173461914,3.638505458831787,3.639068841934204,3.584686756134033,3.629587411880493,3.589259147644043,3.62331018447876
3.4531285762786865,3.4135217666625977,3.4125890731811523,3.432535409927368,3.395706415176392,3.4297211170196533,4.268646717071533,3.3987841606140137,3.419399738311768,3.394700527191162,3.5018733501434327
3.268941879272461,3.240915536880493,3.235098600387573,3.2696144580841064,3.21586012840271,3.2453787326812744,3.803984880447388,3.2205395698547363,3.2195639610290527,3.223313331604004,3.2943211078643797
3.0993411540985107,3.071011543273926,3.045722246170044,3.112008571624756,3.0536670684814453,3.0826451778411865,3.5525221824646,3.045488119125366,3.054651498794556,3.0613386631011963,3.1178396224975584
2.962616205215454,2.93153977394104,2.889784097671509,2.9622201919555664,2.905754804611206,2.941121816635132,3.325744867324829,2.9014923572540283,2.9007680416107178,2.92343544960022,2.96444776058197
2.830673694610596,2.800084590911865,2.7624261379241943,2.826261281967163,2.7824954986572266,2.8140292167663574,3.1415553092956543,2.7815728187561035,2.7816238403320312,2.788759469985962,2.8309481859207155
2.70945143699646,2.6675825119018555,2.638312578201294,2.702941656112671,2.6680493354797363,2.6815502643585205,2.976368904113769,2.6521096229553223,2.6714775562286377,2.670165061950684,2.703800892829895
2.607196569442749,2.5599682331085205,2.531677007675171,2.595198392868042,2.539264678955078,2.576171398162842,2.8335328102111816,2.548160552978516,2.569545030593872,2.559843778610229,2.59205584526062
2.496873378753662,2.4474050998687744,2.426633596420288,2.4916791915893555,2.453740119934082,2.4711153507232666,2.708287239074707,2.4264490604400635,2.4632582664489746,2.456616163253784,2.4842057466506957
2.390186309814453,2.34975814819336,2.3294267654418945,2.404004573822021,2.34916090965271,2.365755081176758,2.5920541286468506,2.3355185985565186,2.3753552436828613,2.3640851974487305,2.3855304956436156
2.3088409900665283,2.254498243331909,2.241138696670532,2.313854455947876,2.2662253379821777,2.29037880897522,2.4787027835845947,2.245257616043091,2.281148195266724,2.2803120613098145,2.296035718917847
2.223203659057617,2.1865475177764893,2.172520160675049,2.237454891204834,2.1716244220733643,2.19801926612854,2.368401527404785,2.180030345916748,2.203610181808472,2.206190586090088,2.214760255813599
2.1453726291656494,2.107302188873291,2.0985770225524902,2.151477098464966,2.111103773117065,2.129406452178955,2.281672477722168,2.100494146347046,2.1426703929901123,2.1382176876068115,2.1406293869018556
2.060930728912353,2.038029909133911,2.027665615081787,2.076472520828247,2.038625717163086,2.052137851715088,2.2081291675567627,2.0328943729400635,2.062704563140869,2.0557706356048584,2.0653361082077026
2.011613607406616,1.970085620880127,1.9641779661178589,2.016946792602539,1.986261010169983,1.999825954437256,2.121995210647583,1.9553143978118896,2.000740528106689,2.01240873336792,2.0039369821548463
1.94596266746521,1.9073023796081543,1.903382420539856,1.9539825916290283,1.9195383787155151,1.937211990356445,2.051223993301392,1.9078748226165767,1.9358760118484497,1.9419453144073489,1.9404300570487976
