Wall time,Step,Value
1734551376.968105,391,3.8920867443084717
1734551377.0705175,0,3.8920867443084717
1734551475.080404,782,3.5859193801879883
1734551475.1972432,1,3.5859193801879883
1734551573.2637537,1173,3.337388277053833
1734551573.3713417,2,3.337388277053833
1734551671.2668262,1564,3.2502658367156982
1734551671.368887,3,3.2502658367156982
1734551769.2973444,1955,3.0121850967407227
1734551769.4003322,4,3.0121850967407227
1734551867.6829617,2346,2.852673292160034
1734551867.7824137,5,2.852673292160034
1734551965.9761658,2737,2.696140766143799
1734551966.0778766,6,2.696140766143799
1734552064.3561811,3128,2.593940019607544
1734552064.4730465,7,2.593940019607544
1734552162.4641256,3519,2.5119054317474365
1734552162.5696056,8,2.5119054317474365
1734552260.9741867,3910,2.4873270988464355
1734552261.0780702,9,2.4873270988464355
1734552358.944438,4301,2.4128599166870117
1734552359.0482426,10,2.4128599166870117
1734552456.9590814,4692,2.350080728530884
1734552457.0546544,11,2.350080728530884
1734552554.9724185,5083,2.4197423458099365
1734552555.0829458,12,2.4197423458099365
1734552652.984101,5474,2.2162978649139404
1734552653.0848074,13,2.2162978649139404
1734552751.0397925,5865,2.20661997795105
1734552751.169305,14,2.20661997795105
1734552849.4309633,6256,2.1378087997436523
1734552849.5378428,15,2.1378087997436523
1734552947.900338,6647,2.108205795288086
1734552948.009342,16,2.108205795288086
1734553046.0392897,7038,2.0582478046417236
1734553046.1411934,17,2.0582478046417236
1734553144.4865298,7429,2.063361644744873
1734553144.5878842,18,2.063361644744873
1734553242.4095416,7820,2.0615999698638916
1734553242.5161982,19,2.0615999698638916
1734553340.7153652,8211,2.0083842277526855
1734553340.8158429,20,2.0083842277526855
1734553439.4094706,8602,2.044394016265869
1734553439.5221436,21,2.044394016265869
1734553537.9266098,8993,1.949631690979004
1734553538.029845,22,1.949631690979004
1734553636.3441484,9384,1.902510166168213
1734553636.4348226,23,1.902510166168213
1734553734.3556986,9775,1.9200929403305054
1734553734.4480457,24,1.9200929403305054
1734553832.3554096,10166,2.036630392074585
1734553832.4516823,25,2.036630392074585
1734553930.2461298,10557,1.9112274646759033
1734553930.3437347,26,1.9112274646759033
1734554028.817643,10948,1.8877465724945068
1734554028.9090889,27,1.8877465724945068
1734554126.980983,11339,1.8856048583984375
1734554127.0792558,28,1.8856048583984375
1734554224.904439,11730,1.8588850498199463
1734554224.995377,29,1.8588850498199463
1734554322.887806,12121,1.8443524837493896
1734554322.983802,30,1.8443524837493896
1734554420.889477,12512,1.8421062231063843
1734554420.98254,31,1.8421062231063843
1734554518.9149773,12903,1.8838969469070435
1734554519.005087,32,1.8838969469070435
1734554616.7869942,13294,1.8432954549789429
1734554616.883651,33,1.8432954549789429
1734554715.6757216,13685,1.8247292041778564
1734554715.7616699,34,1.8247292041778564
1734554813.6792555,14076,1.834681749343872
1734554813.765127,35,1.834681749343872
1734554912.042474,14467,1.775217056274414
1734554912.1288598,36,1.775217056274414
