/home/miura/lab/KD-hdas/results/stat/11layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-L11_tb.csv,/home/miura/lab/KD-hdas/results/stat/11layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-L11_tb.csv,/home/miura/lab/KD-hdas/results/stat/11layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-L11_tb.csv,/home/miura/lab/KD-hdas/results/stat/11layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-L11_tb.csv,/home/miura/lab/KD-hdas/results/stat/11layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-L11_tb.csv,/home/miura/lab/KD-hdas/results/stat/11layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-L11_tb.csv,/home/miura/lab/KD-hdas/results/stat/11layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-L11_tb.csv,/home/miura/lab/KD-hdas/results/stat/11layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-L11_tb.csv,/home/miura/lab/KD-hdas/results/stat/11layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-L11_tb.csv,/home/miura/lab/KD-hdas/results/stat/11layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-L11_tb.csv,row_average
0.0944399982690811,0.1041999980807304,0.0979600027203559,0.0967599973082542,0.1116800010204315,0.1049999967217445,0.1015999987721443,0.1022399961948394,0.0993999987840652,0.1052799969911575,0.1018559984862804
0.1467199921607971,0.1731199920177459,0.1658799946308136,0.1485999971628189,0.158840000629425,0.1486400067806244,0.167600005865097,0.1578000038862228,0.1327199935913086,0.1589200049638748,0.1558839991688728
0.2183199971914291,0.2133200019598007,0.1925199925899505,0.207639992237091,0.2070000022649765,0.2149199992418289,0.2109600007534027,0.2209199965000152,0.2065600007772445,0.2118400037288665,0.21039999872446055
0.2327200025320053,0.2651999890804291,0.2535200119018554,0.2365199923515319,0.2506000101566314,0.2504400014877319,0.2153600007295608,0.2582800090312958,0.2386800050735473,0.2482399940490722,0.2449560016393661
0.2972800135612488,0.3084000051021576,0.2744399905204773,0.2699199914932251,0.2950400114059448,0.2691200077533722,0.2747600078582763,0.2992799878120422,0.2732400000095367,0.2942799925804138,0.2855760008096695
0.3046000003814697,0.3185999989509582,0.3137600123882293,0.3036400079727173,0.3287999927997589,0.2933999896049499,0.3102799952030182,0.3116799890995025,0.3263599872589111,0.2938799858093261,0.31049999594688416
0.3264800012111664,0.3555999994277954,0.2975200116634369,0.335999995470047,0.3421199917793274,0.3282000124454498,0.3295199871063232,0.3398799896240234,0.3508000075817108,0.3323200047016144,0.3338440001010895
0.3653999865055084,0.3598800003528595,0.3659999966621399,0.3581999838352203,0.3501200079917907,0.3695999979972839,0.3605599999427795,0.3546000123023987,0.3644799888134002,0.365119993686676,0.36139599680900575
0.3696799874305725,0.3829199969768524,0.3730799853801727,0.3781599998474121,0.3610799908638,0.385479986667633,0.3833999931812286,0.3862000107765198,0.3733200132846832,0.3682799935340881,0.37615999579429626
0.3976399898529053,0.3870799839496612,0.3911199867725372,0.3852800130844116,0.396120011806488,0.3787600100040436,0.3879199922084808,0.3869200050830841,0.4063999950885772,0.39028000831604,0.39075199961662294
0.4134399890899658,0.4170399904251098,0.4079999923706054,0.4131599962711334,0.4072000086307525,0.413560003042221,0.4013999998569488,0.4068399965763092,0.4309599995613098,0.4180800020694732,0.4129679977893829
0.4241999983787536,0.436599999666214,0.405239999294281,0.4233199954032898,0.4346799850463867,0.4124799966812134,0.4315199851989746,0.4163999855518341,0.4320800006389618,0.3997600078582763,0.42162799537181855
0.4170799851417541,0.4388799965381622,0.4319599866867065,0.431439995765686,0.43367999792099,0.4305199980735779,0.4156399965286255,0.4306400120258331,0.4370799958705902,0.4328799843788147,0.42997999489307404
0.4480400085449219,0.4455600082874298,0.4509600102901459,0.4463199973106384,0.429280012845993,0.452239990234375,0.428519994020462,0.4318400025367737,0.4401600062847137,0.4401200115680694,0.4413040041923523
0.4334399998188019,0.4578000009059906,0.4527199864387512,0.4301599860191345,0.4571200013160705,0.4481199979782104,0.4384799897670746,0.4353199899196625,0.4495199918746948,0.4264799952507019,0.4429159939289093
0.4652799963951111,0.456279993057251,0.4415600001811981,0.453359991312027,0.4582400023937225,0.459879994392395,0.4404399991035461,0.4553599953651428,0.4624399840831756,0.4618000090122223,0.45546399652957914
0.4574399888515472,0.458400011062622,0.4675599932670593,0.4703199863433838,0.4562000036239624,0.4655599892139435,0.451200008392334,0.4403199851512909,0.4623599946498871,0.4664799869060516,0.4595839947462082
0.4862000048160553,0.4788799881935119,0.4649199843406677,0.4691999852657318,0.4732800126075744,0.4611200094223022,0.4804399907588959,0.4776799976825714,0.466839998960495,0.4661999940872192,0.4724759966135025
