07/15 04:30:48PM parser.py:28 [INFO] 
07/15 04:30:48PM parser.py:29 [INFO] Parameters:
07/15 04:30:48PM parser.py:31 [INFO] ADVANCED=True
07/15 04:30:48PM parser.py:31 [INFO] BATCH_SIZE=64
07/15 04:30:48PM parser.py:31 [INFO] CIFAR=True
07/15 04:30:48PM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/15 04:30:48PM parser.py:31 [INFO] DATA_PATH=../data/
07/15 04:30:48PM parser.py:31 [INFO] DATASET=cifar100
07/15 04:30:48PM parser.py:31 [INFO] DESCRIPTION=pretrained_cosine_LR_features-0.001_classifier-0.01_warmup-50_50Epoch
07/15 04:30:48PM parser.py:31 [INFO] EPOCHS=50
07/15 04:30:48PM parser.py:31 [INFO] EXP_NAME=pretrained-20240715-163048
07/15 04:30:48PM parser.py:31 [INFO] GPUS=[0]
07/15 04:30:48PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/15 04:30:48PM parser.py:31 [INFO] LR=0.001
07/15 04:30:48PM parser.py:31 [INFO] LR_MIN=0.0001
07/15 04:30:48PM parser.py:31 [INFO] MODEL_NAME=efficientnet_v2_s
07/15 04:30:48PM parser.py:31 [INFO] MOMENTUM=0.9
07/15 04:30:48PM parser.py:31 [INFO] NAME=FINETUNE2
07/15 04:30:48PM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_v2_s/FINETUNE2/pretrained-20240715-163048
07/15 04:30:48PM parser.py:31 [INFO] PRETRAINED=True
07/15 04:30:48PM parser.py:31 [INFO] SAVE=pretrained
07/15 04:30:48PM parser.py:31 [INFO] SEED=0
07/15 04:30:48PM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/15 04:30:48PM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/15 04:30:48PM parser.py:31 [INFO] WORKERS=4
07/15 04:30:48PM parser.py:32 [INFO] 
07/15 04:30:54PM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/15 04:46:35午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 85.0600%
07/15 04:47:40午後 trainTeacher_main.py:209 [INFO] Train: [ 14/49] Final Prec@1 96.2600%
07/15 04:47:42午後 trainTeacher_main.py:237 [INFO] Valid: [ 14/49] Final Prec@1 85.1800%
07/15 04:47:42午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 85.1800%
07/15 04:48:47午後 trainTeacher_main.py:209 [INFO] Train: [ 15/49] Final Prec@1 96.7511%
07/15 04:48:49午後 trainTeacher_main.py:237 [INFO] Valid: [ 15/49] Final Prec@1 85.1200%
07/15 04:48:49午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 85.1800%
07/15 04:49:54午後 trainTeacher_main.py:209 [INFO] Train: [ 16/49] Final Prec@1 97.0333%
07/15 04:49:56午後 trainTeacher_main.py:237 [INFO] Valid: [ 16/49] Final Prec@1 85.1200%
07/15 04:49:56午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 85.1800%
07/15 04:51:01午後 trainTeacher_main.py:209 [INFO] Train: [ 17/49] Final Prec@1 97.2422%
07/15 04:51:03午後 trainTeacher_main.py:237 [INFO] Valid: [ 17/49] Final Prec@1 85.0200%
07/15 04:51:03午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 85.1800%
07/15 04:52:08午後 trainTeacher_main.py:209 [INFO] Train: [ 18/49] Final Prec@1 97.4400%
07/15 04:52:10午後 trainTeacher_main.py:237 [INFO] Valid: [ 18/49] Final Prec@1 84.9600%
07/15 04:52:10午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 85.1800%
07/15 04:53:15午後 trainTeacher_main.py:209 [INFO] Train: [ 19/49] Final Prec@1 97.7156%
07/15 04:53:17午後 trainTeacher_main.py:237 [INFO] Valid: [ 19/49] Final Prec@1 85.5800%
07/15 04:53:17午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 85.5800%
07/15 04:54:22午後 trainTeacher_main.py:209 [INFO] Train: [ 20/49] Final Prec@1 97.8733%
07/15 04:54:24午後 trainTeacher_main.py:237 [INFO] Valid: [ 20/49] Final Prec@1 85.2800%
07/15 04:54:24午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 85.5800%
07/15 04:55:29午後 trainTeacher_main.py:209 [INFO] Train: [ 21/49] Final Prec@1 97.8756%
07/15 04:55:31午後 trainTeacher_main.py:237 [INFO] Valid: [ 21/49] Final Prec@1 85.2000%
07/15 04:55:31午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 85.5800%
07/15 04:56:36午後 trainTeacher_main.py:209 [INFO] Train: [ 22/49] Final Prec@1 98.1200%
