/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-relaxEval-LRreset_tb.csv,row_average
4.235052108764648,4.29088306427002,4.301816940307617,4.233180999755859,4.285943508148193,4.321776866912842,4.283529758453369,4.249695777893066,4.343677997589111,4.268646717071533,4.281420373916626
3.8337366580963135,3.870339870452881,3.881751537322998,3.841100215911865,3.8911757469177246,3.878655910491944,3.8563711643218994,3.8201091289520255,3.9397053718566895,3.803984880447388,3.8616930484771728
3.602820873260498,3.6246840953826895,3.6261062622070312,3.5929739475250244,3.644646644592285,3.6411399841308594,3.599246025085449,3.585313558578491,3.6794629096984863,3.5525221824646,3.6148916482925415
3.3946373462677,3.4265265464782715,3.412365436553955,3.388706922531128,3.427814245223999,3.438412666320801,3.407146692276001,3.3920111656188965,3.464887380599976,3.325744867324829,3.4078253269195558
3.2218613624572754,3.254265546798706,3.213991641998291,3.219931125640869,3.237506628036499,3.2605409622192383,3.2183308601379395,3.2347283363342285,3.2717416286468506,3.1415553092956543,3.2274453401565553
3.057447910308838,3.0859851837158203,3.0425875186920166,3.058174133300781,3.086900234222412,3.0977883338928223,3.046028852462769,3.0808799266815186,3.107980966567993,2.976368904113769,3.064014196395874
2.9222571849823,2.9288246631622314,2.8899996280670166,2.911680221557617,2.9469780921936035,2.9569313526153564,2.8952341079711914,2.9457619190216064,2.9626331329345703,2.8335328102111816,2.9193833112716674
2.8017852306365967,2.798858404159546,2.758758068084717,2.7704436779022217,2.813270807266236,2.812506914138794,2.7786061763763428,2.812110185623169,2.826802968978882,2.708287239074707,2.788142967224121
2.6904373168945312,2.6848509311676025,2.644897937774658,2.659387588500977,2.7039499282836914,2.6913342475891118,2.660057783126831,2.695184230804444,2.7018275260925293,2.5920541286468506,2.6723981618881227
2.586705684661865,2.5653510093688965,2.542033672332764,2.5471487045288086,2.598674058914185,2.590072631835937,2.5584146976470947,2.5836610794067383,2.583702325820923,2.4787027835845947,2.5634466648101806
