/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-1_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-1_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-1_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-1_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-1_30-30_tb.csv,row_average
3.900982141494751,3.912846088409424,3.9589338302612314,3.952314138412476,4.003232002258301,3.9456616401672364
3.633203029632568,3.563530921936035,3.662297487258911,3.6297354698181152,3.606690168380737,3.6190914154052733
3.369521141052246,3.4838578701019287,3.423193454742432,3.400842666625977,3.357910394668579,3.4070651054382326
3.186293363571167,3.19282603263855,3.190607070922852,3.195148706436157,3.1881134510040283,3.190597724914551
2.9841198921203613,2.9999804496765137,2.936021089553833,2.995142698287964,3.063843250274658,2.995821475982666
2.888503074645996,2.813056468963623,2.880070447921753,2.8582780361175537,2.9433767795562744,2.87665696144104
2.7935070991516118,2.776301383972168,2.710756301879883,2.763272762298584,2.753573417663574,2.759482192993164
2.6021127700805664,2.637349843978882,2.6238107681274414,2.701738119125366,2.6474781036376958,2.64249792098999
2.616530656814575,2.5603151321411133,2.4870476722717285,2.543656587600708,2.582685708999634,2.558047151565552
2.4369919300079346,2.450741767883301,2.445241689682007,2.461364984512329,2.512298107147217,2.4613276958465575
2.4036333560943604,2.3889482021331787,2.35323429107666,2.4327096939086914,2.45818305015564,2.407341718673706
2.406447649002075,2.298950433731079,2.2592484951019287,2.30964994430542,2.397679090499878,2.3343951225280763
2.303053855895996,2.273109674453736,2.250906467437744,2.246524810791016,2.287804365158081,2.2722798347473145
2.233816385269165,2.192188024520874,2.165354013442993,2.382254838943481,2.256617784500122,2.246046209335327
2.18476939201355,2.1941049098968506,2.1595609188079834,2.1241886615753174,2.257631301879883,2.184051036834717
2.16750431060791,2.1318044662475586,2.1448652744293213,2.165237665176392,2.152962446212769,2.15247483253479
2.0950675010681152,2.086960792541504,2.07562255859375,2.111602783203125,2.113778591156006,2.0966064453125
2.0943920612335205,2.073419570922852,2.009646415710449,2.08990740776062,2.1055378913879395,2.074580669403076
2.029905080795288,2.028647184371948,2.0305371284484863,2.0164122581481934,2.129957437515259,2.047091817855835
2.005413055419922,1.96917736530304,2.0388097763061523,1.9737286567687988,2.0635550022125244,2.0101367712020872
2.041715621948242,2.01777720451355,1.95015287399292,1.9756271839141848,2.071651697158813,2.011384916305542
2.0427470207214355,2.0253655910491943,1.924232006072998,1.9480931758880613,2.05626916885376,1.9993413925170898
1.9478068351745603,1.9475362300872805,1.9492671489715576,1.9761159420013428,1.9306352138519287,1.950272274017334
1.9752867221832275,1.9389920234680176,1.9320605993270876,1.96833610534668,1.945361614227295,1.9520074129104614
1.94330096244812,1.9585877656936648,1.9190471172332764,1.90149188041687,1.993449568748474,1.943175458908081
1.9159806966781616,1.9863241910934448,1.883594393730164,1.9254722595214844,1.9806878566741943,1.9384118795394898
1.9353433847427368,1.858780026435852,1.886924147605896,1.9075711965560915,1.9135468006134035,1.900433111190796
1.8731919527053835,1.879974603652954,1.8784774541854856,1.863861441612244,1.9226783514022827,1.88363676071167
1.873407959938049,1.8468735218048096,1.839142680168152,1.8440958261489868,1.901294469833374,1.8609628915786742
