/home/miura/lab/KD-hdas/results/stat/0-50/g-1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g-1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g-1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g-1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g-1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-1_0-50_tb.csv,row_average
3.89167070388794,3.92527341842651,3.958253145217896,3.920159339904785,3.966207981109619,3.93231291770935
3.752746343612671,3.62981772422791,3.660045862197876,3.647228717803955,3.601093053817749,3.6581863403320325
3.406932830810547,3.43876051902771,3.547292470932007,3.444124698638916,3.566800355911255,3.480782175064087
3.185830593109131,3.21846652030945,3.3197271823883057,3.317905902862549,3.2514760494232178,3.2586812496185305
3.0188956260681152,3.07853055000305,3.125093460083008,3.104912042617798,3.074319362640381,3.0803502082824705
2.8934645652771,3.0329327583313,2.995591163635254,2.9447035789489746,2.966132402420044,2.9665648937225346
2.853726863861084,2.85082149505615,2.881766557693481,2.851284980773926,2.901888847351074,2.867897748947143
2.869506597518921,2.75120234489441,2.8350627422332764,2.776481866836548,2.723635673522949,2.791177845001221
2.6869513988494877,2.67945551872253,2.728010416030884,2.690405368804932,2.744312286376953,2.705826997756957
2.668301820755005,2.67138576507568,2.656245470046997,2.6415810585021973,2.610173463821411,2.649537515640258
2.625178813934326,2.5579559803009,2.658366680145264,2.566861152648926,2.5232601165771484,2.5863245487213127
2.4680869579315186,2.54712343215942,2.5320847034454346,2.5234487056732178,2.4870991706848145,2.511568593978881
2.42419958114624,2.51648497581482,2.504100799560547,2.4666640758514404,2.411592721939087,2.4646084308624268
