,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,手法名,試行数,,,,,,,,,,,,,,,,,,,,,,,,
,30-20カリキュラム,5,,,,,,,,,,,,,,,,,,,,,,,,
,11セルネットワーク,10,,,,,,,,,,,,,,,,,,,,,,,,
,20セルネットワーク,10,,,,,,,,,,,,,,,,,,,,,,,,
,32セルネットワーク,10,,,,,,,,,,,,,,,,,,,,,,,,
,32セル・制約項なし,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,seed,パラメタ数(K),MAC数(M),32セル・30−30カリキュラム（平均）,32セル・30−30カリキュラム,制約項重み(30-30カリキュラム),32セル・カリキュラムなし(平均),32セル・カリキュラムなし,制約項重み(カリキュラムなし),32セル・制約なし（平均）,32セル・制約なし,32セル・カリキュラムあり(平均),32セル・カリキュラムあり,制約項重み,11セル(平均),11セル,20セル（平均）,20セル,32セル（平均）,32セル,20セルアナログ（平均）,20セルアナログ,20セル（離散化リセット）（平均）,20セル（離散化リセット）,20セルアナログリセット（平均）,20セルアナログリセット
,3,543.788,9.565,,,,,,,,,,69.80%,γ=-0.01,,,,,,,,,,,,
,3,549.420,12.204,,,,,,,,,,68.92%,γ=-0.1,,,,,,,,,,,,
,3,689.132,13.309,,,,,,,,,,63.18%,γ=-1,,,,,,,,,,,,
,4,366.252,4.491,,,,,,,,,,68.59%,γ=1,,,,,,,,,,,,
,4,431.852,4.023,,,,,,,,,,68.34%,γ=0.1,,,,,,,,,,,,
,4,466.476,5.386,,,,,,,,,,68.71%,γ=0.01,,,,,,,,,,,,
,4,451.948,5.723,,,,,,,,,,69.62%,γ=0.001,,,,,,,,,,,,
,4,443.244,5.447,,,,,,,,,,68.93%,γ=-0.001,,,,,,,,,,,,
,4,466.540,9.791,,,,,,,,,,70.16%,γ=-0.01,,,,,,,,,,,,
,4,575.660,12.741,,,,,,,,,,68.52%,γ=-0.1,,,,,,,,,,,,
,4,691.564,13.313,,,,,,,,,,63.48%,γ=-1,,,,,,,,,,,,
,0,406.316,4.088,,,,,,,,,,,,,70.26%,,,,,,,,,,
,1,406.316,4.088,,,,,,,,,,,,,69.66%,,,,,,,,,,
,2,406.316,4.088,,,,,,,,,,,,,69.06%,,,,,,,,,,
,3,406.316,4.088,,,,,,,,,,,,,70.22%,,,,,,,,,,
,4,406.316,4.088,,,,,,,,,,,,,69.40%,,,,,,,,,,
,5,406.316,4.088,,,,,,,,,,,,,68.92%,,,,,,,,,,
,6,406.316,4.088,,,,,,,,,,,,,69.21%,,,,,,,,,,
,7,406.316,4.088,,,,,,,,,,,,,69.21%,,,,,,,,,,
,8,406.316,4.088,,,,,,,,,,,,,68.86%,,,,,,,,,,
,9,406.316,4.088,,,,,,,,,,,,,69.46%,,,,,,,,,,
,0,586.924,7.985,,,,,,,,,,,,,,,69.47%,,,,,,,,
,1,596.844,8.831,,,,,,,,,,,,,,,68.86%,,,,,,,,
,2,586.796,7.981,,,,,,,,,,,,,,,69.62%,,,,,,,,
,3,576.748,7.131,,,,,,,,,,,,, ,,68.85%,,,,,,,,
,4,596.972,8.835,,,,,,,,,,,,,,,69.85%,,,,,,,,
,5,597.228,8.837,,,,,,,,,,,,,,,69.40%,,,,,,,,
,6,576.748,7.131,,,,,,,,,,,,,,,69.09%,,,,,,,,
,7,586.796,7.981,,,,,,,,,,,,,,,69.06%,,,,,,,,
,8,596.844,8.831,,,,,,,,,,,,,,,70.02%,,,,,,,,
,9,597.100,8.834,,,,,,,,,,,,,,,69.15%,,,,,,,,
,0,837.740,14.024,,,,,,,,,,,,,,,,,68.67%,,,,,,
,1,837.484,14.022,,,,,,,,,,,,,,,,,68.15%,,,,,,
,2,837.996,14.026,,,,,,,,,,,,,,,,,69.11%,,,,,,
,3,837.996,14.027,,,,,,,,,,,,,,,,,67.27%,,,,,,
,4,817.644,12.324,,,,,,,,,,,,,,,,,67.36%,,,,,,
,5,838.124,14.030,,,,,,,,,,,,,,,,,67.36%,,,,,,
,6,838.124,14.032,,,,,,,,,,,,,,,,,67.59%,,,,,,
,7,838.252,14.029,,,,,,,,,,,,,,,,,67.94%,,,,,,
,8,837.740,14.024,,,,,,,,,,,,,,,,,68.71%,,,,,,
,9,827.948,13.176,,,,,,,,,,,,,,,,,68.25%,,,,,,
,0,424.172,6.382,,,,,,,,67.86%,,,,,,,,,,,,,,,
,1,431.852,4.023,,,,,,,,68.54%,,,,,,,,,,,,,,,
,2,504.300,5.577,,,,,,,,69.01%,,,,,,,,,,,,,,,
,3,466.476,5.386,,,,,,,,68.93%,,,,,,,,,,,,,,,
,4,489.900,5.918,,,,,,,,68.28%,,,,,,,,,,,,,,,
,0,356.716,3.652,,,,,0.6735,γ=1,,,,,,,,,,,,,,,,,
,0,394.284,3.834,,,,,0.68939,γ=0.1,,,,,,,,,,,,,,,,,
,0,356.204,3.641,,,,,0.680699,γ=0.01,,,,,,,,,,,,,,,,,
,0,505.068,9.399,,,,,0.69259,γ=0.001,,,,,,,,,,,,,,,,,
,0,398.636,6.447,,,,,0.687399,γ=-0.001,,,,,,,,,,,,,,,,,
,0,437.868,10.486,,,,,0.6699999,γ=-0.01,,,,,,,,,,,,,,,,,
,0,652.716,13.148,,,,,0.631399,γ=-0.1,,,,,,,,,,,,,,,,,
,0,846.700,14.129,,,,,0.6018999,γ=-1,,,,,,,,,,,,,,,,,
,1,357.356,3.652,,,,,0.6798999,γ=1,,,,,,,,,,,,,,,,,
,1,356.460,3.649,,,,,0.682799,γ=0.1,,,,,,,,,,,,,,,,,
,1,376.300,5.341,,,,,0.68679,γ=0.01,,,,,,,,,,,,,,,,,
,1,472.300,7.432,,,,,0.6842,γ=0.001,,,,,,,,,,,,,,,,,
,1,366.252,4.491,,,,,0.68239,γ=-0.001,,,,,,,,,,,,,,,,,
,1,462.828,11.004,,,,,0.685499,γ=-0.01,,,,,,,,,,,,,,,,,
