/home/miura/lab/KD-hdas/results/stat/0-50/g0.1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g0.1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g0.1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g0.1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g0.1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g0.1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g0.1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g0.1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g0.1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g0.1_0-50_tb.csv,row_average
3.90169095993042,3.924030542373657,3.944511651992798,3.961209535598755,3.940751075744629,3.9344387531280516
3.7282330989837646,3.646585464477539,3.5952236652374268,3.680320024490357,3.649749994277954,3.6600224494934084
3.273262023925781,3.3894598484039307,3.443977117538452,3.3700225353240967,3.3844659328460693,3.372237491607666
3.0708765983581543,3.1845593452453613,3.266331911087036,3.1624436378479004,3.2102208137512207,3.1788864612579344
2.9434926509857178,3.066664457321167,3.046020984649658,2.9940555095672607,3.0795044898986816,3.025947618484497
2.7775917053222656,2.8404574394226074,2.888284683227539,2.79443883895874,2.8911731243133545,2.8383891582489014
2.694460153579712,2.6759815216064453,2.76286244392395,2.7862865924835205,2.7849128246307373,2.7409007072448732
2.5334839820861816,2.59761643409729,2.703939199447632,2.626281976699829,2.588114023208618,2.60988712310791
2.518458604812622,2.4890637397766118,2.547980070114136,2.613986730575561,2.657514333724976,2.5654006958007813
2.45462417602539,2.430037021636963,2.475446939468384,2.391413688659668,2.4553298950195312,2.4413703441619874
2.351330280303955,2.3633415699005127,2.384101867675781,2.3955838680267334,2.429903984069824,2.3848523139953612
2.293074131011963,2.271864891052246,2.3140294551849365,2.2933809757232666,2.388920783996582,2.312254047393799
2.229642629623413,2.182826280593872,2.2835395336151123,2.2246224880218506,2.3406949043273926,2.2522651672363283
2.136468410491944,2.132948637008667,2.262518405914306,2.193697690963745,2.233917474746704,2.1919101238250733
2.2035491466522217,2.140979290008545,2.19702672958374,2.1240017414093018,2.2107269763946533,2.175256776809692
2.1203904151916504,2.06876802444458,2.155341386795044,2.117499589920044,2.154807806015014,2.1233614444732667
2.0224311351776123,2.0438265800476074,2.161804437637329,2.115940809249878,2.1122212409973145,2.091244840621948
2.006505489349365,2.04823637008667,2.059189558029175,2.0942907333374023,2.085601091384888,2.0587646484375
2.0301618576049805,1.989266395568848,2.1076931953430176,2.031779527664185,2.057044982910156,2.043189191818237
1.9769165515899656,2.00160551071167,2.104923725128174,1.9945292472839355,2.0549235343933105,2.026579713821411
1.959014654159546,2.054417610168457,2.0565545558929443,1.9589027166366575,2.057789087295532,2.0173357248306276
1.9870290756225584,1.9575821161270144,2.0008389949798584,1.9976179599761963,2.007079124450684,1.9900294542312622
1.908658623695373,1.8758212327957156,1.991806983947754,1.954317569732666,1.9309117794036863,1.932303237915039
1.898539423942566,1.9035604000091555,2.029033660888672,1.9469624757766724,1.9397841691970823,1.9435760259628296
1.9392166137695312,1.90531325340271,1.9141969680786133,1.8689910173416135,1.9646116495132449,1.9184659004211426
1.902389883995056,1.874719262123108,1.904977917671204,1.923547983169556,1.978341579437256,1.9167953252792358
1.8745042085647583,1.8678288459777832,1.9282422065734863,1.9045443534851076,1.9345735311508176,1.9019386291503906
