Wall time,Step,Value
1730655221.2851672,391,0.06663999706506729
1730655221.5777118,0,0.06663999706506729
1730655577.3856924,782,0.10307999700307846
1730655577.6395802,1,0.10307999700307846
1730655929.0694983,1173,0.13864000141620636
1730655929.360482,2,0.13864000141620636
1730656274.4654212,1564,0.19463999569416046
1730656274.741001,3,0.19463999569416046
1730656620.7798607,1955,0.2130800038576126
1730656620.9863756,4,0.2130800038576126
1730656976.9924004,2346,0.251120001077652
1730656977.2535713,5,0.251120001077652
1730657332.2130754,2737,0.26339998841285706
1730657332.4067094,6,0.26339998841285706
1730657686.9261496,3128,0.2879199981689453
1730657687.1903718,7,0.2879199981689453
1730658043.213088,3519,0.30831998586654663
1730658043.517202,8,0.30831998586654663
1730658386.4051297,3910,0.3287999927997589
1730658386.7417858,9,0.3287999927997589
1730658733.161106,4301,0.3470799922943115
1730658733.4489586,10,0.3470799922943115
1730659087.6109767,4692,0.36135998368263245
1730659087.8394246,11,0.36135998368263245
1730659443.1436925,5083,0.3670800030231476
1730659443.378357,12,0.3670800030231476
1730659798.8654659,5474,0.36875998973846436
1730659799.1791081,13,0.36875998973846436
1730660153.4259627,5865,0.40404000878334045
1730660153.670997,14,0.40404000878334045
1730660501.0231092,6256,0.4055599868297577
1730660501.2695825,15,0.4055599868297577
1730660843.714877,6647,0.41416001319885254
1730660843.9615176,16,0.41416001319885254
1730661199.7364893,7038,0.4235199987888336
1730661200.0010993,17,0.4235199987888336
1730661555.0951967,7429,0.4463599920272827
1730661555.41195,18,0.4463599920272827
1730661909.5178676,7820,0.44196000695228577
1730661909.7640233,19,0.44196000695228577
1730662265.1979988,8211,0.44047999382019043
1730662265.5076928,20,0.44047999382019043
1730662611.638363,8602,0.44435998797416687
1730662611.9483306,21,0.44435998797416687
1730662956.8528705,8993,0.44600000977516174
1730662957.1606667,22,0.44600000977516174
1730663308.9341679,9384,0.46992000937461853
1730663309.2092648,23,0.46992000937461853
1730663664.2141323,9775,0.4721199870109558
1730663664.4961302,24,0.4721199870109558
1730664020.0776176,10166,0.474480003118515
1730664020.371013,25,0.474480003118515
1730664374.0720341,10557,0.47332000732421875
1730664374.342285,26,0.47332000732421875
1730664725.2825933,10948,0.48524001240730286
1730664725.5543435,27,0.48524001240730286
1730665068.4530044,11339,0.46351999044418335
1730665068.788539,28,0.46351999044418335
1730665418.6856096,11730,0.46299999952316284
1730665418.9598944,29,0.46299999952316284
1730665774.2875183,12121,0.49531999230384827
1730665774.6066763,30,0.49531999230384827
1730666129.156543,12512,0.4925999939441681
1730666129.4133613,31,0.4925999939441681
1730666484.938694,12903,0.4875600039958954
1730666485.246378,32,0.4875600039958954
1730666836.8226483,13294,0.49796000123023987
1730666837.1476219,33,0.49796000123023987
1730667182.2506351,13685,0.49851998686790466
1730667182.5716708,34,0.49851998686790466
1730667530.6416075,14076,0.47224000096321106
1730667530.9703424,35,0.47224000096321106
1730667886.2798736,14467,0.510159969329834
1730667886.6049767,36,0.510159969329834
1730668242.791451,14858,0.49428001046180725
1730668243.0654325,37,0.49428001046180725
1730668596.0132258,15249,0.4790799915790558
1730668596.325449,38,0.4790799915790558
1730668952.1286197,15640,0.5134000182151794
1730668952.4447296,39,0.5134000182151794
1730669295.7340615,16031,0.5056800246238708
1730669296.041533,40,0.5056800246238708
1730669642.0594723,16422,0.5156400203704834
1730669642.373474,41,0.5156400203704834
1730669997.8555691,16813,0.5067999958992004
1730669998.0840604,42,0.5067999958992004
1730670352.346683,17204,0.5213199853897095
1730670352.647332,43,0.5213199853897095
1730670708.431482,17595,0.5105999708175659
1730670708.7062404,44,0.5105999708175659
1730671062.063013,17986,0.5097600221633911
1730671062.2980177,45,0.5097600221633911
1730671409.7797546,18377,0.5221199989318848
1730671410.061376,46,0.5221199989318848
1730671754.3907676,18768,0.49827998876571655
1730671754.667542,47,0.49827998876571655
1730672108.797673,19159,0.5123999714851379
1730672109.1164074,48,0.5123999714851379
1730672465.3011646,19550,0.5122799873352051
1730672465.6157136,49,0.5122799873352051
1730672742.6743388,20254,0.5108000040054321
1730672742.6755216,50,0.5108000040054321
1730673012.2675397,20958,0.5345999598503113
1730673012.2686572,51,0.5345999598503113
1730673282.7010114,21662,0.5361999869346619
1730673282.7021425,52,0.5361999869346619
1730673545.0125468,22366,0.5374000072479248
1730673545.0135705,53,0.5374000072479248
1730673806.808319,23070,0.5414000153541565
1730673806.809345,54,0.5414000153541565
1730674073.1168177,23774,0.5324000120162964
1730674073.1180303,55,0.5324000120162964
1730674342.7642841,24478,0.5320000052452087
1730674342.7655852,56,0.5320000052452087
1730674612.1190042,25182,0.5443999767303467
1730674612.1201684,57,0.5443999767303467
1730674882.6552415,25886,0.5464000105857849
1730674882.6564443,58,0.5464000105857849
1730675152.9291544,26590,0.5645999908447266
1730675152.9303463,59,0.5645999908447266
1730675422.4594123,27294,0.5270000100135803
1730675422.461032,60,0.5270000100135803
1730675686.8524418,27998,0.5658000111579895
1730675686.8536234,61,0.5658000111579895
1730675948.7232246,28702,0.5550000071525574
1730675948.7243397,62,0.5550000071525574
1730676211.4796958,29406,0.5590000152587891
1730676211.4810107,63,0.5590000152587891
1730676482.0604742,30110,0.5289999842643738
1730676482.0616453,64,0.5289999842643738
1730676752.4609132,30814,0.5303999781608582
1730676752.462128,65,0.5303999781608582
1730677020.8933892,31518,0.5667999982833862
1730677020.894578,66,0.5667999982833862
1730677291.5406222,32222,0.5507999658584595
1730677291.5423765,67,0.5507999658584595
1730677561.6174393,32926,0.5697999596595764
1730677561.6185422,68,0.5697999596595764
1730677825.807167,33630,0.5737999677658081
1730677825.8085093,69,0.5737999677658081
1730678087.6386425,34334,0.5709999799728394
1730678087.6397738,70,0.5709999799728394
1730678350.8185487,35038,0.564799964427948
1730678350.8196213,71,0.564799964427948
1730678620.0843906,35742,0.5740000009536743
1730678620.085456,72,0.5740000009536743
1730678889.7238524,36446,0.5769999623298645
1730678889.7250872,73,0.5769999623298645
1730679160.235942,37150,0.573199987411499
1730679160.2369828,74,0.573199987411499
1730679429.9603553,37854,0.5771999955177307
1730679429.961696,75,0.5771999955177307
1730679699.2770495,38558,0.5658000111579895
1730679699.2784061,76,0.5658000111579895
1730679966.138311,39262,0.5673999786376953
1730679966.1395636,77,0.5673999786376953
1730680227.7027216,39966,0.5848000049591064
1730680227.7041378,78,0.5848000049591064
1730680488.5255737,40670,0.5938000082969666
1730680488.5269277,79,0.5938000082969666
1730680758.9335396,41374,0.5450000166893005
1730680758.9346972,80,0.5450000166893005
1730681029.0976765,42078,0.5997999906539917
1730681029.0986037,81,0.5997999906539917
1730681297.6262934,42782,0.5885999798774719
1730681297.6274023,82,0.5885999798774719
1730681567.721745,43486,0.5920000076293945
1730681567.7228122,83,0.5920000076293945
1730681838.160537,44190,0.5875999927520752
1730681838.1618319,84,0.5875999927520752
1730682105.1486056,44894,0.5917999744415283
1730682105.1497526,85,0.5917999744415283
1730682367.394402,45598,0.5884000062942505
1730682367.3958175,86,0.5884000062942505
1730682629.1998274,46302,0.5981999635696411
1730682629.2009664,87,0.5981999635696411
1730682897.0727758,47006,0.5849999785423279
1730682897.0740066,88,0.5849999785423279
1730683166.3442042,47710,0.5945999622344971
1730683166.3453255,89,0.5945999622344971
1730683436.7768404,48414,0.5931999683380127
1730683436.7779245,90,0.5931999683380127
1730683706.7162337,49118,0.5817999839782715
1730683706.717178,91,0.5817999839782715
1730683975.7218125,49822,0.6037999987602234
1730683975.7229314,92,0.6037999987602234
1730684245.2671208,50526,0.5949999690055847
1730684245.2685401,93,0.5949999690055847
1730684506.6087549,51230,0.5938000082969666
1730684506.6100194,94,0.5938000082969666
1730684767.1515062,51934,0.599399983882904
1730684767.152687,95,0.599399983882904
1730685034.6516495,52638,0.6103999614715576
1730685034.6527448,96,0.6103999614715576
1730685305.4021668,53342,0.6143999695777893
1730685305.4033113,97,0.6143999695777893
1730685574.222554,54046,0.6096000075340271
1730685574.2236903,98,0.6096000075340271
1730685844.5395613,54750,0.5999999642372131
1730685844.5407262,99,0.5999999642372131
1730686115.1042092,55454,0.6010000109672546
1730686115.1052427,100,0.6010000109672546
1730686383.74467,56158,0.5989999771118164
1730686383.7457998,101,0.5989999771118164
1730686646.2645504,56862,0.6089999675750732
1730686646.2655835,102,0.6089999675750732
1730686908.3770857,57566,0.6101999878883362
1730686908.3783193,103,0.6101999878883362
1730687172.9470315,58270,0.6272000074386597
1730687172.9481497,104,0.6272000074386597
1730687442.7878044,58974,0.6168000102043152
1730687442.7890167,105,0.6168000102043152
1730687712.9572623,59678,0.6186000108718872
1730687712.958308,106,0.6186000108718872
1730687982.497136,60382,0.6304000020027161
1730687982.4982169,107,0.6304000020027161
1730688252.0868351,61086,0.6259999871253967
1730688252.0880482,108,0.6259999871253967
1730688522.7530413,61790,0.6259999871253967
1730688522.754384,109,0.6259999871253967
1730688785.2784648,62494,0.6294000148773193
1730688785.2796564,110,0.6294000148773193
1730689046.1692603,63198,0.6241999864578247
1730689046.1704762,111,0.6241999864578247
1730689311.3088863,63902,0.621999979019165
1730689311.309939,112,0.621999979019165
1730689580.6655028,64606,0.6243999600410461
1730689580.666733,113,0.6243999600410461
1730689849.3432105,65310,0.6222000122070312
1730689849.3443632,114,0.6222000122070312
1730690119.6992755,66014,0.6237999796867371
1730690119.7004025,115,0.6237999796867371
1730690389.9386687,66718,0.6322000026702881
1730690389.9396992,116,0.6322000026702881
1730690658.5789423,67422,0.6261999607086182
1730690658.5801253,117,0.6261999607086182
1730690923.4127007,68126,0.6297999620437622
1730690923.4141276,118,0.6297999620437622
1730691185.4879167,68830,0.6312000155448914
1730691185.4891882,119,0.6312000155448914
1730691447.5302424,69534,0.6269999742507935
1730691447.531372,120,0.6269999742507935
1730691717.622691,70238,0.6365999579429626
1730691717.6242483,121,0.6365999579429626
1730691991.588779,70942,0.6363999843597412
1730691991.5901403,122,0.6363999843597412
1730692260.807615,71646,0.6359999775886536
1730692260.808653,123,0.6359999775886536
1730692530.4554622,72350,0.6416000127792358
1730692530.456654,124,0.6416000127792358
1730692801.0516908,73054,0.6419999599456787
1730692801.0531282,125,0.6419999599456787
1730693067.4441004,73758,0.6367999911308289
1730693067.4453478,126,0.6367999911308289
1730693330.9147162,74462,0.6385999917984009
1730693330.9159675,127,0.6385999917984009
1730693593.803218,75166,0.6355999708175659
1730693593.8046334,128,0.6355999708175659
1730693867.474434,75870,0.63919997215271
1730693867.4754481,129,0.63919997215271
1730694136.2138376,76574,0.6383999586105347
1730694136.2148385,130,0.6383999586105347
1730694406.4384358,77278,0.6389999985694885
1730694406.4397385,131,0.6389999985694885
1730694676.475225,77982,0.6452000141143799
1730694676.4764662,132,0.6452000141143799
1730694945.4433935,78686,0.642799973487854
1730694945.4444444,133,0.642799973487854
1730695213.2587094,79390,0.6477999687194824
1730695213.2599304,134,0.6477999687194824
1730695475.424814,80094,0.6495999693870544
1730695475.4257815,135,0.6495999693870544
1730695736.258105,80798,0.6437999606132507
1730695736.2591777,136,0.6437999606132507
1730696004.7846787,81502,0.6407999992370605
1730696004.7858415,137,0.6407999992370605
1730696275.2578359,82206,0.640999972820282
1730696275.2589638,138,0.640999972820282
1730696544.2515996,82910,0.6452000141143799
1730696544.2527783,139,0.6452000141143799
1730696813.5611618,83614,0.646399974822998
1730696813.5621548,140,0.646399974822998
1730697083.5274441,84318,0.6437999606132507
1730697083.5285175,141,0.6437999606132507
1730697351.6848495,85022,0.6444000005722046
1730697351.6860187,142,0.6444000005722046
1730697612.9455914,85726,0.6502000093460083
1730697612.9510303,143,0.6502000093460083
1730697875.1531007,86430,0.6434000134468079
1730697875.1543314,144,0.6434000134468079
1730698142.225481,87134,0.6407999992370605
1730698142.2264647,145,0.6407999992370605
1730698411.4382443,87838,0.6453999876976013
1730698411.439365,146,0.6453999876976013
1730698681.3792295,88542,0.649399995803833
1730698681.3804982,147,0.649399995803833
