/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-001/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-0.01_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-001/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-0.01_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-001/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-0.01_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-001/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-0.01_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-001/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-0.01_30-30_tb.csv,row_average
3.914727210998535,3.955512523651123,3.882825136184693,3.9517321586608887,3.989566802978516,3.938872766494751
3.613501310348511,3.599586009979248,3.578559875488281,3.672942638397217,3.612962007522583,3.615510368347168
3.3614959716796875,3.390610218048096,3.2417845726013184,3.3908941745758057,3.422365665435791,3.36143012046814
3.197819948196411,3.18520450592041,3.093414306640625,3.248945951461792,3.222463607788086,3.189569664001465
2.9449450969696045,3.0654830932617188,2.970931053161621,3.059251546859741,3.004048585891724,3.008931875228882
2.782072067260742,2.859557867050171,2.847517728805542,2.9597861766815186,2.878622770309448,2.8655113220214843
2.7518303394317627,2.752406358718872,2.672697067260742,2.7772934436798096,2.82061505317688,2.754968452453613
2.6526873111724854,2.583835363388061,2.5590479373931885,2.6239213943481445,2.659658193588257,2.6158300399780274
2.4658634662628174,2.598888397216797,2.4666852951049805,2.5047719478607178,2.628361701965332,2.532914161682129
2.4134559631347656,2.4121644496917725,2.382892847061157,2.502309083938598,2.512779474258423,2.4447203636169434
2.369870662689209,2.401991367340088,2.357022285461426,2.3654897212982178,2.4511585235595703,2.389106512069702
2.257115840911865,2.3341410160064697,2.2868802547454834,2.281067132949829,2.3381175994873047,2.2994643688201903
2.2955963611602783,2.252051591873169,2.2750980854034424,2.2312047481536865,2.2975895404815674,2.2703080654144285
2.26507306098938,2.2208542823791504,2.1782302856445312,2.2071166038513184,2.2770917415618896,2.2296731948852537
2.103580951690674,2.093621730804444,2.1353023052215576,2.129894495010376,2.2127652168273926,2.1350329399108885
2.1352992057800293,2.1108763217926025,2.157064437866211,2.1291275024414062,2.1757845878601074,2.1416304111480713
2.06307053565979,2.037130832672119,2.068321228027344,2.0357043743133545,2.124472379684448,2.065739870071411
2.0361032485961914,1.997220754623413,2.039919137954712,2.013742208480835,2.048224687576294,2.027042007446289
2.0578224658966064,1.957973599433899,2.027987003326416,2.0002241134643555,2.0192646980285645,2.0126543760299684
2.031426191329956,1.946255445480347,1.9826464653015137,1.985936999320984,2.0326313972473145,1.9957792997360229
1.9812613725662231,2.1021740436553955,1.9843746423721316,2.016641139984131,2.107659339904785,2.038422107696533
1.884355902671814,1.939103364944458,1.9449937343597408,1.9287538528442385,2.0559239387512207,1.9506261587142943
1.9734816551208496,1.9202978610992432,1.893749475479126,1.93755042552948,1.9699255228042605,1.9390009880065917
1.958798050880432,1.9309344291687007,1.9277204275131223,1.9064011573791504,2.0125186443328857,1.9472745418548585
1.880458116531372,1.9025670289993288,1.8974218368530276,1.9694669246673584,1.9696136713027956,1.9239055156707763
1.8924775123596191,1.891534447669983,1.9187341928482056,1.9081887006759644,1.9053937196731567,1.9032657146453857
1.8741536140441892,1.8972313404083248,1.8494845628738403,1.8578006029129028,1.9009419679641724,1.8759224176406861
1.874391198158264,1.9024639129638672,1.9077081680297847,1.8299484252929688,1.9137346744537356,1.885649275779724
1.7917829751968384,1.8524519205093384,1.8923698663711548,1.869218349456787,1.8476269245147705,1.8506900072097778
1.849809527397156,1.8615601062774656,1.817789077758789,1.8404799699783323,1.9071704149246216,1.855361819267273
1.8632112741470337,1.8217358589172363,1.82083523273468,1.8728066682815552,1.910070538520813,1.8577319145202638
1.8657928705215452,1.866720199584961,1.81207275390625,1.9059771299362185,1.8243064880371092,1.8549738883972169
1.7914620637893677,1.8337252140045168,1.7841010093688965,1.859139442443848,1.776087522506714,1.8089030504226684
1.8047412633895876,1.8318554162979128,1.803203821182251,1.8652352094650269,1.8833695650100708,1.8376810550689697
1.7890313863754272,1.7560346126556396,1.7954480648040771,1.8966563940048216,1.8024747371673584,1.8079290390014648
1.8308550119400024,1.7822898626327517,1.865240335464477,1.803429126739502,1.784921407699585,1.8133471488952637
1.806746482849121,1.8042179346084597,1.8535925149917605,1.885026335716248,1.7785300016403198,1.8256226539611817
1.789580225944519,1.871753573417664,1.745116114616394,1.754125475883484,1.8140347003936768,1.7949220180511474
1.718402862548828,1.7654887437820437,1.785423755645752,1.8040696382522583,1.7966400384902954,1.7740050077438354
1.784701585769653,1.7831813097000122,1.8582295179367063,1.8070241212844849,1.76618754863739,1.7998648166656495
1.7883617877960205,1.7519090175628662,1.7547354698181152,1.839414119720459,1.788095235824585,1.784503126144409
1.8406320810317995,1.7751033306121826,1.7684800624847412,1.777273654937744,1.8585865497589111,1.8040151357650758
1.7259594202041626,1.8371390104293823,1.7951807975769043,1.7416527271270752,1.8059736490249636,1.7811811208724975
1.8228720426559448,1.7358306646347046,1.724475979804993,1.7686688899993896,1.7893840074539185,1.76824631690979
1.7627625465393066,1.7401745319366455,1.7552282810211182,1.7655704021453855,1.7843282222747805,1.7616127967834472
1.7472856044769287,1.7583580017089844,1.7296152114868164,1.7916234731674194,1.7934834957122805,1.7640731573104858
1.7570366859436035,1.7750569581985474,1.7235277891159058,1.738447904586792,1.7777482271194458,1.754363512992859
1.771383285522461,1.720500111579895,1.8219835758209229,1.8234333992004397,1.7671529054641724,1.780890655517578
1.7917190790176392,1.6996171474456787,1.7141497135162354,1.761479735374451,1.7525466680526731,1.7439024686813354
1.721054196357727,1.781984806060791,1.7766731977462769,1.7514865398406982,1.818941593170166,1.7700280666351318
1.7235263586044312,1.73181414604187,1.743472695350647,1.7624889612197876,1.7508606910705566,1.7424325704574586
1.751984715461731,1.7650046348571775,1.7541347742080688,1.7852978706359863,1.7925498485565186,1.7697943687438964
1.7617087364196775,1.7589393854141235,1.7148828506469729,1.7903594970703125,1.7600855827331543,1.7571952104568482
1.7588307857513428,1.7646918296813965,1.7361255884170532,1.7840683460235596,1.7191474437713623,1.7525727987289428
1.7340461015701294,1.7236344814300537,1.745047926902771,1.7461698055267334,1.7435967922210691,1.7384990215301515
1.767617106437683,1.8087832927703855,1.737501621246338,1.7560933828353882,1.7723102569580078,1.7684611320495605
1.7868517637252808,1.855715274810791,1.715481519699097,1.807247281074524,1.7254379987716677,1.7781467676162719
1.697392225265503,1.8077685832977293,1.7254549264907837,1.7719099521636963,1.751240611076355,1.7507532596588136
1.7445787191390991,1.7300831079483032,1.777597427368164,1.7925816774368286,1.8054910898208616,1.7700664043426513
1.775540471076965,1.6912096738815308,1.746797800064087,1.7759932279586792,1.7382594347000122,1.7455601215362548
2.506802797317505,2.121901512145996,2.4781479835510254,2.1505019664764404,2.4439523220062256,2.3402613162994386
2.016467809677124,2.189831256866455,2.5908591747283936,2.040971279144287,2.3146016597747803,2.230546236038208
2.026049852371216,1.9313902854919436,2.447801351547241,1.9363243579864504,2.0836567878723145,2.085044527053833
1.8451237678527832,1.8428819179534912,2.083714008331299,2.349093437194824,2.0328612327575684,2.0307348728179933
1.8760507106781008,1.9193878173828125,2.3074746131896973,1.8950060606002808,1.9389994144439695,1.9873837232589722
1.9405148029327397,1.848854184150696,2.0609452724456787,1.8926297426223757,2.1170132160186768,1.9719914436340331
1.8849139213562007,2.018653392791748,1.947909235954285,1.7039252519607544,1.9803688526153564,1.907154130935669
2.005868911743164,1.7776334285736084,1.908409118652344,1.7958993911743164,2.0237605571746826,1.9023142814636231
1.840093731880188,1.7750893831253052,1.79500412940979,1.8423964977264404,1.8698995113372805,1.8244966506958007
1.77850341796875,1.7519936561584473,1.8957798480987549,1.715556502342224,1.907847881317139,1.809936261177063
1.8209683895111084,1.819074034690857,1.7391971349716189,1.761759638786316,1.8163366317749023,1.7914671659469605
1.7111033201217651,1.7810614109039309,1.82417106628418,1.684720754623413,1.888053297996521,1.7778219699859619
1.7818448543548584,1.816329002380371,1.84400737285614,1.7626984119415283,1.8557674884796145,1.8121294260025025
1.8089587688446045,1.7335975170135498,1.7512191534042358,1.7274190187454224,1.6594724655151367,1.7361333847045899
1.892644286155701,1.8110315799713133,1.9651027917861936,1.8246769905090328,1.8888474702835083,1.8764606237411499
1.6783126592636108,1.7776353359222412,1.7042614221572876,1.6880944967269895,1.973051071166992,1.7642709970474244
1.7349883317947388,1.685171365737915,1.8441858291625977,1.652340292930603,1.7892743349075315,1.7411920309066773
1.6932793855667114,1.7607426643371582,1.7891212701797483,1.6374684572219849,1.8562372922897337,1.7473698139190674
1.6935946941375732,2.0622501373291016,1.7103241682052612,1.6495131254196167,1.795152187347412,1.7821668624877929
1.6305524110794067,1.797062873840332,1.6999493837356567,1.6208943128585815,1.74543297290802,1.6987783908843994
1.7465770244598389,1.5970779657363892,1.7103739976882937,1.594345211982727,1.7626984119415283,1.6822145223617553
1.6794369220733645,1.752838134765625,1.7127015590667725,1.7224371433258057,1.6722697019577026,1.707936692237854
1.6031131744384766,1.7568544149398804,1.68240487575531,1.673831343650818,1.6937060356140137,1.6819819688796998
1.585099697113037,1.7679119110107422,1.7957831621170044,1.718720316886902,1.7848150730133057,1.7304660320281982
1.649714708328247,1.688010334968567,1.720799684524536,1.7168532609939575,1.6789307594299316,1.690861749649048
1.710267186164856,1.6154706478118896,1.673707365989685,1.6614314317703247,1.6553738117218018,1.6632500886917114
1.5586388111114502,1.6074780225753784,1.7226916551589966,1.6311205625534058,1.7692033052444458,1.6578264713287354
1.647586703300476,1.662451982498169,1.674293875694275,1.6156085729599,1.6286652088165283,1.6457212686538696
1.6010476350784302,1.567995548248291,1.6941540241241455,1.6781916618347168,1.7273271083831787,1.6537431955337525
1.5724430084228516,1.6769105195999146,1.6308095455169678,1.6181387901306152,1.7430492639541626,1.6482702255249024
1.6156560182571411,1.7082654237747192,1.5986310243606567,1.722867131233215,1.5927112102508545,1.6476261615753174
1.5413403511047363,1.6414564847946167,1.7359329462051392,1.57920241355896,1.604640007019043,1.620514440536499
1.6393954753875732,1.5337791442871094,1.6003789901733398,1.540036916732788,1.5944949388504028,1.5816170930862428
1.7117328643798828,1.5146963596343994,1.6211518049240112,1.5480740070343018,1.623250126838684,1.603781032562256
1.589746356010437,1.6804571151733398,1.5995360612869265,1.5792393684387207,1.6169322729110718,1.6131822347640992
1.659310817718506,1.4747401475906372,1.4669008255004885,1.729454755783081,1.745688796043396,1.6152190685272216
1.595388889312744,1.5320967435836792,1.6364740133285522,1.559356927871704,1.6485238075256348,1.594368076324463
1.469865322113037,1.5003901720046997,1.541123628616333,1.4853317737579346,1.5506656169891355,1.509475302696228
1.4903796911239624,1.5894217491149902,1.5100094079971311,1.5355026721954346,1.6060633659362793,1.5462753772735596
1.59162437915802,1.622905969619751,1.531131625175476,1.536456823348999,1.6899954080581665,1.5944228410720824
1.569800853729248,1.5248430967330933,1.561775803565979,1.5111100673675537,1.5794116258621216,1.5493882894515991
1.528994917869568,1.5576233863830566,1.454209327697754,1.4825669527053833,1.598475694656372,1.5243740558624268
1.5789912939071655,1.444786787033081,1.5382875204086304,1.484365701675415,1.5973665714263916,1.5287595748901368
1.497957468032837,1.4864706993103027,1.491621732711792,1.6433515548706057,1.507785677909851,1.5254374265670776
1.473671555519104,1.5233386754989624,1.5256752967834473,1.4983199834823608,1.5781490802764893,1.5198309183120728
1.5142937898635864,1.4814924001693726,1.4974660873413086,1.480623722076416,1.6011571884155271,1.5150066375732423
1.469761848449707,1.4310791492462158,1.5879133939743042,1.5450342893600464,1.5768810510635376,1.5221339464187622
1.451060771942139,1.50204598903656,1.5594606399536133,1.4808961153030396,1.465389847755432,1.4917706727981568
1.4921156167984009,1.4565978050231934,1.4322230815887451,1.524086594581604,1.4880893230438232,1.4786224842071534
1.4971818923950195,1.5703197717666626,1.454285979270935,1.496524214744568,1.4731429815292358,1.4982909679412841
1.4079281091690063,1.4779289960861206,1.404202222824097,1.46878981590271,1.482879638671875,1.4483457565307618
1.4675254821777344,1.506566047668457,1.493083119392395,1.5489325523376465,1.5134986639022827,1.5059211730957032
1.451857089996338,1.395416259765625,1.4517996311187744,1.51807963848114,1.5098434686660769,1.4653992176055908
1.467438578605652,1.4901617765426636,1.4726108312606812,1.4649991989135742,1.4451876878738403,1.4680796146392823
1.3986355066299438,1.472936749458313,1.456775784492493,1.4550104141235352,1.475725769996643,1.4518168449401856
