/home/miura/lab/KD-hdas/results/stat/30-30/loss/g001/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g0.01_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g001/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g0.01_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g001/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g0.01_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g001/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g0.01_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g001/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g0.01_30-30_tb.csv,row_average
3.9810690879821777,3.9522767066955566,3.9779398441314697,4.051018714904785,4.003232002258301,3.993107271194458
3.641236782073975,3.613700389862061,3.62392783164978,3.750964403152466,3.5929806232452397,3.644562005996704
3.417423725128174,3.40002965927124,3.371661901473999,3.3597846031188965,3.4054934978485107,3.390878677368164
3.222283363342285,3.22732162475586,3.1916310787200928,3.2100625038146973,3.2325243949890137,3.2167645931243896
3.0370640754699707,2.9900498390197754,3.026326894760132,3.0168561935424805,3.021635055541992,3.01838641166687
2.847578763961792,2.883361577987671,2.8520288467407227,2.98502516746521,2.9984827041625977,2.9132954120635985
2.770083427429199,2.784492492675781,2.701692581176758,2.7373013496398926,2.726104497909546,2.7439348697662354
2.658889055252075,2.703366279602051,2.5930495262146,2.5997042655944824,2.683748722076416,2.647751569747925
2.5159683227539062,2.5951294898986816,2.5951669216156006,2.597749710083008,2.518738985061645,2.564550685882568
2.522514581680298,2.4239661693573,2.478698492050171,2.4461185932159424,2.5284318923950195,2.479945945739746
2.465526580810547,2.4360311031341557,2.4260025024414062,2.40726900100708,2.380570411682129,2.4230799198150637
2.3060414791107178,2.312110424041748,2.305964946746826,2.374905586242676,2.315072536468506,2.3228189945220947
2.322230577468872,2.271990776062012,2.24858832359314,2.303711175918579,2.3673107624053955,2.3027663230895996
2.286213159561157,2.278381586074829,2.19852614402771,2.24419379234314,2.286743402481079,2.258811616897583
2.2508254051208496,2.134721040725708,2.2114057540893555,2.129643201828003,2.2067315578460693,2.186665391921997
2.174156904220581,2.1062779426574707,2.126730442047119,2.131392002105713,2.1108407974243164,2.12987961769104
2.123220443725586,2.074150323867798,2.0673699378967285,2.059521436691284,2.109210968017578,2.086694622039795
2.1103081703186035,2.133769989013672,1.9949125051498413,2.0198347568511963,2.061056137084961,2.0639763116836547
2.075160264968872,2.029290676116944,2.031787395477295,1.9771205186843872,2.0673768520355225,2.036147141456604
2.0890984535217285,2.0388059616088867,1.980828046798706,2.0277531147003174,2.0175116062164307,2.0307994365692137
1.977085828781128,2.0321052074432373,1.9670841693878172,2.017300128936768,2.064488172531128,2.0116127014160154
1.984928131103516,1.9830843210220337,2.056652545928955,1.9676051139831543,2.04726791381836,2.0079076051712037
2.025363683700561,2.055368185043335,1.9210689067840576,1.931169867515564,1.955470085144043,1.9776881456375122
1.9610639810562132,1.939621090888977,1.9047651290893557,1.9293986558914185,1.911157727241516,1.929201316833496
2.003495216369629,1.9161452054977417,1.8771055936813357,1.9101576805114744,1.9583191871643064,1.9330445766448974
1.953916072845459,1.9084467887878416,1.948399543762207,1.9296159744262693,1.9872713088989256,1.9455299377441406
1.9278290271759035,1.9564718008041384,1.88523530960083,1.8622734546661377,1.876532196998596,1.9016683578491211
1.8982027769088743,1.907028079032898,1.848301649093628,1.896820425987244,1.9167817831039429,1.8934269428253174
1.9118160009384155,1.860140681266785,1.85458505153656,1.863813161849976,1.918056845664978,1.8816823482513427
1.9177687168121336,1.9063571691513064,1.880555868148804,1.8059200048446653,1.897353291511536,1.881591010093689
1.8811722993850708,1.837722420692444,1.8338006734848025,1.8467246294021609,1.9134297370910645,1.8625699520111083
1.8484199047088623,1.912500262260437,1.823415994644165,1.843045234680176,1.9123899936676023,1.8679542779922484
1.900800824165344,1.8507949113845823,1.7991092205047607,1.8666497468948364,1.8109710216522217,1.8456651449203492
1.8281577825546265,1.8441522121429443,1.8407509326934812,1.7917560338974,1.8211497068405151,1.8251933336257935
1.8502687215805051,1.7853199243545532,1.7801798582077026,1.80141019821167,1.8271925449371336,1.808874249458313
1.8312476873397827,1.838324785232544,1.8050779104232788,1.8421305418014529,1.8044331073760984,1.8242428064346314
1.8339948654174805,1.805111289024353,1.7975846529006958,1.7709989547729492,1.816595673561096,1.804857087135315
1.8474245071411133,1.80315899848938,1.7757612466812134,1.791717529296875,1.8514376878738403,1.8138999938964844
1.7854557037353516,1.7591031789779663,1.7813864946365356,1.787875056266785,1.8085418939590452,1.7844724655151367
1.907756328582764,1.8134071826934812,1.7640377283096311,1.7841408252716064,1.84373676776886,1.8226157665252685
1.812845230102539,1.76699697971344,1.7937995195388794,1.808327555656433,1.8357497453689573,1.8035438060760498
1.835390329360962,1.9027717113494875,1.7868123054504397,1.8117196559906008,1.7861852645874023,1.8245758533477783
1.7884796857833862,1.7538121938705444,1.7353087663650513,1.836494326591492,1.8625788688659668,1.795334768295288
1.7856943607330322,1.7615309953689575,1.788410782814026,1.7446271181106567,1.78300940990448,1.7726545333862305
1.8047691583633425,1.7729328870773315,1.791393756866455,1.7681173086166382,1.7963801622390747,1.7867186546325684
1.810251355171204,1.73532235622406,1.7667425870895386,1.7728837728500366,1.770095944404602,1.7710592031478882
1.833603382110596,1.745538592338562,1.7658408880233765,1.7321194410324097,1.8155072927474976,1.7785219192504882
1.8369295597076416,1.7505760192871094,1.754365086555481,1.7541078329086304,1.8038893938064573,1.779973578453064
1.7655915021896362,1.7511066198349,1.7335050106048584,1.729971408843994,1.7208739519119265,1.740209698677063
1.7376481294631958,1.7082514762878418,1.769672393798828,1.7697393894195557,1.7795850038528442,1.7529792785644531
1.7764003276824951,1.755169153213501,1.7500532865524292,1.7623683214187622,1.7740106582641602,1.7636003494262695
1.7900400161743164,1.7404425144195557,1.874029874801636,1.7807854413986206,1.769623041152954,1.7909841775894164
1.777379274368286,1.7039371728897097,1.7314903736114502,1.7399646043777466,1.7744321823120115,1.7454407215118408
1.7628995180130005,1.802678465843201,1.7134389877319336,1.7544527053833008,1.7641613483428955,1.7595262050628662
1.7387447357177734,1.743240237236023,1.7403428554534912,1.7274824380874634,1.7891583442687988,1.74779372215271
1.7376084327697754,1.7442203760147097,1.773778796195984,1.6984959840774536,1.7354589700698853,1.7379125118255616
1.8035705089569087,1.7052401304244995,1.7253940105438232,1.830765724182129,1.6936283111572266,1.7517197370529174
1.794445514678955,1.7482284307479858,1.7174581289291382,1.7341145277023315,1.797230243682861,1.7582953691482544
1.7522597312927246,1.7629565000534058,1.727910399436951,1.735827922821045,1.763435125350952,1.7484779357910156
1.744028091430664,1.7467362880706787,1.7762616872787476,1.7028738260269165,1.7735763788223269,1.7486952543258667
2.289625644683838,2.237632751464844,2.2899773120880127,2.460909366607666,2.041292667388916,2.263887548446655
2.1828484535217285,2.114901304244995,2.207069635391236,1.9854947328567505,2.1651318073272705,2.131089186668396
1.9693721532821653,1.9763156175613403,2.066272497177124,1.9201316833496092,2.112690687179565,2.008956527709961
2.435579538345337,1.9190492630004885,2.0766005516052246,1.9013913869857788,1.8655569553375244,2.0396355390548706
1.8858057260513303,1.885024189949036,1.8855600357055664,1.9442968368530276,1.931626319885254,1.9064626216888427
1.9324828386306765,1.989078402519226,1.8618983030319212,1.850564122200012,1.8880640268325808,1.9044175386428832
1.9700138568878172,1.785250186920166,1.7889254093170166,1.9873679876327517,1.928540825843811,1.8920196533203124
1.9975887537002563,1.7914447784423828,1.78909170627594,1.786957621574402,1.8002499341964722,1.8330665588378907
1.83467960357666,1.857608795166016,1.8504387140274048,1.7684621810913086,1.71574866771698,1.805387592315674
1.8115390539169312,1.822454571723938,1.826077580451965,1.7084860801696775,1.771545648574829,1.7880205869674684
1.7980163097381592,1.8088600635528564,2.058779001235962,1.9492905139923096,1.7056726217269895,1.8641237020492554
