07/13 07:03:27PM parser.py:28 [INFO] 
07/13 07:03:27PM parser.py:29 [INFO] Parameters:
07/13 07:03:27PM parser.py:31 [INFO] ADVANCED=True
07/13 07:03:27PM parser.py:31 [INFO] BATCH_SIZE=64
07/13 07:03:27PM parser.py:31 [INFO] CIFAR=True
07/13 07:03:27PM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/13 07:03:27PM parser.py:31 [INFO] DATA_PATH=../data/
07/13 07:03:27PM parser.py:31 [INFO] DATASET=cifar100
07/13 07:03:27PM parser.py:31 [INFO] DESCRIPTION=pretrained_LR-0.001_minlr-0.0001_warmup-0
07/13 07:03:27PM parser.py:31 [INFO] EPOCHS=100
07/13 07:03:27PM parser.py:31 [INFO] EXP_NAME=pretrained-20240713-190327
07/13 07:03:27PM parser.py:31 [INFO] GPUS=[0]
07/13 07:03:27PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/13 07:03:27PM parser.py:31 [INFO] LR=0.001
07/13 07:03:27PM parser.py:31 [INFO] LR_MIN=0.0001
07/13 07:03:27PM parser.py:31 [INFO] MODEL_NAME=efficientnet_b0
07/13 07:03:27PM parser.py:31 [INFO] MOMENTUM=0.9
07/13 07:03:27PM parser.py:31 [INFO] NAME=FINETUNE2
07/13 07:03:27PM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_b0/FINETUNE2/pretrained-20240713-190327
07/13 07:03:27PM parser.py:31 [INFO] PRETRAINED=True
07/13 07:03:27PM parser.py:31 [INFO] SAVE=pretrained
07/13 07:03:27PM parser.py:31 [INFO] SEED=0
07/13 07:03:27PM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/13 07:03:27PM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/13 07:03:27PM parser.py:31 [INFO] WORKERS=4
07/13 07:03:27PM parser.py:32 [INFO] 
07/13 07:03:27PM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/13 07:12:14午後 trainTeacher_main.py:237 [INFO] Valid: [ 13/99] Final Prec@1 80.5200%
07/13 07:12:14午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 80.5200%
07/13 07:13:19午後 trainTeacher_main.py:209 [INFO] Train: [ 14/99] Final Prec@1 84.2400%
07/13 07:13:21午後 trainTeacher_main.py:237 [INFO] Valid: [ 14/99] Final Prec@1 80.9800%
07/13 07:13:21午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 80.9800%
07/13 07:14:32午後 trainTeacher_main.py:209 [INFO] Train: [ 15/99] Final Prec@1 84.6889%
07/13 07:14:34午後 trainTeacher_main.py:237 [INFO] Valid: [ 15/99] Final Prec@1 80.6200%
07/13 07:14:35午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 80.9800%
07/13 07:15:49午後 trainTeacher_main.py:209 [INFO] Train: [ 16/99] Final Prec@1 85.2978%
07/13 07:15:51午後 trainTeacher_main.py:237 [INFO] Valid: [ 16/99] Final Prec@1 80.5600%
07/13 07:15:51午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 80.9800%
07/13 07:17:05午後 trainTeacher_main.py:209 [INFO] Train: [ 17/99] Final Prec@1 86.1044%
07/13 07:17:07午後 trainTeacher_main.py:237 [INFO] Valid: [ 17/99] Final Prec@1 80.7800%
07/13 07:17:07午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 80.9800%
07/13 07:18:22午後 trainTeacher_main.py:209 [INFO] Train: [ 18/99] Final Prec@1 86.7556%
07/13 07:18:24午後 trainTeacher_main.py:237 [INFO] Valid: [ 18/99] Final Prec@1 81.8600%
07/13 07:18:24午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 81.8600%
07/13 07:19:38午後 trainTeacher_main.py:209 [INFO] Train: [ 19/99] Final Prec@1 87.1844%
