/home/miura/lab/KD-hdas/results/stat/0-50/g0.01/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g0.01_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g0.01/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g0.01_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g0.01/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g0.01_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g0.01/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g0.01_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g0.01/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g0.01_0-50_tb.csv,row_average
3.991919040679932,3.904202461242676,3.90634036064148,3.918651342391968,4.006464004516602,3.945515441894531
3.6426947116851807,3.634768009185791,3.6545498371124263,3.6161625385284415,3.716787099838257,3.6529924392700197
3.410433292388916,3.410205841064453,3.374103307723999,3.338581323623657,3.3634145259857178,3.3793476581573487
3.175920963287353,3.190813541412353,3.1930763721466064,3.2006003856658936,3.196141481399536,3.1913105487823485
3.0188586711883545,3.0576961040496826,3.044602632522583,3.000237941741944,2.981174230575561,3.020513916015625
2.8502438068389893,2.850120782852173,2.8555331230163574,2.833022356033325,2.9398891925811768,2.8657618522644044
2.816987991333008,2.753866672515869,2.724904775619507,2.74861741065979,2.7226428985595703,2.7534039497375487
2.665667533874512,2.5806617736816406,2.6026432514190674,2.6781017780303955,2.6187264919281006,2.629160165786743
2.522193431854248,2.5090556144714355,2.658074140548706,2.5283827781677246,2.520564079284668,2.5476540088653565
2.427605628967285,2.446640491485596,2.457206010818481,2.4535818099975586,2.4187674522399902,2.440760278701782
2.419790267944336,2.349210739135742,2.384182929992676,2.450331926345825,2.329694986343384,2.3866421699523928
2.3327035903930664,2.2708747386932373,2.432983636856079,2.3237733840942383,2.287400245666504,2.329547119140625
2.3105621337890625,2.289418458938598,2.2876644134521484,2.3279175758361816,2.2359302043914795,2.2902985572814942
2.221848249435425,2.1572327613830566,2.204496383666992,2.1735665798187256,2.132023811340332,2.1778335571289062
2.0879037380218506,2.181074857711792,2.1315884590148926,2.1639225482940674,2.0989575386047363,2.132689428329468
2.1915712356567383,2.1255526542663574,2.1709649562835693,2.17162823677063,2.094800472259521,2.150903511047363
2.1117279529571533,2.0723798274993896,2.0973455905914307,2.112107515335083,2.080700635910034,2.0948523044586183
2.064176559448242,2.000926733016968,2.068871259689331,2.083760499954224,2.0267934799194336,2.0489057064056397
2.044156551361084,2.024221658706665,2.063407182693481,2.043369770050049,1.9803714752197263,2.031105327606201
1.9678715467453003,2.0958988666534424,1.973508358001709,2.0404653549194336,2.002395868301392,2.0160279989242555
2.0196335315704346,1.9778498411178589,2.0623559951782227,2.059210062026977,2.003816843032837,2.024573254585266
1.9141335487365725,1.9393181800842283,1.9725574254989624,2.0281569957733154,1.9826639890670776,1.9673660278320313
2.0354673862457275,1.993183970451355,1.9469298124313357,1.936296820640564,1.9012073278427124,1.9626170635223388
1.947975754737854,1.908469796180725,1.9225821495056152,1.983025312423706,1.9206361770629885,1.9365378379821778
1.906661868095398,1.937328577041626,1.8979971408843996,1.9893981218338013,1.9115047454833984,1.9285780906677246
1.931679606437683,1.875636339187622,1.9397282600402832,1.9861997365951536,1.931128740310669,1.9328745365142823
1.9613182544708248,1.921095848083496,1.9086946249008176,1.9050062894821167,1.847216010093689,1.908666205406189
1.85126268863678,1.8295156955718996,1.8921812772750852,1.8746377229690552,1.867910623550415,1.863101601600647
1.860048770904541,1.8438950777053835,1.9199060201644895,1.8991429805755613,1.915802836418152,1.8877591371536255
1.87736976146698,1.870097041130066,1.849995732307434,1.891936182975769,1.8669921159744265,1.871278166770935
1.8392343521118164,1.8338698148727417,1.867976427078247,1.9054111242294312,1.858261585235596,1.8609506607055664
1.8681129217147827,1.8151826858520508,1.8409677743911743,1.8409905433654783,1.8300256729125977,1.8390559196472167
1.830983638763428,1.84440279006958,1.825351357460022,1.8273299932479856,1.8619250059127808,1.8379985570907593
1.7957422733306885,1.8343130350112915,1.8175514936447144,1.8312005996704104,1.8472511768341064,1.8252117156982421
1.8056282997131348,1.8607264757156368,1.7797507047653198,1.8540321588516235,1.804772138595581,1.8209819555282594
1.7719128131866455,1.7856667041778564,1.8151204586029053,1.8152397871017456,1.8395978212356567,1.805507516860962
1.7710230350494385,1.803226351737976,1.8107095956802368,1.84649121761322,1.7873938083648682,1.803768801689148
1.8121472597122192,1.7673039436340332,1.82371187210083,1.81309974193573,1.7793450355529783,1.7991215705871582
1.791853666305542,1.756741642951965,1.839971780776977,1.8209247589111328,1.793110966682434,1.8005205631256103
1.8013408184051514,1.845492243766785,1.8096652030944824,1.781408667564392,1.8033530712127688,1.8082520008087157
1.7578140497207642,1.786687254905701,1.7802892923355105,1.819404363632202,1.8208818435668943,1.7930153608322144
1.869033694267273,1.7781795263290403,1.8030585050582888,1.8621928691864011,1.8303728103637693,1.8285674810409547
1.828142523765564,1.818347454071045,1.8305819034576416,1.8305264711380005,1.799526572227478,1.8214249849319457
1.7651605606079102,1.74803626537323,1.7580969333648682,1.81159245967865,1.7545523643493652,1.7674877166748046
1.739285588264465,1.784899353981018,1.77360200881958,1.7842426300048828,1.77463698387146,1.7713333129882813
1.767599105834961,1.7329810857772827,1.7477433681488037,1.7759109735488892,1.7594949007034302,1.7567458868026733
1.7773700952529907,1.8006765842437744,1.7558856010437012,1.7763537168502808,1.7425159215927124,1.770560383796692
1.731139898300171,1.8439764976501465,1.771022915840149,1.7589057683944702,1.711216688156128,1.763252353668213
1.7885726690292358,1.7775089740753174,1.8084337711334229,1.7636724710464478,1.725289225578308,1.7726954221725464
1.7373380661010742,1.7408770322799685,1.7523900270462036,1.7531073093414309,1.757187843322754,1.748180055618286
2.139484405517578,2.278083086013794,2.451689481735229,2.285851240158081,2.2549703121185303,2.2820157051086425
1.9540408849716189,2.247826337814331,2.076778650283813,2.252748727798462,2.2782680988311768,2.1619325399398805
1.9698406457901,2.192863702774048,2.1779463291168213,2.3086342811584477,2.019649028778076,2.1337867975234985
1.9139295816421509,1.947818398475647,1.9883949756622317,2.132882833480835,1.9462147951126096,1.9858481168746949
1.920763731002808,1.9720170497894287,1.9322168827056885,2.084555387496948,1.828519821166992,1.947614574432373
1.985947847366333,1.9657881259918213,1.9694005250930784,1.99183452129364,1.8635737895965576,1.9553089618682862
1.8641843795776367,1.8297079801559448,1.81599223613739,1.9442806243896484,1.8135771751403809,1.8535484790802002
1.8349955081939695,1.8901095390319824,1.841337203979492,2.002786159515381,1.7813451290130615,1.8701147079467773
1.6338447332382202,1.8965898752212524,1.907226800918579,1.9235644340515137,1.7421256303787231,1.8206702947616578
1.7925184965133667,1.853202223777771,1.853886365890503,1.9290502071380613,1.7810015678405762,1.8419317722320556
1.7487237453460691,1.818312644958496,1.8221182823181152,1.95989203453064,1.9079948663711548,1.851408314704895
1.7393132448196411,1.835050106048584,1.7995586395263672,1.7887428998947144,1.8512284755706787,1.802778673171997
1.775110363960266,1.926456332206726,1.7437080144882202,1.795840620994568,1.860315203666687,1.8202861070632934
1.634443283081055,1.8213282823562624,1.810319423675537,1.8846304416656492,1.7131083011627195,1.7727659463882446
