"sample1","sample2","sample3","sample4","sample5","average"
4.06147623062134,3.89770102500916,3.99694085121155,3.94343876838684,3.92144441604614,3.964200258255
3.64803409576416,3.58922433853149,3.66088771820068,3.63934564590454,3.56463551521301,3.62042546272278
3.42603588104248,3.42757606506348,3.43082880973816,3.38355016708374,3.37441945075989,3.40848207473755
3.23624563217163,3.21049833297729,3.24723291397095,3.25843715667725,3.11489915847778,3.21346263885498
3.04304647445679,3.03562045097351,3.10377049446106,3.03291654586792,2.93616962432861,3.03030471801758
2.84058594703674,2.80160093307495,2.90517520904541,2.85868000984192,2.80481672286987,2.84217176437378
2.71890163421631,2.78957843780518,2.79809141159058,2.75277733802795,2.74465560913086,2.76080088615417
2.59820747375488,2.62745475769043,2.69644093513489,2.63298678398132,2.58059406280518,2.62713680267334
2.53489327430725,2.56888222694397,2.58909344673157,2.57717132568359,2.55385494232178,2.56477904319763
2.43067312240601,2.45493674278259,2.49035573005676,2.44662261009216,2.41252541542053,2.44702272415161
2.33776903152466,2.34594702720642,2.42674922943115,2.38685131072998,2.36370897293091,2.37220511436462
2.308349609375,2.28076386451721,2.32137203216553,2.30471992492676,2.34615278244019,2.31227164268494
2.28850674629211,2.24654102325439,2.27625155448914,2.26694393157959,2.25716805458069,2.26708226203918
2.14485311508179,2.16801905632019,2.240882396698,2.24104070663452,2.16724133491516,2.19240732192993
2.19317030906677,2.11680841445923,2.22014975547791,2.1244592666626,2.11401271820068,2.15372009277344
2.15762424468994,2.12054514884949,2.09714341163635,2.11956453323364,2.09261584281921,2.11749863624573
2.0780508518219,2.12770771980286,2.10858654975891,2.10122680664062,2.09180903434753,2.10147619247437
2.02868270874023,2.03367781639099,2.0427417755127,2.04764842987061,2.06022000312805,2.04259414672852
2.062659740448,2.03857827186584,2.06192898750305,2.06237769126892,2.07914781570435,2.06093850135803
2.07341647148132,2.05696892738342,1.96731173992157,2.00656175613403,1.99106180667877,2.01906414031982
1.97078728675842,2.01628255844116,2.06379842758179,2.03060698509216,2.03633737564087,2.02356252670288
1.99136793613434,1.95463693141937,1.96965110301971,1.93473386764526,2.00439715385437,1.97095739841461
1.96444165706635,1.92220449447632,1.96112895011902,1.9897780418396,1.98311710357666,1.96413404941559
1.94298911094666,1.9280207157135,1.92368137836456,1.94105792045593,1.99156951904297,1.94546372890472
1.93416440486908,1.91460525989532,1.88715040683746,1.93979406356812,1.9397668838501,1.92309620380402
1.87022411823273,1.88348340988159,1.95825016498566,1.88819110393524,1.90258765220642,1.90054728984833
1.86232960224152,1.88268601894379,1.8904721736908,1.93917632102966,1.88628554344177,1.89218993186951
1.93524503707886,1.83558523654938,1.98419272899628,1.8733651638031,1.85827541351318,1.89733271598816
1.86693894863129,1.82264614105225,1.87395966053009,1.81933927536011,1.96898663043976,1.8703741312027
1.8010071516037,1.85113668441772,1.83047783374786,1.94478070735931,1.87583339214325,1.86064715385437
1.86401510238647,1.8983907699585,1.89231050014496,1.92043781280518,1.89425241947174,1.89388132095337
1.80678677558899,1.77827167510986,1.81445670127869,1.86461925506592,1.85403597354889,1.82363407611847
1.85733675956726,1.80045902729034,1.80142796039581,1.83669018745422,1.83909296989441,1.82700138092041
