/home/miura/lab/KD-hdas/results/stat/0-50/acc/g-0.001/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-0.001_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/acc/g-0.001/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-0.001_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/acc/g-0.001/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-0.001_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/acc/g-0.001/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-0.001_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/acc/g-0.001/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-0.001_0-50_tb.csv,row_average
0.0859199985861778,0.0810000002384185,0.0696799978613853,0.0854400023818016,0.0909200012683868,0.082592000067234
0.1313599944114685,0.1314399987459182,0.1257199943065643,0.1377999931573867,0.1243600025773048,0.1301359966397285
0.1774400025606155,0.1757600009441375,0.1677999943494796,0.1823199987411499,0.1653600037097931,0.17373600006103512
0.1988800019025802,0.2189600020647049,0.2024800032377243,0.2067999988794326,0.2054399996995926,0.20651200115680696
0.2441200017929077,0.2479199916124344,0.2385600060224533,0.2487599998712539,0.2417200058698654,0.24421600103378296
0.2808400094509125,0.2727600038051605,0.2517200112342834,0.2732000052928924,0.2621999979019165,0.2681440055370331
0.304280012845993,0.2953200042247772,0.2812399864196777,0.3140400052070617,0.2879999876022339,0.2965759992599487
0.3356800079345703,0.3155600130558014,0.3167200088500976,0.3196400105953216,0.3045600056648254,0.31843200922012327
0.3507199883460998,0.3366000056266784,0.336679995059967,0.3403599858283996,0.3434799909591675,0.34156799316406244
0.3671999871730804,0.3581199944019317,0.3569200038909912,0.3585599958896637,0.3603599965572357,0.36023199558258057
0.3889200091361999,0.3766799867153168,0.3541199862957001,0.3721599876880646,0.359279990196228,0.37023199200630186
0.3985599875450134,0.398279994726181,0.3824799954891205,0.3956399857997894,0.391319990158081,0.3932559907436371
0.4076800048351288,0.4098399877548218,0.3953999876976013,0.3964399993419647,0.3863599896430969,0.3991439938545227
0.4203599989414215,0.4126400053501129,0.4032000005245209,0.4188799858093261,0.3989199995994568,0.41079999804496764
0.4347600042819977,0.4229199886322021,0.4194400012493133,0.4141199886798858,0.4300400018692016,0.42425599694252014
0.436599999666214,0.4293999969959259,0.425599992275238,0.4263199865818023,0.4221999943256378,0.4280239939689636
0.4441199898719787,0.4452399909496307,0.4404000043869018,0.4417999982833862,0.4280399978160858,0.43991999626159667
0.4550400078296661,0.4602000117301941,0.4425199925899505,0.4560000002384186,0.447160005569458,0.4521840035915375
0.4605199992656708,0.4637599885463714,0.4495599865913391,0.4567599892616272,0.4535599946975708,0.45683199167251587
0.4702399969100952,0.4721600115299225,0.457040011882782,0.4521200060844421,0.463479995727539,0.46300800442695617
0.4628399908542633,0.4578799903392792,0.4502399861812591,0.4655999839305877,0.4655599892139435,0.4604239881038666
0.4866400063037872,0.4720799922943115,0.4768399894237518,0.4675599932670593,0.485040009021759,0.4776319980621338
0.4848400056362152,0.4810799956321716,0.4788799881935119,0.459199994802475,0.4624399840831756,0.4732879936695099
0.4898400008678436,0.4884400069713592,0.4804399907588959,0.4826799929141998,0.4714399874210357,0.48256799578666687
0.4900799989700317,0.490880012512207,0.4750399887561798,0.4781999886035919,0.4809199869632721,0.48302399516105654
0.4846400022506714,0.4860399961471557,0.4819599986076355,0.490799993276596,0.4800800085067749,0.48470399975776673
0.4945600032806396,0.4976399838924408,0.4910399913787842,0.4856399893760681,0.4875999987125397,0.4912959933280945
0.4862399995326996,0.5079200267791748,0.4988400042057037,0.5005199909210205,0.4805200099945068,0.4948080062866211
0.4963999986648559,0.5098000168800354,0.491239994764328,0.4973999857902527,0.4961999952793121,0.49820799827575685
0.4889599978923797,0.5064399838447571,0.4927600026130676,0.5065600275993347,0.4912799894809723,0.4972000002861023
0.4992400109767914,0.5095999836921692,0.5066800117492676,0.4948799908161163,0.5103999972343445,0.5041599988937377
0.5183600187301636,0.5249199867248535,0.5014399886131287,0.5016000270843506,0.4991599917411804,0.5090960025787353
0.5216000080108643,0.5174800157546997,0.5046399831771851,0.5062400102615356,0.5019199848175049,0.5103760004043579
0.4971599876880646,0.5073599815368652,0.5138000249862671,0.5145599842071533,0.5091999769210815,0.5084159910678864
0.5149199962615967,0.5168399810791016,0.52156001329422,0.5016400218009949,0.5231599807739258,0.5156239986419677
