エポック数,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度
,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,固定セル,固定セル,固定セル,固定セル,固定セル,固定セル,カリキュラム30-30,カリキュラム30-30
エポック数,g=1(カリキュラム),g=0.1(カリキュラム),g=0.01(カリキュラム),g=0.001(カリキュラム),g=-0.001(カリキュラム),g=-0.01(カリキュラム),g=-0.1(カリキュラム),g=-1(カリキュラム),g=0(カリキュラム),g=1,g=0.1,g=0.01,g=0.001,g=-0.001,g=-0.01,g=-0.1,g=-1,11セル,20セル,32セル,20セル(離散化・リセット),20セル（アナログ・LRリセット）,20セル（アナログ・リセット）,g=1,g=0.001
16,0.4291919947,0.429279995,0.4316160023,0.4371599972,0.4291120052,0.4359039962,0.430527997,0.4289359987,0.4323359966,0.438319999,0.435303998,0.4282960057,0.4314480007,0.428023994,0.4328079998,0.4188320041,0.3843999982,0.4554639965,0.3965439945,0.3120959997,0.3933279932,0.3975199968,0.3958479971,0.4291759908,0.4264640033
17,0.4397440076,0.4410960019,0.4418240011,0.4397759974,0.4361440003,0.4418719947,0.4390000045,0.4462159932,0.4460639954,0.4556639969,0.4425839961,0.4410960019,0.4395119965,0.4399199963,0.4437920034,0.4302079976,0.384175998,0.4595839947,0.4083519965,0.3250160009,0.4041960001,0.4119319975,0.4080679923,0.4431519985,0.440703994
18,0.4522800028,0.4555120051,0.4501439989,0.454535991,0.4488079965,0.4462719917,0.4512239993,0.4515680015,0.4535439909,0.4666319966,0.4519760072,0.4534399986,0.4455359995,0.4521840036,0.4490719974,0.4338400006,0.3950079978,0.4724759966,0.4189240009,0.3280039936,0.4101319999,0.4154439986,0.4213679999,0.4528639972,0.454023999
19,0.452135998,0.4534160018,0.4561359942,0.4501760006,0.4515679955,0.4552639961,0.4505919993,0.4617119968,0.4568159997,0.4636640012,0.4552719951,0.4572479963,0.4524479985,0.4568319917,0.4545680046,0.4418160021,0.3992239952,0.4758519948,0.4296520025,0.3427639991,0.4237359971,0.4306839973,0.426376,0.4538720012,0.4553440034
20,0.461055994,0.4619999886,0.4624719977,0.4631680012,0.4613839984,0.4635439932,0.4623599946,0.4623919964,0.4600239933,0.4722079992,0.4604959965,0.4620800018,0.4602479935,0.4630080044,0.4599679947,0.445359993,0.400248003,0.4737639934,0.4358239979,0.3494400024,0.4312079996,0.4338879973,0.4329519987,0.461559993,0.461056
21,0.4590319991,0.4627599955,0.4636159897,0.4612399995,0.4589039981,0.4636800051,0.4688319921,0.459800005,0.4654640019,0.4755760014,0.4623359978,0.4599520028,0.4648639917,0.4604239881,0.4601359963,0.4514800012,0.4032480001,0.4867359936,0.4395359963,0.3566119939,0.4386439949,0.4424800009,0.4397960007,0.4688560009,0.4566799998
22,0.4699840009,0.4697760046,0.4702719986,0.4754319966,0.471991998,0.4719440043,0.4687279999,0.476135999,0.473496002,0.4820559978,0.4706559896,0.4763040006,0.4743120015,0.4776319981,0.4650080025,0.4605360031,0.405399996,0.4922359914,0.4468800008,0.3714040011,0.4436600029,0.4467680037,0.4431639999,0.4729839981,0.4746880054
23,0.4712959945,0.4766080022,0.4786799908,0.4774959981,0.4753279924,0.4764800012,0.4793440044,0.4789519966,0.4770640016,0.4884000003,0.4827200055,0.4761759996,0.4745759964,0.4732879937,0.4743040025,0.4656639993,0.4108559966,0.4899879962,0.4507839978,0.3746039987,0.4500119925,0.4501039982,0.4525879979,0.4799279988,0.4757679999
24,0.4791199982,0.4776639998,0.4819759965,0.4815839946,0.478519994,0.4798959911,0.4760559976,0.4808079958,0.4796560049,0.4877679944,0.4819280028,0.48028,0.478271997,0.4825679958,0.4739600003,0.4666400015,0.4156960011,0.4962359935,0.4594879955,0.3820239991,0.4588799983,0.4591279954,0.4603280008,0.4809679985,0.4751680017
25,0.4796159983,0.4779439926,0.4847279906,0.4854640007,0.4845119953,0.483927995,0.4825839996,0.485439992,0.4855279982,0.4913599968,0.4867999971,0.4845279932,0.4833519995,0.4830239952,0.4798399985,0.4657999933,0.4189599991,0.4972880006,0.4627359986,0.3933800012,0.4626639962,0.4659479976,0.4624240011,0.4835759997,0.4803919971
