エポック数,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度
,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,固定セル,固定セル,固定セル,固定セル,固定セル,固定セル,カリキュラム30-30,カリキュラム30-30
エポック数,g=1(カリキュラム),g=0.1(カリキュラム),g=0.01(カリキュラム),g=0.001(カリキュラム),g=-0.001(カリキュラム),g=-0.01(カリキュラム),g=-0.1(カリキュラム),g=-1(カリキュラム),g=0(カリキュラム),g=1,g=0.1,g=0.01,g=0.001,g=-0.001,g=-0.01,g=-0.1,g=-1,11セル,20セル,32セル,20セル(離散化・リセット),20セル（アナログ・LRリセット）,20セル（アナログ・リセット）,g=1,g=0.001
56,0.4854799986,0.4848799944,0.4936799943,0.4837199926,0.485559994,0.4853199959,0.4269199848,0.335559994,0.4898399949,0.4922799826,0.4844799995,0.4787599862,0.4831599891,0.4772399902,0.4670799971,0.3025599957,0.2318399994,0.529399991,0.5078999847,0.4796399951,0.3514799908,0.5114599913,0.334999992,0.5383679986,0.5002319932
57,0.4956799865,0.506039995,0.5052399874,0.4932799876,0.4987199783,0.4947199941,0.4416799963,0.3231599927,0.5051200032,0.5128000021,0.4933999896,0.5004799962,0.4896799862,0.4976399899,0.46243999,0.3237999916,0.213079996,0.5225999862,0.5082199782,0.4803799957,0.3768199891,0.5072799861,0.3680799961,0.5373200059,0.5027439892
58,0.4930399776,0.5040399849,0.5024799883,0.5023999929,0.494479996,0.5115199745,0.4339999914,0.3574399948,0.5071999967,0.5025999844,0.4939999938,0.4963999987,0.4940800071,0.5049199998,0.4728399932,0.3159199953,0.2314799933,0.5334799886,0.5087599963,0.4845399857,0.3931599855,0.5082999885,0.3822999924,0.5375040054,0.5138480008
59,0.5062399864,0.5005599856,0.5096399903,0.5049199998,0.4985199869,0.5093999922,0.4556399822,0.3672799885,0.5101199865,0.5127999842,0.497359997,0.5037999868,0.5067199945,0.5051999927,0.4731599927,0.3593999982,0.2536399946,0.5297199905,0.5194800019,0.4800599903,0.4265999883,0.5079999983,0.4077399909,0.5385839939,0.5116479993
60,0.5099599838,0.5215599895,0.5163999915,0.5086399913,0.5200399876,0.5272399902,0.4586399853,0.3808399916,0.5105599999,0.5255599737,0.5051199794,0.5059199929,0.5226799965,0.5171199918,0.4981999815,0.3659999907,0.2448799938,0.538899982,0.5256599844,0.4924199879,0.4387599915,0.5239599943,0.4280399889,0.5380959988,0.5141279876
61,0.5005999923,0.5117199898,0.5173199773,0.5105199993,0.5135599911,0.5052399755,0.4415999889,0.347119993,0.5054799736,0.509439981,0.4958399951,0.504279989,0.5166799903,0.517839992,0.4800399899,0.3602799952,0.2913999915,0.5368999898,0.5154799938,0.4842599899,0.4524999946,0.5113599926,0.4415399909,0.4363599837,0.4123519957
62,0.5190399885,0.5187199831,0.5214799881,0.5195599794,0.508799988,0.5259599924,0.47123999,0.3840799928,0.5244399965,0.5254799843,0.5134399891,0.5137199879,0.5293199897,0.5192399859,0.5073199868,0.3715199888,0.3248399913,0.5445199907,0.5254399896,0.4987399817,0.4617599994,0.5161799848,0.4475999862,0.4386799932,0.4319119871
63,0.5198799968,0.5331999898,0.5332799911,0.5200799942,0.5267999887,0.5241999805,0.4803999841,0.4033199906,0.5163599968,0.5305999994,0.5222799897,0.5131199837,0.5208399773,0.5294399977,0.5116400063,0.3727999866,0.3432399929,0.538079989,0.5360399842,0.5012199938,0.4691999912,0.5204799891,0.4518999934,0.4604799926,0.4400399983
64,0.5204399943,0.5166399956,0.5265200019,0.5187599897,0.5251999974,0.5339599848,0.4778799832,0.4067999899,0.5276800036,0.5241999865,0.5127599776,0.5267999768,0.5189199865,0.521359992,0.4997599781,0.4097599924,0.3056399941,0.5431799948,0.5275199831,0.4986199945,0.4807799906,0.5293599784,0.4698199898,0.4848799825,0.4758479893
65,0.516839993,0.5184800029,0.5269999862,0.5134399772,0.5281599879,0.5337599993,0.4667999923,0.4042399883,0.5383599758,0.5267199993,0.5224399924,0.5277199745,0.523759973,0.5161599815,0.5045199871,0.4031999946,0.3275999904,0.5511599898,0.5353999853,0.5080199897,0.4801199913,0.5323199809,0.4788199872,0.4808799863,0.472239995
66,0.5247999907,0.5349599957,0.5307999849,0.5282400012,0.538319993,0.5290399909,0.4583599985,0.3997999966,0.5293599844,0.5316400051,0.5242399931,0.5233599961,0.5360399842,0.5245599866,0.5241199911,0.389079994,0.3539599955,0.5491599858,0.5352999866,0.5022599936,0.4879999936,0.5216399819,0.4864599943,0.4991199851,0.4730719924
67,0.5344799876,0.5378800035,0.5230399847,0.543359983,0.5376000047,0.5286799908,0.4793199956,0.4200399935,0.5267199934,0.5233599901,0.5385599852,0.5279599905,0.5307999849,0.5273599863,0.4990399897,0.4036399901,0.3457999885,0.5500599802,0.5411799908,0.5019599885,0.4894999921,0.5318999946,0.4835399926,0.5129999876,0.4877199888
68,0.5391999841,0.5465999961,0.5404799938,0.5375599861,0.544359982,0.5442399979,0.489839983,0.4286799967,0.5453599811,0.5408799767,0.5326399922,0.5425599933,0.5483999848,0.5335199833,0.5267599881,0.4160399914,0.3703999877,0.5515599906,0.5438399911,0.5148199916,0.4987599999,0.5450599909,0.4932199806,0.5125999928,0.4973279774
69,0.5385599971,0.5319599986,0.5396799803,0.5339199781,0.5322399855,0.5471999884,0.4823199868,0.4353999972,0.5269199908,0.5389599681,0.5189599812,0.5321199894,0.5427999735,0.5405599952,0.525639987,0.4093999922,0.3705999911,0.5501399934,0.5365199864,0.5077599853,0.5069399923,0.5325399995,0.4990399927,0.5215999842,0.4967199981
70,0.5343999863,0.5379199862,0.5425199866,0.5429999948,0.5413199782,0.5359599829,0.5086399853,0.427519995,0.5417999983,0.545599997,0.5412799954,0.5315199971,0.5478000045,0.5406399965,0.5279599965,0.4229199886,0.3848399937,0.5577399909,0.5457599938,0.5145999879,0.507159996,0.5403799891,0.4982599884,0.5047999978,0.5114560008
71,0.54095999,0.5343599916,0.5432799935,0.5359599948,0.5447999835,0.5234799862,0.4721599996,0.4363599896,0.5411999822,0.5400399923,0.5337999821,0.5364799857,0.5459599853,0.5520399809,0.5196399868,0.4280799925,0.3881999969,0.5584599793,0.5467400074,0.5225399911,0.51137999,0.5405599892,0.498999989,0.5259999871,0.504399991
72,0.539079988,0.5361199737,0.5486799836,0.5448399782,0.5433999777,0.5460799932,0.4995999873,0.4205599904,0.5452799916,0.540079987,0.54095999,0.5461199999,0.5409600019,0.5364399791,0.5332799852,0.4452799857,0.3938799918,0.5578799903,0.5464999914,0.5197399855,0.5120999902,0.5339799881,0.5133999825,0.5150399864,0.5091999888
73,0.5453999996,0.5401199937,0.5548799992,0.5487199903,0.5427599907,0.5393999815,0.4886399925,0.434799999,0.5412399769,0.5413999796,0.5334799886,0.5352799952,0.5524799943,0.5220799804,0.5241199911,0.4438399911,0.3802399874,0.5593599796,0.5524599969,0.5197399855,0.5149999827,0.5446799815,0.5207999885,0.5230799794,0.5147679806
74,0.549759984,0.5527199864,0.5463600039,0.5480799913,0.5493600011,0.5600399971,0.510319984,0.445239985,0.5605199933,0.5465999961,0.5471199751,0.5521599889,0.55,0.5517199993,0.5369999886,0.4250799894,0.3950399935,0.5607599854,0.5527599812,0.5210999876,0.5254599929,0.5421999872,0.5185200006,0.5298399806,0.5305919766
75,0.5557999849,0.5486799955,0.5566399932,0.5443599939,0.5621199846,0.5514000058,0.5085599899,0.4387199879,0.5472799897,0.5569599867,0.5434399843,0.5573199868,0.5602399826,0.5626399875,0.5332399964,0.4370399952,0.4011599958,0.5649399877,0.5551399887,0.5302599847,0.523179993,0.5373199821,0.5216599882,0.5243599772,0.5180400014
76,0.548239994,0.5451999903,0.5524399877,0.5417200089,0.5510399938,0.5447199821,0.4937599897,0.4496399939,0.5487199903,0.5524399996,0.5489999771,0.554919982,0.5491999865,0.5433200002,0.5438399971,0.461319989,0.4034799933,0.5670999885,0.5584399819,0.5330799878,0.5305199921,0.5448199868,0.530099988,0.5330399871,0.5250479996
77,0.5449599862,0.5547599792,0.5554799914,0.5481199741,0.561319983,0.5525599957,0.511959976,0.4493599892,0.5590399861,0.5477199912,0.5486400008,0.5503199935,0.559679985,0.5485200047,0.5282000005,0.455159992,0.391839993,0.5674799979,0.5510399938,0.531340003,0.531039989,0.5513599873,0.5243599892,0.5334799886,0.5215199947
78,0.5475999832,0.5559599757,0.5562000036,0.5575999856,0.5503999949,0.5596400023,0.5215599775,0.4489999831,0.5537199974,0.5563599944,0.5617599845,0.5643999934,0.5383599877,0.5487999916,0.5474799812,0.4204399943,0.4095199943,0.5641199827,0.5528399825,0.5250999808,0.5337199986,0.5500999987,0.5215399921,0.5409199834,0.5297679901
79,0.5497999787,0.5502399921,0.5609599948,0.5481599927,0.5545599818,0.5604799986,0.5173599899,0.4548799932,0.5561999798,0.5496399879,0.5413599849,0.5521999836,0.5617599845,0.5434399962,0.5373199821,0.4571599901,0.4444399953,0.5771399915,0.5574599862,0.5389199793,0.5351199985,0.5493599892,0.5308199942,0.5273199916,0.5326479912
80,0.5453999877,0.5571199894,0.5574399829,0.5588799834,0.5524399877,0.5582399964,0.5166799903,0.4519199848,0.5653199911,0.5497999787,0.5457999825,0.5465599895,0.5501999855,0.5561200023,0.541839993,0.4663999856,0.4303999901,0.5700199842,0.5558799863,0.5349399865,0.54102,0.5556799889,0.5347799838,0.5419199824,0.541455996
81,0.5510800004,0.563199985,0.5572399855,0.5620799899,0.5535999894,0.5616399884,0.5258799791,0.4571199894,0.5607999921,0.5525599718,0.5605999947,0.5566799998,0.5627999902,0.5587999821,0.5495999932,0.4683599949,0.3955599964,0.5746799886,0.5625199854,0.5373999894,0.5406999826,0.5524199784,0.531859988,0.5483999968,0.5442719698
82,0.5651999831,0.5698799968,0.5691599846,0.5581599951,0.5628000021,0.5746399879,0.5157999992,0.4653999865,0.5725599885,0.5585199833,0.5558799863,0.5731199861,0.56947999,0.5592799902,0.5457199872,0.4716799974,0.4265599966,0.5743199944,0.5735799789,0.5402799904,0.5404399931,0.5626799881,0.5426999867,0.5449599862,0.5414719939
83,0.567719996,0.5686399817,0.5623999715,0.5641599894,0.5625200033,0.5639599919,0.516079998,0.4754799962,0.565719986,0.558799994,0.5649999976,0.5642799973,0.5685199976,0.5643999815,0.5483200014,0.4582399905,0.4318799853,0.5760799885,0.5613399923,0.5494399846,0.5441599965,0.5544599891,0.5412999928,0.5419199824,0.53832798
84,0.5667599916,0.5726799846,0.5673199892,0.5624399781,0.5736799836,0.5717199802,0.5240400016,0.4503199875,0.5730800033,0.5656799912,0.5648799896,0.5711599946,0.5632000089,0.5667599797,0.5613999844,0.4910399854,0.4456399918,0.5801999867,0.5688799798,0.5467599869,0.54993999,0.5591399848,0.5487599909,0.5544399858,0.5397920012
85,0.5571599841,0.5735199809,0.5741599917,0.5526799917,0.568599987,0.5768799901,0.5159199953,0.4842799842,0.5699200034,0.5597599983,0.560199976,0.5628799796,0.5685199857,0.5660399914,0.5621599913,0.4697199941,0.4461599946,0.5819999993,0.5676999927,0.5489599884,0.5459599912,0.5639399946,0.5460199833,0.5581999898,0.5481199741
86,0.5688799858,0.5669999957,0.580919981,0.5737599969,0.5705999851,0.5805999756,0.5384799957,0.5041999876,0.579399991,0.5640399694,0.5590799928,0.5783199906,0.5763199925,0.5703999877,0.5499199808,0.4949999869,0.4294799924,0.5795199931,0.5715799868,0.5479199886,0.5547999859,0.5680600047,0.5535199821,0.5548400044,0.5484239936
87,0.5607200027,0.5744800091,0.5751599789,0.5637599945,0.575399971,0.5692000031,0.5339999795,0.4781599939,0.5722399831,0.563079977,0.5698799849,0.5663199902,0.5725199819,0.5741599798,0.5507199824,0.4913999975,0.4379999876,0.5806999922,0.5738999903,0.5550599933,0.5455599785,0.5635199845,0.5546999812,0.5491999865,0.5475119829
88,0.5711600065,0.5803599954,0.5755999804,0.5629999876,0.5705199838,0.5712799907,0.5323599875,0.4787599921,0.5772400022,0.5709199905,0.5606799841,0.5705199838,0.5623999953,0.5781199932,0.5552799881,0.4556399882,0.456039995,0.5870599926,0.5794999838,0.5551399887,0.5580199838,0.5645799875,0.552519989,0.5618399858,0.5530719876
89,0.5690400004,0.57148,0.5788399935,0.5794399858,0.5736400008,0.5852399826,0.5491599917,0.4884399951,0.581919992,0.5690799832,0.5729199767,0.5697599888,0.5815999746,0.5802399993,0.5681999922,0.4825199902,0.4333999872,0.5876199782,0.5828999937,0.5527799845,0.5580599844,0.565139997,0.5549199939,0.5574800014,0.5554399848
90,0.5797999859,0.5838399887,0.5799600005,0.5817599893,0.5847199917,0.5840000033,0.5503199816,0.4905599952,0.5855999947,0.5825199723,0.5725999951,0.5794799924,0.5793599844,0.5732399821,0.5696399927,0.5029199839,0.4660399973,0.5932799876,0.5773799896,0.5471999943,0.5664799869,0.5666799903,0.5548999965,0.5591599941,0.5583039999
91,0.5815599918,0.5788399935,0.5837199807,0.5845199943,0.5902799845,0.5806800008,0.5472799778,0.5013599873,0.5869199872,0.5676399827,0.5770399809,0.5743599772,0.5812799811,0.579399991,0.5720800042,0.4996399939,0.450759995,0.5926199853,0.5786399841,0.5607199907,0.5622999966,0.5711399913,0.5608799875,0.562199986,0.5609999895
92,0.5784399986,0.5807599902,0.5785599828,0.5727199793,0.5796799779,0.5866799951,0.550639987,0.496359992,0.5786800027,0.5804799795,0.5708399892,0.5741199851,0.5815199852,0.579399991,0.5717199922,0.4995599866,0.4524799943,0.5913999856,0.5829999864,0.5488999963,0.5666199923,0.580979991,0.556219995,0.5656799912,0.5655920029
93,0.5739999771,0.581039989,0.5816399813,0.5813999891,0.5707199812,0.5852799773,0.5560400009,0.4996799946,0.5812799811,0.5789599895,0.5750799775,0.5657199979,0.5825999856,0.5842799902,0.565079993,0.4799199939,0.4679599941,0.5928199887,0.5829599857,0.564019984,0.5649399817,0.5781999886,0.5679999888,0.5781599998,0.5750319839
94,0.5759600043,0.5807199955,0.5886799812,0.574879992,0.5823999882,0.5839199781,0.5606799841,0.4961199939,0.5836799979,0.5823999882,0.5773599863,0.5835199952,0.5797999859,0.5868399978,0.5831999898,0.5038799942,0.4788799882,0.5963199794,0.5802399933,0.5672799945,0.5691999972,0.5757199824,0.570359987,0.5608799815,0.5513359904
95,0.5764399767,0.5895599961,0.5902399898,0.5878399849,0.5890399814,0.588199985,0.5597200036,0.505159986,0.5785199881,0.5833999753,0.5718399763,0.5753199935,0.5905599833,0.5886799812,0.5766400099,0.5099600017,0.4733199954,0.5949999928,0.584559989,0.5631599903,0.5700599968,0.5821599901,0.5663999856,0.5737199783,0.5624159813
96,0.5894799948,0.5920799851,0.5913999915,0.5941599846,0.5913599968,0.5989599943,0.5660399795,0.5131199956,0.5935999751,0.5807599783,0.5739199758,0.5907999873,0.59599998,0.5993999958,0.5905199885,0.5051999867,0.4827199996,0.6016799986,0.5897999942,0.5667399883,0.5802999854,0.5781199932,0.5776799917,0.577279973,0.5675519943
97,0.5926799774,0.590079999,0.6023999929,0.5869599938,0.5894799829,0.594239974,0.561439991,0.5180799901,0.5970399976,0.5809599996,0.5842000008,0.59095999,0.5968000054,0.5975999951,0.5825999975,0.5116799772,0.4649599969,0.6062999904,0.5885999918,0.5749999821,0.5744599879,0.5838399947,0.5734799862,0.5816399932,0.5638479948
98,0.5896399975,0.5967199802,0.598879981,0.5953600049,0.5941999912,0.5965999842,0.565839982,0.5199999928,0.5956799865,0.5942399859,0.5895999789,0.589839983,0.6012400031,0.5955199838,0.5839999914,0.5212799907,0.4932000041,0.598939985,0.5888199806,0.5662999928,0.5782599866,0.5761199832,0.5769799888,0.5786399841,0.5727199912
99,0.5916799784,0.5868799806,0.6027599931,0.593599987,0.5983599901,0.5987199903,0.5641599774,0.5155999899,0.5933199883,0.5858399868,0.5850799918,0.5959200025,0.5919599771,0.5945199847,0.5856399775,0.5158799827,0.4913599908,0.6034199953,0.5966199994,0.5731999874,0.5838599861,0.5860799849,0.5790799916,0.5702800035,0.5739679933
100,0.5883200049,0.5921599865,0.5978399873,0.6028399944,0.5956799984,0.5995999932,0.5744399786,0.5155599833,0.5957199812,0.5847199917,0.5908799887,0.5853199959,0.5928399801,0.5930799842,0.5846399903,0.5326399803,0.4846399903,0.604219979,0.595299983,0.5792399824,0.5789199829,0.5874199867,0.5796199858,0.5829999924,0.5709599972
101,0.5915600061,0.595359993,0.5916799903,0.5938399792,0.5979599833,0.6001199841,0.5760399938,0.5338799953,0.5963199854,0.5951599956,0.5881999969,0.5950399876,0.5993199825,0.6007999897,0.5963199973,0.5332399845,0.4795199931,0.6070399821,0.6029599845,0.5823799789,0.5787799954,0.586499989,0.5813999891,0.587440002,0.5701759934
102,0.5940399885,0.6001199841,0.604519999,0.5951999903,0.59799999,0.5974399924,0.5770799756,0.5242799819,0.6042399764,0.5935599804,0.5933999896,0.5920399904,0.6027599812,0.598759985,0.5873599768,0.5224799991,0.4860799968,0.6086599827,0.5994199872,0.5807599843,0.5892599821,0.5924600065,0.5773599923,0.5850399852,0.575263989
103,0.597239995,0.5926799893,0.5979599833,0.5993600011,0.6041199923,0.6064799905,0.581159997,0.5234799981,0.6021599889,0.5999999881,0.5904399872,0.598239994,0.5965199828,0.6081599951,0.5866799831,0.5163999796,0.4918799996,0.6146399915,0.6011799932,0.5858199954,0.5841199994,0.5941399813,0.5902999938,0.5914799929,0.5783839941
104,0.6084800005,0.6112399936,0.6059999824,0.6095600009,0.5989599824,0.6057999849,0.5858799934,0.5306399941,0.6091199875,0.5993600011,0.5961599827,0.605159986,0.6041599751,0.6097999811,0.6057599902,0.5357999921,0.4896799922,0.61243999,0.6013399959,0.5807199955,0.5883799851,0.5977399826,0.5925999761,0.5931999922,0.5768959999
105,0.5921999812,0.6023199916,0.6045599818,0.6001199841,0.6040799975,0.613199985,0.5871999979,0.5402399898,0.6069999933,0.5965999842,0.5911199927,0.6009599686,0.5994399905,0.609799993,0.5922799945,0.5429599881,0.5033599913,0.6166999936,0.6070999861,0.5848199964,0.5814199805,0.597059983,0.5909799814,0.5976399899,0.5864639878
106,0.6059999824,0.611199975,0.615719986,0.6114799738,0.6120399952,0.6193199873,0.5903599858,0.5411999941,0.6045999885,0.608679986,0.5997199893,0.6079599977,0.6090799928,0.6097999811,0.6081999898,0.5440799832,0.4960799932,0.6152999878,0.6113999844,0.5889199913,0.5878599823,0.5977199852,0.593479991,0.5970799804,0.5881039739
107,0.6087199807,0.6133999825,0.6049999952,0.6169199944,0.6105200052,0.6166000009,0.5957199931,0.5430799723,0.6130399823,0.6078799963,0.6005599856,0.6022399902,0.6116399765,0.6176399827,0.6007199883,0.5340399861,0.520239985,0.6184199929,0.6148399949,0.5939599991,0.5922399879,0.6065999866,0.5976399839,0.5955599904,0.5634399951
108,0.6079599977,0.6123999834,0.6145999789,0.6095600009,0.6128399849,0.6145999789,0.5939999938,0.5461999774,0.6102399826,0.6088799953,0.6027199745,0.6081999779,0.6153599858,0.6155599713,0.6107200027,0.5378799796,0.4906799972,0.6186799884,0.6117599905,0.5969399869,0.5899399936,0.6072399795,0.5927599847,0.6020799875,0.5664399862
109,0.6092399836,0.6139999866,0.6182799816,0.6169199705,0.6227999926,0.6122399926,0.6021199942,0.5478799939,0.6186399937,0.6079200029,0.6026799798,0.6121599913,0.6224399924,0.6177999854,0.6102399826,0.5496799827,0.5065599978,0.623059994,0.6160999894,0.5990799963,0.5946999907,0.6076399922,0.6013999879,0.6008399844,0.5786799848
110,0.6139599919,0.617599988,0.6152399898,0.6180799961,0.6138399839,0.6193599939,0.6035999894,0.548759985,0.6184399843,0.6155599952,0.6065199852,0.6141599894,0.6139599919,0.6164399862,0.6074399948,0.546239984,0.4943999887,0.6244199932,0.6148199856,0.5977799952,0.587139976,0.6032199919,0.6012199879,0.5913599968,0.5717599809
111,0.6068399787,0.6186399817,0.6168399811,0.6165199876,0.61595999,0.6187199831,0.6060799837,0.5568799973,0.6162399769,0.6099199891,0.6129999876,0.6165999889,0.6220799923,0.6193599939,0.6134799838,0.5385999799,0.5047199786,0.6250599861,0.6169399917,0.6010199845,0.5960799813,0.6129799843,0.6043799818,0.6047599912,0.5810399771
112,0.6173999906,0.6180399776,0.6204399705,0.6249199986,0.6194000006,0.6233999968,0.6085199833,0.5522799969,0.6195999861,0.6189599872,0.6128399849,0.6119199753,0.6208799839,0.6206399798,0.6162399769,0.5647599936,0.5226799965,0.6272799909,0.6189399898,0.6021199942,0.5962199867,0.6133999884,0.6073999763,0.6078799844,0.5868799806
113,0.6140399814,0.6197599769,0.6259599805,0.6242799878,0.6245599985,0.6253199935,0.6030799985,0.5584399939,0.6191599965,0.6150399923,0.6130800009,0.6208399892,0.6242399812,0.6274799824,0.616719985,0.5635999918,0.5268000007,0.6313599944,0.6228399873,0.6019399941,0.6065399885,0.6136399806,0.6103999794,0.6020399809,0.5925999999
114,0.6178399801,0.6216399908,0.6232799768,0.6231599808,0.622119987,0.6275199771,0.604399991,0.5648800015,0.627159977,0.6167999744,0.6157999992,0.617599988,0.6244399786,0.6237199903,0.6147199988,0.5699599862,0.5263199925,0.6295799911,0.629459995,0.6071599901,0.604859978,0.6170799911,0.6067399979,0.6128399849,0.5888799787
115,0.6185199976,0.6215199947,0.6220799685,0.6221999884,0.6205999851,0.6280399919,0.6078799844,0.5666800022,0.6219199896,0.6167600036,0.6160399675,0.6182399869,0.6287999868,0.6226799846,0.6168799996,0.5735999942,0.5312399864,0.6336599946,0.6271999836,0.6128199875,0.6092799902,0.6203799844,0.6145599842,0.6103999853,0.5927599847
116,0.6206799865,0.6227199912,0.6321999788,0.6281199694,0.6267199874,0.6318799973,0.6121999979,0.5722799897,0.6263599992,0.6278399825,0.6148799896,0.6161599755,0.6224799991,0.6296800017,0.6248399854,0.5637199998,0.5311199903,0.6322199881,0.629919982,0.6106999934,0.6100999773,0.6197599828,0.6132999897,0.6151599884,0.5988399982
117,0.6211599827,0.6281200051,0.6293199897,0.6249999881,0.6263199806,0.6342399716,0.6199199915,0.572360003,0.6216799855,0.6256400108,0.6190799832,0.6231599808,0.6251199961,0.6295999885,0.6223199844,0.5703199863,0.5318799853,0.6361599803,0.6297799826,0.6128199816,0.604159987,0.6193999887,0.6164399922,0.6123199821,0.5992399931
118,0.6203999758,0.629039979,0.6286799788,0.6236799717,0.631039989,0.6328799844,0.6203199983,0.5739999771,0.6255999923,0.6233199716,0.6189199805,0.6252399921,0.6322799921,0.6291999936,0.6232799768,0.5776799917,0.5333200097,0.6411599874,0.6339199901,0.6198999882,0.6119999826,0.6232599854,0.6180199921,0.622119987,0.6032799721
119,0.62451998,0.6340799809,0.6325999975,0.6343199849,0.6334799886,0.642719996,0.6186799884,0.5755999923,0.6308799863,0.6220799923,0.6225599885,0.6308799982,0.6383200049,0.6314800024,0.6298399806,0.5806399822,0.5255599797,0.6395999789,0.63549999,0.6223399937,0.6111199915,0.6230799854,0.6181199849,0.6137999892,0.5979199886
120,0.6339199781,0.6303599834,0.6385599852,0.6412400007,0.6342399716,0.6378799915,0.6285199881,0.5735999823,0.6335599899,0.6279999852,0.6247999907,0.6295599937,0.6402799845,0.6356799841,0.6273199916,0.5788799882,0.5404399991,0.6403599858,0.6370399892,0.626579988,0.6186999917,0.6327199876,0.6227399826,0.6194399953,0.6071199894
121,0.6286799908,0.6339999914,0.6352799892,0.6345999837,0.6349999905,0.6403199792,0.6312399983,0.5699599743,0.6321599841,0.6239199877,0.630039978,0.6293599963,0.637079978,0.6391599894,0.6306399822,0.5853999853,0.5389599919,0.643299979,0.6385799944,0.6255399823,0.6209799886,0.6320599794,0.62293998,0.6237999916,0.6065999866
122,0.6353199959,0.6340399742,0.6360799789,0.6371199846,0.6387199879,0.6443999887,0.6317199707,0.5824399948,0.6372799993,0.6313999891,0.6279199958,0.6372799873,0.6437999725,0.638839972,0.6346399903,0.5825599909,0.5419599771,0.6442399859,0.641599983,0.6258199811,0.6204199851,0.6305999815,0.6262600005,0.629279995,0.6092399836
123,0.632559979,0.6351599932,0.6397999763,0.6397999763,0.6353999972,0.6448399901,0.6378399968,0.5857999921,0.6355199814,0.6343599796,0.6305999875,0.6342399836,0.6408799887,0.6415599823,0.6325199962,0.5905200005,0.5301199973,0.6451999903,0.6422799945,0.6314199865,0.6185599983,0.6341999888,0.6302599907,0.6293199778,0.6131999731
124,0.6398799777,0.6416399956,0.6414399981,0.6459999919,0.6406399727,0.6474399805,0.6341599941,0.591719985,0.6396799803,0.6342399836,0.6325999856,0.6352800012,0.6468399882,0.6423199892,0.6366399884,0.5922799945,0.5473999977,0.6467999816,0.6444400012,0.6311199903,0.6173799872,0.6340999901,0.6281999707,0.6341599822,0.6172799945
125,0.639320004,0.6395599961,0.6441599846,0.645879972,0.6467999935,0.6543200016,0.6376000047,0.5906000018,0.6444399953,0.6365199924,0.6338799834,0.6422799945,0.6464799762,0.6453199863,0.6382799864,0.5996799946,0.5580799818,0.6534799993,0.6483399868,0.634799993,0.6215999901,0.6370599866,0.6306599975,0.6347199917,0.6223999858
126,0.6371199846,0.6412399888,0.6446799874,0.6402799964,0.646359992,0.647759974,0.6383200049,0.5950399756,0.6411199927,0.6357999802,0.634559989,0.6412399888,0.6485999823,0.6463199854,0.64247998,0.5997199893,0.5548399925,0.651579982,0.6477399826,0.6334999919,0.6250799835,0.6378199875,0.6341599822,0.6323599815,0.6208400011
127,0.6431599855,0.6438799858,0.6480799794,0.6467599869,0.6466799855,0.6527999997,0.6406799912,0.5929199815,0.6469199896,0.6431199908,0.6405199885,0.6428799748,0.6495999813,0.6507999778,0.645359993,0.5938399911,0.5619599938,0.6523999989,0.6490399778,0.6369999945,0.625759989,0.6416399717,0.6333799839,0.6384399772,0.6251199841
128,0.6427599907,0.6464399815,0.6495199919,0.6528799891,0.6508799911,0.6569999933,0.645359993,0.5921200037,0.6467999935,0.6411999822,0.6423599839,0.6484399915,0.6522399902,0.6516799808,0.643479991,0.6023199916,0.5601999879,0.655099982,0.6516799867,0.6414399922,0.6287399888,0.6429599881,0.6365399837,0.6396000028,0.621239984
129,0.6431199789,0.6457999945,0.6468399882,0.6481999755,0.6497999907,0.6575999856,0.6481599689,0.6012399912,0.6472799897,0.6403999925,0.6393599749,0.6457999825,0.652399981,0.6519599795,0.6492399931,0.6031199694,0.5630399942,0.6551799774,0.6552999854,0.6416399837,0.627519995,0.6443399847,0.6347999811,0.6385199785,0.6224399805
130,0.644359982,0.6499199748,0.6528399944,0.6512399912,0.6505999804,0.6545599937,0.6474399924,0.5950399876,0.648999989,0.6427199721,0.6402399898,0.6465999961,0.6546799898,0.6540799856,0.6448399901,0.606919992,0.5634399891,0.6573799849,0.6568199992,0.6428799808,0.6313399851,0.6456599832,0.6382999837,0.6393199682,0.629399991
131,0.6480399728,0.6514799833,0.6552399874,0.6529199839,0.6511199832,0.6568399668,0.6503199816,0.6083999872,0.6496799946,0.6465199947,0.643840003,0.6503199816,0.6533599973,0.6524799943,0.6529199958,0.6072799683,0.5682799935,0.6585399926,0.655919981,0.6461599886,0.631039983,0.6481399953,0.6405399859,0.642839992,0.6316399813
