"Value","Value","Value","Value","Value","average"
3.86593627929687,3.81696653366089,3.91075801849365,3.93658781051636,3.9394268989563,3.89393510818481
3.59418177604675,3.4809205532074,3.67126226425171,3.60926127433777,3.61283612251282,3.59369239807129
3.36239957809448,3.30368280410767,3.34598684310913,3.42014193534851,3.38206195831299,3.36285462379456
3.23206996917725,3.12668657302856,3.18226194381714,3.17623424530029,3.22456192970276,3.1883629322052
3.00496935844421,2.99942708015442,3.07399034500122,2.97200083732605,3.01267600059509,3.0126127243042
2.85153031349182,2.76573538780212,2.85299777984619,2.86394548416138,2.91469693183899,2.8497811794281
2.75884485244751,2.71353578567505,2.80341625213623,2.75000762939453,2.77865934371948,2.76089277267456
2.61396813392639,2.57162857055664,2.67034459114075,2.71405100822449,2.59212160110474,2.6324227809906
2.5266740322113,2.53969955444336,2.51408338546753,2.55003643035889,2.56206560134888,2.53851180076599
2.47930264472961,2.50994086265564,2.520512342453,2.40678071975708,2.47043132781982,2.47739357948303
2.37158465385437,2.45010018348694,2.40833449363708,2.43018484115601,2.39283585548401,2.41060800552368
2.29986023902893,2.36183762550354,2.33357787132263,2.3020122051239,2.38831067085266,2.33711972236633
2.32193899154663,2.23364663124084,2.29273891448975,2.21376371383667,2.29201579093933,2.27082080841064
2.2261917591095,2.2530562877655,2.24392247200012,2.21936225891113,2.20758199691772,2.2300229549408
2.21988821029663,2.28511524200439,2.17889451980591,2.13038110733032,2.13429951667786,2.18971571922302
2.1913275718689,2.1271698474884,2.12437796592712,2.17054533958435,2.14767265319824,2.1522186756134
2.09757089614868,2.13410425186157,2.07110524177551,2.08585429191589,2.11994433403015,2.10171580314636
2.12864470481873,2.04525327682495,2.07319688796997,2.03141403198242,1.99974226951599,2.05565023422241
2.04808449745178,2.07136178016663,2.01613020896912,2.05596232414246,2.06680870056152,2.0516695022583
2.06117153167725,1.98348939418793,2.03580141067505,1.98825097084045,2.00771355628967,2.01528537273407
1.98186957836151,2.04150247573853,2.0654559135437,2.01192665100098,2.03706669807434,2.02756426334381
1.97552728652954,2.05272126197815,2.04318881034851,1.91463804244995,1.96544504165649,1.99030408859253
1.97884929180145,1.97801458835602,1.95465457439423,2.03893876075745,1.97068619728088,1.98422868251801
1.9407696723938,2.01879215240479,1.95647084712982,1.90740191936493,1.92298305034637,1.94928352832794
2.01375913619995,1.96829319000244,1.94815361499786,1.91465353965759,1.91467547416687,1.95190699100494
1.9164959192276,1.96970653533936,1.92399179935455,1.87205600738525,1.94507503509521,1.9254650592804
1.91884672641754,1.91626286506653,1.89399707317352,1.93076610565186,1.87589120864868,1.90715279579163
1.85590064525604,1.88735711574554,1.93510794639587,1.86708557605743,1.87826895713806,1.88474404811859
1.87799441814423,1.86001062393188,1.87461066246033,1.81521940231323,1.8945939540863,1.86448581218719
1.85371947288513,1.86402070522308,1.84388911724091,1.88634395599365,1.86940240859985,1.86347513198853
1.89969336986542,1.85616111755371,1.87227988243103,1.82394671440125,1.86494183540344,1.86340458393097
1.79280364513397,1.83588492870331,1.795294880867,1.83017003536224,1.82153308391571,1.81513731479645
1.78600549697876,1.78400909900665,1.85428607463837,1.81196320056915,1.87128603458405,1.8215099811554
1.8227813243866,1.84466171264648,1.86054849624634,1.78457486629486,1.85088396072388,1.83269007205963
1.84683680534363,1.79043960571289,1.79642426967621,1.80112278461456,1.78180849552155,1.80332639217377
1.84232938289642,1.78309810161591,1.81465256214142,1.77010369300842,1.77924776077271,1.79788630008698
1.87911415100098,1.80558454990387,1.85005831718445,1.81315326690674,1.8139408826828,1.83237023353577
1.76580119132996,1.77544856071472,1.79193639755249,1.7412474155426,1.90257012844086,1.79540073871613
1.79375815391541,1.82196474075317,1.77358078956604,1.71943843364716,1.8490024805069,1.79154891967773
1.79219722747803,1.80622923374176,1.84366452693939,1.72262072563171,1.77198171615601,1.78733868598938
1.80356168746948,1.81371998786926,1.79053854942322,1.78233730792999,1.76898801326752,1.79182910919189
1.83751702308655,1.84351694583893,1.75909733772278,1.77985942363739,1.74333083629608,1.79266431331635
1.73850309848785,1.76790761947632,1.84763073921204,1.78413820266724,1.8270115852356,1.79303824901581
1.76255869865417,1.73704171180725,1.78192567825317,1.68880105018616,1.78938686847687,1.75194280147553
1.76175534725189,1.77908432483673,1.80123913288116,1.74536466598511,1.76072001457214,1.76963269710541
1.77354252338409,1.77158057689667,1.72861444950104,1.79017639160156,1.7683162689209,1.76644604206085
1.8055385351181,1.76950836181641,1.76444435119629,1.72395658493042,1.75542664527893,1.76377489566803
1.75806069374084,1.81504666805267,1.75449872016907,1.75167989730835,1.76016581058502,1.76789035797119
1.77357149124146,1.7369556427002,1.72554349899292,1.71162903308868,1.75539362430573,1.7406186580658
1.76037192344666,1.80571401119232,1.81551432609558,1.70144724845886,1.81949305534363,1.78050811290741
2.32926821708679,2.18320536613464,2.44279289245605,2.2001621723175,2.34600138664246,2.30028600692749
2.11009502410889,2.03432250022888,2.11722016334534,2.17899036407471,2.15945601463318,2.1200168132782
1.98107075691223,2.11463856697083,1.9970930814743,1.94292974472046,2.11319994926453,2.02978641986847
1.95423626899719,1.90476536750793,1.91929006576538,1.94197225570679,2.00440955162048,1.94493470191956
1.89137876033783,2.02990174293518,1.94390535354614,2.09811305999756,1.83631932735443,1.95992364883423
1.90803575515747,1.94913876056671,1.92867422103882,1.96488726139069,1.83535170555115,1.91721754074097
1.83150732517242,1.93911290168762,1.8270024061203,1.92070841789246,1.85928416252136,1.87552304267883
1.9033694267273,1.88288736343384,1.81260144710541,1.98984611034393,1.74792039394379,1.86732494831085
1.81522297859192,1.79895448684692,1.89457321166992,1.76858973503113,1.79011452198029,1.81349098682404
1.78552293777466,1.74645388126373,1.89218425750732,1.81986713409424,1.75303304195404,1.7994122505188
1.82103300094605,1.81050026416779,2.01724600791931,1.91718995571136,1.80103206634521,1.87340025901794
1.71474051475525,1.66258442401886,1.80649435520172,1.93820643424988,1.75435650348663,1.77527644634247
1.84078860282898,1.69440484046936,1.77293848991394,1.75145101547241,1.827019572258,1.77732050418854
1.72265493869782,1.71876215934753,1.82534313201904,1.78508055210114,1.84970092773438,1.78030834197998
1.84547436237335,1.82306861877441,1.77935004234314,1.68705320358276,1.78973567485809,1.78493638038635
1.79818940162659,1.7130743265152,1.74963915348053,1.76293110847473,1.85121417045593,1.7750096321106
1.72382318973541,1.64221787452698,1.67862856388092,1.66614031791687,1.87564599514008,1.71729118824005
1.61115944385529,1.76027369499207,1.69803321361542,1.6892226934433,1.68339395523071,1.68841660022736
1.7033234834671,1.72249925136566,1.67399060726166,1.69301617145538,1.71526062488556,1.70161802768707
1.71906399726868,1.67558324337006,1.75616860389709,1.6742639541626,1.69533824920654,1.70408360958099
1.70515894889832,1.74974501132965,1.70657360553741,1.66733384132385,1.61913573741913,1.68958942890167
1.77997410297394,1.717942237854,1.72065377235413,1.7850866317749,1.63968729972839,1.72866880893707
1.66533517837524,1.62542641162872,1.67996573448181,1.72221159934998,1.71735310554504,1.68205840587616
1.66462457180023,1.69121074676514,1.62462890148163,1.73677396774292,1.62133026123047,1.66771368980408
1.65459883213043,1.60589647293091,1.63517665863037,1.66136240959167,1.69668531417847,1.65074393749237
1.61646401882172,1.62145304679871,1.599888920784,1.77082109451294,1.67680144309998,1.65708570480347
1.74760413169861,1.66024136543274,1.64913213253021,1.7398464679718,1.66286516189575,1.69193785190582
1.6390643119812,1.70234000682831,1.59505987167358,1.79533576965332,1.75029075145721,1.69641814231873
1.72150337696075,1.54484164714813,1.62079668045044,1.70868599414825,1.71929979324341,1.6630254983902
1.7204841375351,1.65627455711365,1.77214884757996,1.69426572322845,1.67061579227448,1.70275781154633
1.7073655128479,1.62915670871735,1.72209417819977,1.59033274650574,1.6818767786026,1.66616518497467
1.5820620059967,1.55074799060822,1.64368462562561,1.62716507911682,1.59881818294525,1.60049557685852
1.59853041172028,1.5712456703186,1.6665666103363,1.59908652305603,1.64222097396851,1.61553003787994
1.56019997596741,1.60632920265198,1.59247386455536,1.72158420085907,1.57157504558563,1.61043245792389
1.6950603723526,1.72649228572845,1.65410351753235,1.64395999908447,1.5492559671402,1.65377442836761
1.63710367679596,1.64609801769257,1.5405421257019,1.59124994277954,1.6142144203186,1.60584163665771
1.63763129711151,1.62270867824554,1.52170205116272,1.71054625511169,1.75394654273987,1.64930696487427
1.59160804748535,1.6645028591156,1.54275333881378,1.59316122531891,1.63167107105255,1.60473930835724
1.53561985492706,1.67148745059967,1.64267206192017,1.6018248796463,1.55048072338104,1.60041699409485
1.53784501552582,1.45477616786957,1.54400682449341,1.67092478275299,1.53580641746521,1.5486718416214
1.52836668491364,1.488236784935,1.51539647579193,1.6289165019989,1.58665728569031,1.54951474666595
1.61611521244049,1.52458846569061,1.56389975547791,1.57674551010132,1.60671544075012,1.57761287689209
1.65574634075165,1.49473965167999,1.57354116439819,1.64813363552094,1.59021842479706,1.59247584342957
1.60187923908234,1.61902177333832,1.71576058864594,1.5065176486969,1.55499756336212,1.59963536262512
1.6460485458374,1.57518112659454,1.60236692428589,1.56320488452911,1.58905732631683,1.59517176151276
1.57485711574554,1.46673560142517,1.59319663047791,1.55416035652161,1.49901759624481,1.53759346008301
1.56068789958954,1.46613085269928,1.48907911777496,1.51864910125732,1.5659111738205,1.52009162902832
1.61223769187927,1.51133620738983,1.47673559188843,1.59714925289154,1.49952208995819,1.53939616680145
1.53908812999725,1.46711182594299,1.53507626056671,1.61813271045685,1.52583801746368,1.5370493888855
1.53476917743683,1.49674510955811,1.57548785209656,1.52726423740387,1.5994256734848,1.54673840999603
1.53751134872437,1.58025538921356,1.52988362312317,1.48574423789978,1.61694252490997,1.55006742477417
1.57563376426697,1.47764706611633,1.49405455589294,1.51578009128571,1.65529429912567,1.54368195533752
1.52377212047577,1.47137010097504,1.5380871295929,1.53418445587158,1.55971491336823,1.5254257440567
1.48262298107147,1.48886048793793,1.48103225231171,1.4750235080719,1.48145616054535,1.48179907798767
