/home/miura/lab/KD-hdas/results/stat/20layer-reset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-discreteEval-reset_tb.csv,row_average
0.0653999969363212,0.0772799998521804,0.0925600007176399,0.0622400008141994,0.0751200020313263,0.0776399970054626,0.0726799964904785,0.0757599994540214,0.0716399997472763,0.0658399984240531,0.0736159991472959
0.1213200017809867,0.1163199990987777,0.1237599998712539,0.1160800009965896,0.1136000007390976,0.0934000015258789,0.0726799964904785,0.1163600012660026,0.121919997036457,0.1106399968266487,0.11060799956321714
0.1411599963903427,0.1392000019550323,0.1620800048112869,0.1475200057029724,0.1214400008320808,0.1443600058555603,0.1107599958777427,0.1574400067329406,0.1584399938583374,0.1570799946784973,0.14394800066947935
0.1812800019979477,0.1891600042581558,0.1820800006389618,0.1750800013542175,0.1777600049972534,0.1739600002765655,0.0726799964904785,0.1980399936437606,0.2003999948501587,0.1744000017642974,0.17248400002717973
0.1950799971818924,0.218079999089241,0.224040001630783,0.2186799943447113,0.2048799991607666,0.1966399997472763,0.1107599958777427,0.2172400057315826,0.2263199985027313,0.2124399989843368,0.20241599902510643
0.2156800031661987,0.2426799982786178,0.2392800003290176,0.2393199950456619,0.2299199998378753,0.2581200003623962,0.1389600038528442,0.2294400036334991,0.2522000074386596,0.2361599951982498,0.22817600071430202
0.2561199963092804,0.274040013551712,0.2628799974918365,0.2658399939537048,0.2674799859523773,0.2742800116539001,0.190760001540184,0.2663599848747253,0.2873199880123138,0.2675999999046325,0.2612679973244667
0.2838799953460693,0.2904799878597259,0.2669200003147125,0.283160001039505,0.2677199840545654,0.2965199947357178,0.2222799956798553,0.2921200096607208,0.2919600009918213,0.2883599996566772,0.2783399969339371
0.2874799966812134,0.3113600015640259,0.2719599902629852,0.3058800101280212,0.2915599942207336,0.3125999867916107,0.2220000028610229,0.3072800040245056,0.3158400058746338,0.2946400046348572,0.292059999704361
0.3245199918746948,0.3223600089550018,0.317359983921051,0.3189600110054016,0.3112399876117706,0.3148800134658813,0.2642799913883209,0.3275600075721741,0.3457599878311157,0.315200001001358,0.316211998462677
0.3317599892616272,0.3364000022411346,0.326119989156723,0.3409999907016754,0.3240399956703186,0.3455199897289276,0.2793999910354614,0.3324399888515472,0.344319999217987,0.3439199924468994,0.33049199283123015
0.3433600068092346,0.3429200053215027,0.356440007686615,0.3339999914169311,0.3580400049686432,0.3653999865055084,0.2826800048351288,0.3557600080966949,0.3407599925994873,0.3574000000953674,0.34367600083351135
0.3549599945545196,0.3763999938964844,0.3681600093841553,0.3743599951267242,0.3623600006103515,0.3478400111198425,0.3083600103855133,0.3732799887657165,0.3750399947166443,0.3574399948120117,0.35981999933719633
0.3670400083065033,0.3807199895381927,0.3710399866104126,0.3582800030708313,0.3762399852275848,0.3765999972820282,0.3170399963855743,0.3928399980068207,0.3803200125694275,0.369159996509552,0.36892799735069276
0.3793599903583526,0.4032000005245209,0.3967599868774414,0.3856399953365326,0.3680000007152557,0.4010800123214721,0.3451200127601623,0.3784799873828888,0.4027999937534332,0.3833999931812286,0.3843839973211288
