/home/miura/lab/KD-hdas/results/stat/30-20/acc/g-1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g-1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g-1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g-1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g-1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-1_30-20_tb.csv,row_average
0.0696799978613853,0.0803200006484985,0.0750000029802322,0.0938000008463859,0.0899199992418289,0.08174400031566617
0.1292800009250641,0.1297599971294403,0.1354800015687942,0.1354400068521499,0.1342400014400482,0.13284000158309933
0.1732800006866455,0.1754000037908554,0.1524800062179565,0.1840399950742721,0.1667999923229217,0.17039999961853028
0.2106799930334091,0.2155199944972992,0.2103199958801269,0.2054000049829483,0.1987199932336807,0.20812799632549286
0.2383600026369094,0.2432799935340881,0.2444799989461898,0.2630800008773803,0.2372799962759018,0.2452959984540939
0.2727999985218048,0.2625199854373932,0.2833200097084045,0.2797200083732605,0.2554399967193603,0.2707599997520447
0.3115600049495697,0.2959199845790863,0.2994000017642975,0.2979600131511688,0.2836399972438812,0.2976960003376007
0.3226000070571899,0.2980000078678131,0.3289600014686584,0.3099200129508972,0.3161999881267547,0.3151360034942627
0.3451200127601623,0.3365600109100342,0.3453199863433838,0.3438400030136108,0.3359200060367584,0.3413520038127899
0.3667199909687042,0.3482800126075744,0.3663199841976166,0.3639599978923797,0.3527199923992157,0.35959999561309813
0.3715200126171112,0.3743599951267242,0.3842799961566925,0.3837999999523163,0.380079984664917,0.3788079977035522
0.3799999952316284,0.3881199955940246,0.3933999836444855,0.409280002117157,0.3955999910831451,0.39327999353408816
0.4052000045776367,0.386240005493164,0.4141199886798858,0.3994799852371216,0.3957599997520447,0.4001599967479706
0.4184800088405609,0.4107199907302856,0.4121600091457367,0.414680004119873,0.4162400066852569,0.4144560039043427
0.4325999915599823,0.4163999855518341,0.4129999876022339,0.4353199899196625,0.4263199865818023,0.42472798824310304
0.426800012588501,0.4339599907398224,0.4257999956607818,0.4248799979686737,0.433239996433258,0.4289359986782074
0.4504799842834472,0.4442799985408783,0.4389199912548065,0.4528000056743622,0.444599986076355,0.4462159931659698
0.4436799883842468,0.44200000166893,0.4650000035762787,0.4502800107002258,0.4568800032138824,0.4515680015087128
0.4690800011157989,0.4496800005435943,0.4602000117301941,0.471919983625412,0.4576799869537353,0.46171199679374697
0.4657999873161316,0.4498400092124939,0.4625999927520752,0.4782399833202362,0.455480009317398,0.462391996383667
0.4514400064945221,0.4464800059795379,0.4674400091171264,0.4656800031661987,0.467960000038147,0.45980000495910645
0.4752799868583679,0.4714800119400024,0.4726000130176544,0.4826799929141998,0.4786399900913238,0.4761359989643097
0.4926799833774566,0.4794400036334991,0.4699999988079071,0.4718799889087677,0.4807600080966949,0.4789519965648651
