/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-L32_tb.csv,/home/miura/lab/KD-hdas/results/stat/32layer/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-L32_tb.csv,row_average
4.135812759399414,4.149158477783203,4.2583184242248535,4.184009552001953,4.192391395568848,4.210658073425293,4.435718536376953,4.299264430999756,4.232475280761719,4.277782917022705,4.23755898475647
3.862005233764648,3.988994598388672,3.9224114418029785,3.938095569610596,3.9681379795074463,4.058748245239258,4.012500762939453,4.066056251525879,3.997592210769653,4.013730049133301,3.9828272342681883
3.768899917602539,3.804100751876831,3.7557435035705566,3.7909417152404794,3.861387491226196,3.866896629333496,3.8269097805023193,3.8709774017333984,3.824371576309204,3.815864086151123,3.818609285354614
3.56654691696167,3.7480509281158447,3.521644592285156,3.6740081310272217,3.7004642486572266,3.6464436054229736,3.811445474624634,3.733599424362183,3.752687692642212,3.824317932128906,3.697920894622803
3.585301160812378,3.628175735473633,3.5401406288146973,3.5475950241088867,3.54259991645813,3.5520565509796143,3.5607869625091557,3.71677565574646,3.5289223194122314,3.5743677616119385,3.5776721715927122
3.4290661811828613,3.4540469646453857,3.3344967365264893,3.490473985671997,3.478268384933472,3.4216082096099854,3.407392263412476,3.4843807220458984,3.4866931438446045,3.4905073642730717,3.447693395614624
3.2752296924591064,3.4562504291534424,3.3366029262542725,3.257767915725708,3.3997063636779785,3.368170499801636,3.3390109539031982,3.4215807914733887,3.3375535011291504,3.4186809062957764,3.3610553979873656
3.196012496948242,3.2752504348754883,3.083617210388184,3.267608404159546,3.257147789001465,3.3166017532348637,3.2204015254974365,3.310692548751831,3.311701774597168,3.2804479598999023,3.2519481897354128
3.164365530014038,3.2119300365448,3.183972120285034,3.1415278911590576,3.138641595840454,3.1892294883728027,3.159749984741211,3.219167470932007,3.156595468521118,3.251459836959839,3.1816639423370363
3.088661193847656,3.121525764465332,2.9820215702056885,3.038280725479126,3.184972047805786,3.12965989112854,3.126908302307129,3.110404253005981,3.1397221088409424,3.137441635131836,3.105959749221802
3.015037298202514,3.0389859676361084,2.986000061035156,2.923898458480835,3.056714534759521,3.028892040252685,3.032874822616577,3.117163181304932,2.9615797996521,3.00569748878479,3.016684365272522
3.059992790222168,3.022031545639038,2.885196685791016,2.9053075313568115,3.001567840576172,3.005563497543335,2.88051986694336,3.0407772064208984,2.980597496032715,2.938319683074951,2.971987414360046
2.9257378578186035,2.8999948501586914,2.8005194664001465,2.8258767127990723,2.848911762237549,2.906883478164673,2.8555245399475098,3.004614353179932,2.8213582038879395,2.949373483657837,2.883879470825195
2.748345136642456,2.808080673217773,2.732386827468872,2.7237260341644287,2.858987808227539,2.8739688396453857,2.7625539302825928,2.900773763656616,2.847532272338867,2.8736002445220947,2.8129955530166626
2.867677927017212,2.780401945114136,2.745152235031128,2.691337823867798,2.863515138626098,2.854539632797241,2.756237745285034,2.868473052978516,2.726553201675415,2.746875286102295,2.790076398849487
2.7492663860321045,2.719316244125366,2.5994627475738525,2.6297669410705566,2.6913158893585205,2.695969581604004,2.66910457611084,2.760262489318848,2.7081477642059326,2.694663047790528,2.691727566719055
2.5860512256622314,2.623119831085205,2.6095879077911377,2.5889317989349365,2.647648334503174,2.6587443351745605,2.642234563827514,2.705551624298096,2.590955972671509,2.7191951274871826,2.6372020721435545
2.683659791946411,2.6607589721679688,2.652175188064575,2.4924850463867188,2.595818996429444,2.599251508712769,2.604855298995972,2.682992935180664,2.573493480682373,2.6942176818847656,2.623970890045166
2.603822946548462,2.5395827293396,2.497659921646118,2.6425061225891118,2.5257387161254883,2.553257703781128,2.484437942504883,2.607271432876587,2.462799310684204,2.617830991744995,2.5534907817840575
2.570671319961548,2.442359685897827,2.514967679977417,2.533466339111328,2.494090795516968,2.5982866287231445,2.4755735397338867,2.5187249183654785,2.5225181579589844,2.564687013626098,2.5235346078872682
2.460794448852539,2.544379234313965,2.5311930179595947,2.456784725189209,2.461271047592163,2.527801990509033,2.5473906993865967,2.494623899459839,2.3782339096069336,2.5019071102142334,2.4904380083084106
2.5623013973236084,2.461803436279297,2.406083583831787,2.338120698928833,2.4103598594665527,2.4072232246398926,2.366534948348999,2.478126049041748,2.37241005897522,2.464918375015259,2.42678816318512
2.494504928588867,2.5155091285705566,2.3963418006896973,2.394574880599976,2.38501524925232,2.41910171508789,2.3340611457824707,2.538053512573242,2.298234701156616,2.3769514560699463,2.415234851837158
2.44036602973938,2.380009651184082,2.35664439201355,2.3135111331939697,2.388925790786743,2.4260919094085693,2.3909151554107666,2.352636337280273,2.3277482986450195,2.489079475402832,2.3865928173065187
2.3984525203704834,2.337538480758667,2.287040948867798,2.281120777130127,2.287099838256836,2.4496490955352783,2.3107593059539795,2.30423903465271,2.2360968589782715,2.356780767440796,2.3248777627944945
2.3215765953063965,2.314399003982544,2.3193156719207764,2.272742509841919,2.3390746116638184,2.2404322624206543,2.3159916400909424,2.282711982727051,2.2235960960388184,2.399044990539551,2.302888536453247
2.342738389968872,2.322798728942871,2.319727897644043,2.2585289478302,2.3417787551879883,2.317253351211548,2.248692989349365,2.3008182048797607,2.3085081577301025,2.309995412826538,2.307084083557129
2.4605753421783447,2.2585391998291016,2.217695474624634,2.1846766471862797,2.2076785564422607,2.2482521533966064,2.2588484287261963,2.315004825592041,2.252305269241333,2.3180277347564697,2.272160363197327
2.2228879928588867,2.299208641052246,2.1799428462982178,2.186203718185425,2.205533504486084,2.2646937370300293,2.173866033554077,2.2654857635498047,2.166064977645874,2.226210832595825,2.219009804725647
2.306885242462158,2.293769121170044,2.197847366333008,2.2319068908691406,2.2731964588165283,2.2064058780670166,2.1631319522857666,2.223220109939575,2.1571288108825684,2.336298704147339,2.2389790534973146
2.191713333129883,2.2012436389923096,2.377283811569214,2.254772663116455,2.2191524505615234,2.173612356185913,2.214015245437622,2.2119691371917725,2.1670589447021484,2.205045700073242,2.221586728096008
2.1529462337493896,2.235291004180908,2.17812728881836,2.324345827102661,2.114804744720459,2.141435146331787,2.1475441455841064,2.1548476219177246,2.137893915176392,2.5081779956817627,2.209541392326355
