/home/miura/lab/KD-hdas/results/stat/30-20/acc/g0.001/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g0.001_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g0.001/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g0.001_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g0.001/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g0.001_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g0.001/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g0.001_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g0.001/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g0.001_30-20_tb.csv,row_average
0.0692399963736534,0.0893599987030029,0.068120002746582,0.0881199985742569,0.0750000029802322,0.07796799987554547
0.124439999461174,0.127360001206398,0.1356000006198883,0.1400800049304962,0.1414799988269806,0.13379200100898742
0.1686799973249435,0.1754399985074997,0.1671600043773651,0.1637600064277649,0.1813199967145919,0.17127200067043302
0.1969999969005584,0.1969199925661087,0.2016000002622604,0.2078399956226349,0.2269999980926513,0.20607199668884274
0.2322800010442733,0.2422800064086914,0.2403599917888641,0.2398000061511993,0.263839989900589,0.24371199905872346
0.2691999971866607,0.27292001247406,0.2797999978065491,0.2834799885749817,0.2861199975013733,0.27830399870872496
0.2886799871921539,0.2993200123310089,0.3030399978160858,0.2895999848842621,0.3005599975585937,0.2962399959564209
0.3143199980258941,0.3230400085449219,0.3294799923896789,0.3303200006484985,0.3344399929046631,0.3263199985027313
0.3389999866485595,0.3389999866485595,0.3420400023460388,0.3391999900341034,0.3446399867534637,0.34077599048614504
0.3488000035285949,0.3587200045585632,0.3619199991226196,0.3584800064563751,0.3682799935340881,0.3592400014400482
0.3656399846076965,0.3766799867153168,0.3869999945163727,0.3867200016975403,0.3777999877929687,0.378767991065979
0.3903599977493286,0.391319990158081,0.3917999863624573,0.4006400108337402,0.3894000053405761,0.39270399808883666
0.3977999985218048,0.4020799994468689,0.4007200002670288,0.4078399837017059,0.4059599936008453,0.40287999510765077
0.4076800048351288,0.4050000011920929,0.4287599921226501,0.426800012588501,0.4248000085353851,0.4186080038547516
0.4169999957084656,0.4325200021266937,0.4144800007343292,0.4327200055122375,0.435479998588562,0.4264400005340576
0.4431999921798706,0.4372000098228454,0.4282400012016296,0.4352799952030182,0.4418799877166748,0.43715999722480775
