/home/miura/lab/KD-hdas/results/stat/0-50/g1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g1_0-50_tb.csv,row_average
3.9318361282348633,3.893742561340332,3.9153707027435294,3.8999814987182617,4.0131144523620605,3.9308090686798094
3.5487513542175293,3.5764827728271484,3.5926284790039062,3.5744950771331787,3.6131322383880615,3.5810979843139648
3.4286882877349854,3.366511583328247,3.3428964614868164,3.338951587677002,3.267810583114624,3.348971700668335
3.138145923614502,3.1666579246521,3.1572911739349365,3.1808021068573,3.060642004013061,3.14070782661438
2.99390721321106,3.0024654865264893,2.9783010482788086,2.940802812576294,2.879828453063965,2.9590610027313233
2.830852031707764,2.8556160926818848,2.8431379795074463,2.900756597518921,2.7601263523101807,2.8380978107452393
2.713945150375366,2.7288565635681152,2.720215320587158,2.717043161392212,2.6771433353424072,2.7114407062530517
2.4946448802948,2.6424739360809326,2.6141703128814697,2.561581611633301,2.570727586746216,2.5767196655273437
2.4859631061553955,2.536201000213623,2.512805938720703,2.4829354286193848,2.4219253063201904,2.4879661560058595
2.4653661251068115,2.445139646530152,2.449341297149658,2.330907821655273,2.32602334022522,2.4033556461334227
2.3505868911743164,2.37017822265625,2.4128384590148926,2.302542924880981,2.405309200286865,2.368291139602661
2.1833956241607666,2.260256290435791,2.3095436096191406,2.270257472991944,2.197242498397827,2.2441390991210937
2.1844050884246826,2.354580879211426,2.341374158859253,2.204130172729492,2.1439547538757324,2.2456890106201173
2.0983455181121826,2.200668334960937,2.162261724472046,2.2010703086853027,2.1210803985595703,2.1566852569580077
2.07537841796875,2.176292657852173,2.132429838180542,2.0400469303131104,2.110247611999512,2.1068790912628175
2.0963683128356934,2.1477646827697754,2.1385715007781982,2.075244903564453,2.083420753479004,2.1082740306854246
2.026564121246338,2.161209344863892,2.0635266304016118,1.967750906944275,1.9863449335098269,2.0410791873931884
1.928444981575012,2.044731855392456,2.020052671432495,1.9691699743270876,1.9787598848342896,1.9882318735122682
2.0060596466064453,2.035301685333252,2.0257761478424072,1.974548101425171,1.976808190345764,2.0036987543106077
1.9085009098052976,2.054839849472046,2.031681776046753,1.9553231000900269,1.9740126132965088,1.9848716497421264
1.916536808013916,1.97274386882782,1.9833574295043943,1.9828072786331177,1.9298572540283203,1.9570605278015136
1.9541356563568115,2.009737014770508,1.925209879875183,1.925487041473389,1.88522207736969,1.9399583339691162
1.84813392162323,2.016026973724365,1.9138004779815676,1.8674324750900269,1.8973429203033447,1.9085473537445068
1.8682745695114136,2.0038986206054688,1.926041603088379,1.895559549331665,1.8943514823913572,1.9176251649856568
1.8759188652038572,1.9278099536895752,1.9233049154281616,1.8631147146224976,1.887547492980957,1.8955391883850097
1.8015973567962649,1.8949227333068848,1.9489285945892332,1.8850518465042116,1.8436769247055051,1.87483549118042
