/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-discreteEval-reset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-reset/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-discreteEval-reset_tb.csv,row_average
4.034306526184082,3.978523015975952,3.895082473754883,4.130296230316162,3.9769980907440186,3.930875301361084,3.990778684616089,4.012074947357178,3.987729072570801,4.026693344116211,3.996335768699646
3.685123205184937,3.728824615478516,3.718438625335693,3.73926305770874,3.736724853515625,3.889329195022583,3.990778684616089,3.761651754379273,3.696119546890259,3.7279515266418457,3.767420506477356
3.5440919399261475,3.5485262870788574,3.4819493293762207,3.528744697570801,3.739245414733887,3.5509843826293945,3.7387242317199703,3.498887062072754,3.4318647384643555,3.49226713180542,3.5555285215377808
3.3590211868286133,3.301240921020508,3.356642961502075,3.3498942852020264,3.4025917053222656,3.3995862007141118,3.990778684616089,3.2793962955474854,3.234830379486084,3.374316453933716,3.404829907417297
3.258833408355713,3.153303384780884,3.1541707515716557,3.146453857421875,3.2332656383514404,3.253253698348999,3.7387242317199703,3.15317964553833,3.112610340118408,3.168949604034424,3.2372744560241697
3.19848108291626,3.0134799480438232,3.0652406215667725,3.068592071533203,3.056476593017578,2.9769632816314697,3.6327662467956543,3.153256893157959,2.976126194000244,3.067551374435425,3.120893430709839
2.974592924118042,2.895010471343994,2.983738660812378,2.897815465927124,2.922415971755981,2.9044525623321533,3.313253164291382,2.8977184295654297,2.8207812309265137,2.927468776702881,2.953724765777588
2.8401522636413574,2.7969300746917725,2.918825387954712,2.8394863605499268,2.9109907150268555,2.7818410396575928,3.1684279441833496,2.755669116973877,2.7523186206817627,2.807370901107788,2.8572012424468993
2.811350584030152,2.698405742645264,2.8643157482147217,2.7138314247131348,2.793164014816284,2.7102739810943604,3.1943814754486084,2.7209243774414062,2.6603965759277344,2.8008408546447754,2.796788477897644
2.629298210144043,2.6357264518737797,2.6638436317443848,2.667491912841797,2.6755900382995605,2.642941474914551,2.924058675765991,2.606738805770874,2.563199520111084,2.65969467163086,2.6668583393096923
