/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-relaxEval-LRreset_tb.csv,row_average
4.000174522399902,3.957252740859986,4.051557540893555,3.9760775566101074,3.953711748123169,4.054100036621094,4.030368328094482,3.9122297763824463,4.057671546936035,4.050742149353027,4.004388594627381
3.7164812088012695,3.7038495540618896,3.734606504440308,3.8152151107788086,3.723167657852173,3.984682321548462,3.8152143955230713,3.752248525619507,3.7412972450256343,3.687596321105957,3.767435884475708
3.632459878921509,3.5239503383636475,3.5725185871124268,3.479612350463867,3.559581995010376,3.5950868129730225,3.614768505096436,3.441113233566284,3.615032434463501,3.44539475440979,3.547951889038086
3.324251890182495,3.369612216949463,3.3201515674591064,3.33092999458313,3.4891343116760254,3.3248538970947266,3.3734421730041504,3.360309362411499,3.432567596435547,3.246554136276245,3.3571807146072388
3.3276233673095703,3.1749753952026367,3.219476222991944,3.195755958557129,3.2048451900482178,3.256588697433472,3.170491933822632,3.191176414489746,3.2199926376342773,3.093576192855835,3.205450201034546
3.0325815677642822,3.059826135635376,3.061594247817993,3.018195867538452,3.108327388763428,3.07643461227417,3.03591251373291,3.069467544555664,3.067636728286743,2.9633049964904785,3.04932816028595
2.925377368927002,2.9539780616760254,2.885453462600708,2.935828924179077,2.963543653488159,2.948448419570923,2.995347738265991,2.9159066677093506,2.9806222915649414,2.799277305603028,2.9303783893585207
2.861355781555176,2.881251096725464,2.802969217300415,2.775322437286377,2.881425380706787,2.784740686416626,2.9154062271118164,2.8153107166290283,2.858021974563598,2.7751834392547607,2.835098695755005
2.800831794738769,2.7250776290893555,2.7034387588500977,2.731400489807129,2.8307576179504395,2.7693889141082764,2.716501474380493,2.7330989837646484,2.8362462520599365,2.63307785987854,2.7479819774627687
2.6413536071777344,2.639853239059448,2.6236889362335205,2.6003377437591557,2.6521570682525635,2.672868251800537,2.6727254390716557,2.7328431606292725,2.662802219390869,2.642287492752075,2.654091715812683
2.629045009613037,2.5280277729034424,2.554260015487671,2.6665849685668945,2.616827726364136,2.5489652156829834,2.758150339126587,2.574992656707764,2.6388111114501958,2.520735740661621,2.603640055656433
2.524576425552368,2.4128262996673584,2.4550535678863525,2.575526237487793,2.523303508758545,2.519663095474243,2.6621804237365723,2.5141143798828125,2.4477381706237797,2.550637722015381,2.5185619831085204
2.448500633239746,2.337636709213257,2.4689722061157227,2.4720027446746826,2.485707998275757,2.4381887912750244,2.4280285835266118,2.446125268936157,2.447784185409546,2.3434767723083496,2.4316423892974854
2.3927481174468994,2.392096281051636,2.44972562789917,2.3235747814178467,2.4421393871307373,2.383587121963501,2.419685840606689,2.354701519012451,2.3504319190979004,2.307846069335937,2.381653666496277
2.302393913269043,2.2509305477142334,2.2923476696014404,2.371936798095703,2.37465763092041,2.3162121772766118,2.3314194679260254,2.317183017730713,2.361504077911377,2.261458396911621,2.3180043697357178
2.319056510925293,2.301734685897827,2.265988111495972,2.3189072608947754,2.2799198627471924,2.285682916641236,2.381508111953736,2.3569414615631104,2.2817368507385254,2.2016921043396,2.2993167877197265
2.2789089679718018,2.2451817989349365,2.2584118843078613,2.234187364578247,2.236654281616211,2.2116549015045166,2.208129644393921,2.242868423461914,2.1861822605133057,2.21120548248291,2.2313385009765625
2.267686128616333,2.139493465423584,2.2216622829437256,2.1678788661956787,2.18104887008667,2.2037549018859863,2.241114616394043,2.279827833175659,2.220627546310425,2.220556735992432,2.2143651247024536
2.206167697906494,2.1666860580444336,2.1253812313079834,2.1694936752319336,2.124852418899536,2.150510549545288,2.195958375930786,2.2137253284454346,2.108005285263061,2.064922332763672,2.152570295333862
2.1405746936798096,2.1872341632843018,2.064159154891968,2.1259520053863525,2.104553699493408,2.178752422332764,2.12000036239624,2.217357873916626,2.1253998279571533,2.1981239318847656,2.146210813522339
2.117115020751953,2.053402900695801,2.1953442096710205,2.0732994079589844,2.157924175262451,2.107698917388916,2.173912286758423,2.06287145614624,2.1248326301574707,2.071601867675781,2.113800287246704
2.098379850387573,2.109205722808838,2.111827850341797,2.100517749786377,2.0648112297058105,2.06318473815918,2.119128942489624,2.0659995079040527,2.1158580780029297,2.0451388359069824,2.0894052505493166
2.088981866836548,2.0199782848358154,2.035939693450928,2.0756139755249023,2.1279869079589844,2.093968391418457,2.078588485717773,2.113600730895996,2.0224769115448,2.084484100341797,2.0741619348526
2.1246178150177,2.054329395294189,2.034226894378662,2.018789529800415,2.0592129230499268,1.991754412651062,2.0984928607940674,2.070826530456543,2.037543773651123,2.025235414505005,2.0515029549598696
2.0218238830566406,1.9820066690444944,2.0470144748687744,2.041411638259888,1.9839578866958616,1.9858523607254028,2.0532960891723637,2.047743558883667,2.002715826034546,2.021361351013184,2.0187183737754824
1.9825985431671145,1.957828402519226,2.039275646209717,1.9753738641738887,1.9819157123565676,2.025202751159668,1.9704991579055784,2.00793981552124,2.0562636852264404,1.9871060848236084,1.998400366306305
2.016910552978516,1.960561156272888,2.042374610900879,1.9982402324676516,2.0280892848968506,2.009437322616577,1.9979064464569087,2.0093119144439697,2.0122108459472656,2.218600273132324,2.029364264011383
1.9971027374267576,2.0169942378997803,2.012107610702514,1.9787906408309937,1.972188234329224,1.9723576307296755,2.0260467529296875,1.995894193649292,1.973091006278992,1.9683082103729248,1.9912881255149841
2.041006326675415,2.089385986328125,2.055060386657715,2.0398592948913574,1.9983948469161987,1.9809818267822263,1.98921811580658,1.9718210697174072,1.9776095151901243,1.959485650062561,2.010282301902771
1.9296095371246336,1.9430798292160036,2.074042797088623,1.9570130109786987,1.950403451919556,1.8953158855438232,1.991145372390747,2.0235700607299805,1.96372389793396,2.009976387023926,1.9737880229949951
1.9826539754867556,1.9752559661865237,1.9836238622665403,1.9310781955718996,2.02146577835083,1.9876930713653564,1.955563187599182,2.0635571479797363,1.9623149633407595,1.963619828224182,1.9826825976371765
1.92070734500885,2.0275347232818604,1.9417545795440676,1.948498010635376,1.9381405115127563,2.0117337703704834,1.997784972190857,1.915266990661621,2.0193119049072266,2.0544567108154297,1.9775189518928529
1.9659029245376587,1.9489281177520752,1.985981583595276,2.0220909118652344,1.898000717163086,1.945953130722046,2.016720056533813,2.090564012527466,1.9432202577590945,2.143000602722168,1.9960362315177917
1.9534683227539065,1.9423496723175049,1.9755704402923584,2.0112173557281494,1.9284536838531492,2.0698461532592773,2.0241973400115967,2.023993730545044,1.9554117918014529,1.9624122381210327,1.9846920728683473
2.020420551300049,1.9606751203536987,1.941786289215088,2.008276462554932,1.9860185384750368,1.9834717512130735,1.9750797748565676,1.9697401523590088,2.049760103225708,1.934967041015625,1.9830195784568787
1.943828821182251,1.9164464473724363,2.0143041610717773,1.9013313055038448,1.9590097665786743,1.98384952545166,1.9876272678375244,1.8975144624710083,1.916291356086731,1.9819459915161133,1.9502149105072022
