/home/miura/lab/KD-hdas/results/stat/30-30/loss/g1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g1_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g1_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g1_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g1_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g1_30-30_tb.csv,row_average
3.913992404937744,3.923448324203491,3.9214584827423096,3.928657293319702,3.969967842102051,3.9315048694610595
3.5529654026031494,3.5813143253326416,3.581429243087769,3.718551635742188,3.786395311355591,3.6441311836242676
3.3430581092834477,3.4563117027282715,3.352913618087769,3.420949459075928,3.372968912124634,3.38924036026001
3.162225246429444,3.1659011840820312,3.0903074741363525,3.169571876525879,3.265058994293213,3.1706129550933837
3.0170600414276123,2.996390581130981,2.974191665649414,3.028268814086914,2.958782911300659,2.9949388027191164
2.862231492996216,2.8921892642974854,2.8271560668945312,2.9144084453582764,2.903602123260498,2.8799174785614015
2.686253547668457,2.7763261795043945,2.6652228832244877,2.7665562629699707,2.739456415176392,2.72676305770874
2.6096625328063965,2.6536786556243896,2.5548226833343506,2.6691389083862305,2.6312623023986816,2.6237130165100098
2.499373435974121,2.5872349739074707,2.553782224655152,2.581369400024414,2.522171974182129,2.5487864017486572
2.416220664978028,2.489295959472656,2.444268226623535,2.452784538269043,2.381246328353882,2.436763143539429
2.4003264904022217,2.3884401321411133,2.3435380458831787,2.3527255058288574,2.354599952697754,2.367926025390625
2.23559832572937,2.288510322570801,2.3963382244110107,2.3592634201049805,2.349849224090576,2.3259119033813476
2.2122652530670166,2.284453153610229,2.265598773956299,2.352705240249634,2.258836030960083,2.2747716903686523
2.1583430767059326,2.2100918292999268,2.2090988159179688,2.230118751525879,2.200780153274536,2.2016865253448485
