/home/miura/lab/KD-hdas/results/stat/30-20/acc/g-0.1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-0.1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g-0.1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-0.1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g-0.1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-0.1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g-0.1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-0.1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g-0.1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-0.1_30-20_tb.csv,row_average
0.0822400003671646,0.067840002477169,0.0926000028848648,0.0957999974489212,0.0850400030612945,0.08470400124788283
0.1327999979257583,0.1351599991321563,0.1365199983119964,0.1460800021886825,0.1317600011825561,0.13646399974822992
0.1663199961185455,0.1646399945020675,0.1822800040245056,0.178519994020462,0.1731999963521957,0.17299199700355528
0.2074799984693527,0.2083999961614608,0.2119199931621551,0.2099200040102005,0.2044399976730346,0.20843199789524075
0.2341600060462951,0.2363599985837936,0.2429600059986114,0.2343199998140335,0.2573600113391876,0.24103200435638422
0.2710799872875213,0.2733199894428253,0.280239999294281,0.2732400000095367,0.2780799865722656,0.275191992521286
0.3072400093078613,0.2882800102233886,0.2992399930953979,0.3062399923801422,0.297760009765625,0.299752002954483
0.3325600028038025,0.3297599852085113,0.3242399990558624,0.3102400004863739,0.3141999840736389,0.32219999432563784
0.3384400010108948,0.3412399888038635,0.3316799998283386,0.3384000062942505,0.3364399969577789,0.33723999857902526
0.3554399907588959,0.3657599985599518,0.355679988861084,0.3668400049209595,0.3610399961471557,0.36095199584960935
0.3774000108242035,0.3688800036907196,0.3751600086688995,0.3901199996471405,0.380840003490448,0.3784800052642822
0.3971999883651733,0.3763599991798401,0.3894000053405761,0.3990399837493896,0.3983599841594696,0.39207199215888977
0.414000004529953,0.4112800061702728,0.4049200117588043,0.4089599847793579,0.3947199881076813,0.40677599906921386
0.4152799844741821,0.4165999889373779,0.4195199906826019,0.41975998878479,0.4147999882698059,0.41719198822975156
0.4210399985313415,0.4233199954032898,0.4305999875068664,0.4253999888896942,0.4300000071525574,0.4260719954967499
