/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-0001/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-0.001_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-0001/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-0.001_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-0001/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-0.001_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-0001/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-0.001_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g-0001/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-0.001_30-30_tb.csv,row_average
3.9888763427734375,3.919339656829834,3.9603075981140137,3.921189546585083,3.8938779830932617,3.936718225479126
3.5232901573181152,3.628376722335816,3.689198255538941,3.729921102523804,3.608862161636353,3.6359296798706056
3.3512513637542725,3.400449752807617,3.345961809158325,3.4031107425689697,3.364790201187134,3.3731127738952638
3.1533844470977783,3.2683193683624268,3.172981023788452,3.162930011749268,3.134430408477783,3.178409051895142
3.0368592739105225,3.048569440841675,3.03358006477356,2.98755431175232,2.9982173442840576,3.0209560871124266
2.8916492462158203,2.8626527786254883,2.850671768188477,2.8618416786193848,2.8658289909362797,2.8665288925170898
2.7878105640411377,2.7239925861358643,2.695784330368042,2.774466753005981,2.774940013885498,2.7513988494873045
2.6132774353027344,2.6175270080566406,2.597242832183838,2.6754395961761475,2.6377816200256348,2.628253698348999
2.618159770965576,2.505847215652466,2.6031832695007324,2.4843015670776367,2.584223508834839,2.55914306640625
2.442844867706299,2.503655195236206,2.407695770263672,2.3908302783966064,2.4836926460266118,2.445743751525879
2.421785354614258,2.4547996520996094,2.4307706356048584,2.41062068939209,2.393132209777832,2.4222217082977293
2.293208599090576,2.379344940185547,2.439772605895996,2.324113130569458,2.3325204849243164,2.3537919521331787
2.273253917694092,2.31851863861084,2.3688974380493164,2.2689225673675537,2.442980527877808,2.334514617919922
2.2366976737976074,2.2432098388671875,2.2175936698913574,2.227720260620117,2.229440212249756,2.230932331085205
2.238569498062134,2.191372871398926,2.186317443847656,2.158517837524414,2.189905166625977,2.192936563491821
2.174837589263916,2.239036321640014,2.145134925842285,2.176563262939453,2.156879186630249,2.1784902572631837
2.075514793395996,2.115851402282715,2.1463515758514404,2.0787694454193115,2.1265134811401367,2.10860013961792
2.0214576721191406,2.100172281265259,2.1461286544799805,2.0951943397521973,2.069751977920532,2.0865409851074217
2.037534475326538,2.106013774871826,2.0628058910369877,2.0312576293945312,2.123223066329956,2.0721669673919676
2.028562068939209,2.060357093811035,2.012959241867065,2.0382509231567383,2.061765670776367,2.040378999710083
