07/15 02:15:49AM parser.py:28 [INFO] 
07/15 02:15:49AM parser.py:29 [INFO] Parameters:
07/15 02:15:49AM parser.py:31 [INFO] ADVANCED=True
07/15 02:15:49AM parser.py:31 [INFO] BATCH_SIZE=64
07/15 02:15:49AM parser.py:31 [INFO] CIFAR=True
07/15 02:15:49AM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/15 02:15:49AM parser.py:31 [INFO] DATA_PATH=../data/
07/15 02:15:49AM parser.py:31 [INFO] DATASET=cifar100
07/15 02:15:49AM parser.py:31 [INFO] DESCRIPTION=pretrained_cosine_LR_features-0.001_classifier-0.01_warmup-0_50Epoch
07/15 02:15:49AM parser.py:31 [INFO] EPOCHS=50
07/15 02:15:49AM parser.py:31 [INFO] EXP_NAME=pretrained-20240715-021549
07/15 02:15:49AM parser.py:31 [INFO] GPUS=[0]
07/15 02:15:49AM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/15 02:15:49AM parser.py:31 [INFO] LR=0.001
07/15 02:15:49AM parser.py:31 [INFO] LR_MIN=0.0001
07/15 02:15:49AM parser.py:31 [INFO] MODEL_NAME=efficientnet_b0
07/15 02:15:49AM parser.py:31 [INFO] MOMENTUM=0.9
07/15 02:15:49AM parser.py:31 [INFO] NAME=FINETUNE2
07/15 02:15:49AM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_b0/FINETUNE2/pretrained-20240715-021549
07/15 02:15:49AM parser.py:31 [INFO] PRETRAINED=True
07/15 02:15:49AM parser.py:31 [INFO] SAVE=pretrained
07/15 02:15:49AM parser.py:31 [INFO] SEED=0
07/15 02:15:49AM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/15 02:15:49AM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/15 02:15:49AM parser.py:31 [INFO] WORKERS=4
07/15 02:15:49AM parser.py:32 [INFO] 
07/15 02:15:49AM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/15 02:24:37午前 trainTeacher_main.py:237 [INFO] Valid: [ 13/49] Final Prec@1 81.8400%
07/15 02:24:37午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 81.8400%
07/15 02:25:13午前 trainTeacher_main.py:209 [INFO] Train: [ 14/49] Final Prec@1 89.2244%
07/15 02:25:14午前 trainTeacher_main.py:237 [INFO] Valid: [ 14/49] Final Prec@1 82.0000%
07/15 02:25:14午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.0000%
07/15 02:25:51午前 trainTeacher_main.py:209 [INFO] Train: [ 15/49] Final Prec@1 89.5000%
07/15 02:25:52午前 trainTeacher_main.py:237 [INFO] Valid: [ 15/49] Final Prec@1 82.0600%
07/15 02:25:52午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.0600%
07/15 02:26:28午前 trainTeacher_main.py:209 [INFO] Train: [ 16/49] Final Prec@1 90.0756%
07/15 02:26:29午前 trainTeacher_main.py:237 [INFO] Valid: [ 16/49] Final Prec@1 82.0400%
07/15 02:26:29午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.0600%
07/15 02:27:05午前 trainTeacher_main.py:209 [INFO] Train: [ 17/49] Final Prec@1 90.5111%
07/15 02:27:07午前 trainTeacher_main.py:237 [INFO] Valid: [ 17/49] Final Prec@1 82.7200%
07/15 02:27:07午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.7200%
07/15 02:27:43午前 trainTeacher_main.py:209 [INFO] Train: [ 18/49] Final Prec@1 90.9533%
07/15 02:27:44午前 trainTeacher_main.py:237 [INFO] Valid: [ 18/49] Final Prec@1 82.9000%
07/15 02:27:44午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.9000%
07/15 02:28:21午前 trainTeacher_main.py:209 [INFO] Train: [ 19/49] Final Prec@1 91.4156%
07/15 02:28:22午前 trainTeacher_main.py:237 [INFO] Valid: [ 19/49] Final Prec@1 82.7200%
07/15 02:28:22午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.9000%
07/15 02:28:58午前 trainTeacher_main.py:209 [INFO] Train: [ 20/49] Final Prec@1 91.5978%
07/15 02:28:59午前 trainTeacher_main.py:237 [INFO] Valid: [ 20/49] Final Prec@1 82.2600%
07/15 02:28:59午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.9000%
07/15 02:29:36午前 trainTeacher_main.py:209 [INFO] Train: [ 21/49] Final Prec@1 91.9089%
07/15 02:29:37午前 trainTeacher_main.py:237 [INFO] Valid: [ 21/49] Final Prec@1 82.1600%
07/15 02:29:37午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.9000%
07/15 02:30:13午前 trainTeacher_main.py:209 [INFO] Train: [ 22/49] Final Prec@1 92.4378%
07/15 02:30:14午前 trainTeacher_main.py:237 [INFO] Valid: [ 22/49] Final Prec@1 82.5800%
07/15 02:30:14午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.9000%
07/15 02:30:51午前 trainTeacher_main.py:209 [INFO] Train: [ 23/49] Final Prec@1 92.5156%
07/15 02:30:52午前 trainTeacher_main.py:237 [INFO] Valid: [ 23/49] Final Prec@1 83.1200%
07/15 02:30:52午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1200%
07/15 02:31:28午前 trainTeacher_main.py:209 [INFO] Train: [ 24/49] Final Prec@1 92.9333%
07/15 02:31:29午前 trainTeacher_main.py:237 [INFO] Valid: [ 24/49] Final Prec@1 82.3000%
07/15 02:31:29午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1200%
07/15 02:32:06午前 trainTeacher_main.py:209 [INFO] Train: [ 25/49] Final Prec@1 93.0222%
07/15 02:32:07午前 trainTeacher_main.py:237 [INFO] Valid: [ 25/49] Final Prec@1 82.6200%
07/15 02:32:07午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1200%
07/15 02:32:43午前 trainTeacher_main.py:209 [INFO] Train: [ 26/49] Final Prec@1 93.5200%
07/15 02:32:44午前 trainTeacher_main.py:237 [INFO] Valid: [ 26/49] Final Prec@1 83.0800%
07/15 02:32:44午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.1200%
07/15 02:33:21午前 trainTeacher_main.py:209 [INFO] Train: [ 27/49] Final Prec@1 93.6311%
07/15 02:33:22午前 trainTeacher_main.py:237 [INFO] Valid: [ 27/49] Final Prec@1 83.5200%
07/15 02:33:22午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.5200%
07/15 02:33:58午前 trainTeacher_main.py:209 [INFO] Train: [ 28/49] Final Prec@1 93.6378%
07/15 02:33:59午前 trainTeacher_main.py:237 [INFO] Valid: [ 28/49] Final Prec@1 82.6000%
07/15 02:33:59午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.5200%
07/15 02:34:35午前 trainTeacher_main.py:209 [INFO] Train: [ 29/49] Final Prec@1 93.8756%
07/15 02:34:37午前 trainTeacher_main.py:237 [INFO] Valid: [ 29/49] Final Prec@1 82.7400%
07/15 02:34:37午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.5200%
07/15 02:35:13午前 trainTeacher_main.py:209 [INFO] Train: [ 30/49] Final Prec@1 94.0978%
07/15 02:35:14午前 trainTeacher_main.py:237 [INFO] Valid: [ 30/49] Final Prec@1 82.7800%
07/15 02:35:14午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.5200%
07/15 02:35:51午前 trainTeacher_main.py:209 [INFO] Train: [ 31/49] Final Prec@1 94.1689%
07/15 02:35:52午前 trainTeacher_main.py:237 [INFO] Valid: [ 31/49] Final Prec@1 83.0200%
07/15 02:35:52午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.5200%
07/15 02:36:28午前 trainTeacher_main.py:209 [INFO] Train: [ 32/49] Final Prec@1 94.5467%
07/15 02:36:29午前 trainTeacher_main.py:237 [INFO] Valid: [ 32/49] Final Prec@1 83.0800%
07/15 02:36:29午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.5200%
07/15 02:37:06午前 trainTeacher_main.py:209 [INFO] Train: [ 33/49] Final Prec@1 94.4422%
07/15 02:37:07午前 trainTeacher_main.py:237 [INFO] Valid: [ 33/49] Final Prec@1 82.9400%
07/15 02:37:07午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.5200%
07/15 02:37:43午前 trainTeacher_main.py:209 [INFO] Train: [ 34/49] Final Prec@1 94.7956%
07/15 02:37:44午前 trainTeacher_main.py:237 [INFO] Valid: [ 34/49] Final Prec@1 83.3800%
07/15 02:37:44午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.5200%
07/15 02:38:21午前 trainTeacher_main.py:209 [INFO] Train: [ 35/49] Final Prec@1 94.7244%
07/15 02:38:22午前 trainTeacher_main.py:237 [INFO] Valid: [ 35/49] Final Prec@1 82.7400%
07/15 02:38:22午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.5200%
07/15 02:38:58午前 trainTeacher_main.py:209 [INFO] Train: [ 36/49] Final Prec@1 94.7933%
07/15 02:38:59午前 trainTeacher_main.py:237 [INFO] Valid: [ 36/49] Final Prec@1 83.5000%
07/15 02:38:59午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.5200%
07/15 02:39:36午前 trainTeacher_main.py:209 [INFO] Train: [ 37/49] Final Prec@1 94.9444%
