07/13 07:12:18PM parser.py:28 [INFO] 
07/13 07:12:18PM parser.py:29 [INFO] Parameters:
07/13 07:12:18PM parser.py:31 [INFO] ADVANCED=True
07/13 07:12:18PM parser.py:31 [INFO] BATCH_SIZE=64
07/13 07:12:18PM parser.py:31 [INFO] CIFAR=True
07/13 07:12:18PM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/13 07:12:18PM parser.py:31 [INFO] DATA_PATH=../data/
07/13 07:12:18PM parser.py:31 [INFO] DATASET=cifar100
07/13 07:12:18PM parser.py:31 [INFO] DESCRIPTION=pretrained_cosine_LR_features-0.001_classifier-0.01_warmup-0
07/13 07:12:18PM parser.py:31 [INFO] EPOCHS=100
07/13 07:12:18PM parser.py:31 [INFO] EXP_NAME=pretrained-20240713-191218
07/13 07:12:18PM parser.py:31 [INFO] GPUS=[0]
07/13 07:12:18PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/13 07:12:18PM parser.py:31 [INFO] LR=0.001
07/13 07:12:18PM parser.py:31 [INFO] LR_MIN=0.0001
07/13 07:12:18PM parser.py:31 [INFO] MODEL_NAME=efficientnet_b0
07/13 07:12:18PM parser.py:31 [INFO] MOMENTUM=0.9
07/13 07:12:18PM parser.py:31 [INFO] NAME=FINETUNE2
07/13 07:12:18PM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_b0/FINETUNE2/pretrained-20240713-191218
07/13 07:12:18PM parser.py:31 [INFO] PRETRAINED=True
07/13 07:12:18PM parser.py:31 [INFO] SAVE=pretrained
07/13 07:12:18PM parser.py:31 [INFO] SEED=0
07/13 07:12:18PM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/13 07:12:18PM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/13 07:12:18PM parser.py:31 [INFO] WORKERS=4
07/13 07:12:18PM parser.py:32 [INFO] 
07/13 07:12:19PM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/13 07:30:20午後 trainTeacher_main.py:237 [INFO] Valid: [ 13/99] Final Prec@1 81.6800%
07/13 07:30:20午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 81.6800%
07/13 07:31:34午後 trainTeacher_main.py:209 [INFO] Train: [ 14/99] Final Prec@1 89.2844%
07/13 07:31:37午後 trainTeacher_main.py:237 [INFO] Valid: [ 14/99] Final Prec@1 82.2600%
07/13 07:31:37午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.2600%
07/13 07:32:51午後 trainTeacher_main.py:209 [INFO] Train: [ 15/99] Final Prec@1 89.6356%
07/13 07:32:53午後 trainTeacher_main.py:237 [INFO] Valid: [ 15/99] Final Prec@1 81.8000%
07/13 07:32:53午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.2600%
07/13 07:34:08午後 trainTeacher_main.py:209 [INFO] Train: [ 16/99] Final Prec@1 90.2889%
07/13 07:34:10午後 trainTeacher_main.py:237 [INFO] Valid: [ 16/99] Final Prec@1 81.8600%
07/13 07:34:10午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.2600%
07/13 07:35:24午後 trainTeacher_main.py:209 [INFO] Train: [ 17/99] Final Prec@1 90.6867%
07/13 07:35:26午後 trainTeacher_main.py:237 [INFO] Valid: [ 17/99] Final Prec@1 82.4200%
07/13 07:35:27午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.4200%
07/13 07:36:41午後 trainTeacher_main.py:209 [INFO] Train: [ 18/99] Final Prec@1 91.2222%
07/13 07:36:43午後 trainTeacher_main.py:237 [INFO] Valid: [ 18/99] Final Prec@1 82.8000%
07/13 07:36:43午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.8000%
07/13 07:37:58午後 trainTeacher_main.py:209 [INFO] Train: [ 19/99] Final Prec@1 91.7889%
07/13 07:38:00午後 trainTeacher_main.py:237 [INFO] Valid: [ 19/99] Final Prec@1 82.5000%
07/13 07:38:00午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.8000%
07/13 07:39:14午後 trainTeacher_main.py:209 [INFO] Train: [ 20/99] Final Prec@1 91.7800%
07/13 07:39:16午後 trainTeacher_main.py:237 [INFO] Valid: [ 20/99] Final Prec@1 82.4200%
07/13 07:39:16午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.8000%
07/13 07:40:31午後 trainTeacher_main.py:209 [INFO] Train: [ 21/99] Final Prec@1 92.0578%
