/home/miura/lab/KD-hdas/results/stat/0-50/g-0.001/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-0.001_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g-0.001/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-0.001_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g-0.001/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-0.001_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g-0.001/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-0.001_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g-0.001/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-0.001_0-50_tb.csv,row_average
3.885204792022705,3.949934959411621,3.996885776519776,3.9150702953338623,3.918743371963501,3.933167839050293
3.627507448196411,3.625088691711426,3.681307077407837,3.6091909408569336,3.639004230499268,3.636419677734375
3.3659093379974365,3.400545597076416,3.406912088394165,3.3788418769836426,3.471885919570923,3.404818964004517
3.27482271194458,3.1477339267730717,3.2275466918945312,3.2443342208862305,3.194608688354492,3.217809247970581
3.046347379684448,3.021045446395874,3.0814428329467773,2.9949233531951904,3.010002851486206,3.0307523727416994
2.8754351139068604,2.8709099292755127,2.966010332107544,2.8652360439300537,2.9015374183654785,2.8958257675170898
2.7298591136932373,2.750166654586792,2.818202257156372,2.706253290176392,2.8159189224243164,2.764080047607422
2.593971967697144,2.686244487762451,2.64405369758606,2.6501314640045166,2.699459314346313,2.654772186279297
2.5075972080230717,2.5667428970336914,2.5821542739868164,2.524752140045166,2.5316033363342285,2.542569971084595
2.414100646972656,2.437814950942993,2.4865798950195312,2.459700345993042,2.4586918354034424,2.451377534866333
2.341980457305908,2.3821187019348145,2.456869125366211,2.399319887161255,2.4687905311584477,2.4098157405853273
2.282198667526245,2.2790956497192383,2.3744213581085205,2.293997287750244,2.313260078430176,2.3085946083068847
2.255974769592285,2.222479820251465,2.310986042022705,2.294207096099853,2.319635391235352,2.280656623840332
2.195068359375,2.2060625553131104,2.2504396438598637,2.2029237747192383,2.255533456802368,2.222005558013916
2.138081789016724,2.155103921890259,2.216013193130493,2.205048084259033,2.1398680210113525,2.170823001861572
2.118313789367676,2.15725326538086,2.1740729808807373,2.158144474029541,2.182075023651123,2.157971906661987
2.096065759658813,2.085654258728028,2.113959550857544,2.067715167999268,2.1536333560943604,2.1034056186676025
2.0331082344055176,1.9975838661193848,2.084547996520996,2.0339162349700928,2.0728752613067627,2.0444063186645507
2.0089151859283447,1.9825372695922847,2.067260265350342,2.047065734863281,2.0582869052886963,2.03281307220459
1.9751592874526975,1.9356791973114011,2.0286009311676025,2.054417371749878,2.007772445678711,2.000325846672058
2.008405923843384,2.034888744354248,2.071983337402344,1.9953389167785645,1.98837149143219,2.019797682762146
1.9303083419799805,1.983002066612244,1.9637150764465328,1.994654893875122,1.9278122186660769,1.9598985195159913
1.9321765899658203,1.9185307025909424,1.9535695314407349,2.0468130111694336,2.0339136123657227,1.9770006895065309
1.9131790399551392,1.905286431312561,1.9413284063339236,1.9321640729904173,1.9783934354782104,1.9340702772140503
1.904997944831848,1.914652705192566,1.954731822013855,1.9611667394638064,1.9551836252212524,1.9381465673446656
1.953776836395264,1.9246324300765991,1.946824312210083,1.899606466293335,1.9740971326828003,1.9397874355316163
1.895290493965149,1.8616310358047483,1.9069373607635496,1.9311665296554563,1.9214825630187988,1.9033015966415405
1.9444341659545896,1.8320544958114624,1.8612602949142456,1.8671543598175049,1.94446063041687,1.8898727893829346
1.8731297254562376,1.8178179264068604,1.910175323486328,1.8653292655944824,1.8770824670791624,1.8687069416046143
