/home/miura/lab/KD-hdas/results/stat/20layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-discreteEval-LRreset_tb.csv,row_average
0.0736799985170364,0.0788400024175643,0.0797600001096725,0.066040001809597,0.0791200026869773,0.0694399997591972,0.0684399977326393,0.0808800011873245,0.0703999996185302,0.0829999968409538,0.07496000006794926
0.1165999993681907,0.1187999993562698,0.1103599965572357,0.1024800017476081,0.1077200025320053,0.1193599998950958,0.1061199977993965,0.1149599999189376,0.1076399981975555,0.1142800003290176,0.11183199957013126
0.1522800028324127,0.1602399945259094,0.1341599971055984,0.1544799953699112,0.1583600044250488,0.1348800063133239,0.1480000019073486,0.1489199995994568,0.146479994058609,0.1486800014972686,0.14864799976348875
0.1888799965381622,0.1779199987649917,0.1661600023508072,0.1912399977445602,0.1652799993753433,0.1843999922275543,0.1485600024461746,0.1907199919223785,0.1864800006151199,0.1722799986600875,0.17719199806451796
0.2137199938297271,0.2039999961853027,0.2110799998044967,0.222680002450943,0.1956399977207183,0.197280004620552,0.2126400023698806,0.213479995727539,0.2102800011634826,0.2239599972963333,0.21047599911689757
0.23887999355793,0.2363999933004379,0.2537199854850769,0.2311599999666214,0.228640004992485,0.2347999960184097,0.2242400050163269,0.2288399934768676,0.2419999986886978,0.2391999959945678,0.23578799664974212
0.2721199989318847,0.263399988412857,0.2726399898529053,0.269239991903305,0.2415999919176101,0.263399988412857,0.248319998383522,0.2556000053882599,0.2529999911785126,0.2576799988746643,0.25969999432563784
0.2918800115585327,0.2881200015544891,0.2849999964237213,0.2843199968338012,0.2743200063705444,0.2812399864196777,0.284960001707077,0.2862800061702728,0.2800399959087372,0.2766399979591369,0.28328000009059906
0.3019199967384338,0.3091199994087219,0.2962000072002411,0.3039200007915497,0.302480012178421,0.2876800000667572,0.2941600084304809,0.3123199939727783,0.3027999997138977,0.3104000091552734,0.3021000027656555
0.3195599913597107,0.3028799891471863,0.3245599865913391,0.3278000056743622,0.3067600131034851,0.3141999840736389,0.2983999848365783,0.3195199966430664,0.3212000131607055,0.3267599940299988,0.31616399586200716
