/home/miura/lab/KD-hdas/results/stat/0-50/g-0.1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-0.1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g-0.1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-0.1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g-0.1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-0.1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g-0.1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-0.1_0-50_tb.csv,/home/miura/lab/KD-hdas/results/stat/0-50/g-0.1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-0.1_0-50_tb.csv,row_average
3.9122474193573,3.929905652999878,3.9369421005249023,3.900045156478882,3.913111448287964,3.918450355529785
3.870298385620117,3.5377533435821533,3.67238450050354,3.582352638244629,3.614721298217773,3.6555020332336428
3.3991124629974365,3.305442571640014,3.4229066371917725,3.45517897605896,3.363808870315552,3.389289903640747
3.246062994003296,3.158573627471924,3.2474052906036377,3.3005216121673584,3.1646339893341064,3.2234395027160643
2.9961085319519043,3.0477843284606934,3.0545430183410645,3.0657284259796143,3.018183708190918,3.036469602584839
2.866080045700073,2.877741813659668,2.875295877456665,2.920151233673096,2.884868621826172,2.8848275184631347
2.7812509536743164,2.7119569778442383,2.753249406814575,2.7990784645080566,2.7372307777404785,2.756553316116333
2.649641752243042,2.664297103881836,2.6483154296875,2.668224334716797,2.615732192993164,2.6492421627044678
2.6395277976989746,2.576329469680786,2.632617712020874,2.5575830936431885,2.64221453666687,2.6096545219421388
2.492032289505005,2.5276570320129395,2.5392560958862305,2.5343165397644043,2.5294642448425293,2.5245452404022215
2.463388681411743,2.4216091632843018,2.438465118408203,2.4688994884490967,2.4312849044799805,2.444729471206665
2.3781540393829346,2.436285972595215,2.538501262664795,2.4205446243286133,2.3577256202697754,2.426242303848267
2.348738670349121,2.30842924118042,2.3415539264678955,2.3757729530334477,2.2981245517730717,2.334523868560791
2.291720151901245,2.225381135940552,2.289562702178955,2.2709336280822754,2.263064384460449,2.2681324005126955
2.190970659255981,2.206826448440552,2.1873939037323,2.2908449172973637,2.230670690536499,2.2213413238525392
2.179351806640625,2.2163820266723637,2.186560869216919,2.193552017211914,2.180617332458496,2.1912928104400633
2.1204864978790283,2.1862387657165527,2.155716896057129,2.15751576423645,2.1327803134918213,2.150547647476196
2.142897605895996,2.158184051513672,2.1659772396087646,2.0999128818511963,2.0580978393554688,2.1250139236450196
2.067134141921997,2.115119457244873,2.1167092323303223,2.1181862354278564,2.046173095703125,2.092664432525635
2.0774824619293213,2.0348105430603027,2.137681722640991,2.1239588260650635,2.083485841751098,2.0914838790893553
1.9950543642044067,2.074744462966919,2.122385025024414,2.0349035263061523,2.0765604972839355,2.0607295751571657
2.0100576877593994,2.0419321060180664,2.046693086624145,2.0113682746887207,1.9756138324737549,2.0171329975128174
1.9954428672790527,1.999064326286316,1.99688184261322,2.0073001384735107,1.9739383459091189,1.9945255041122436
1.982672095298767,2.0014827251434326,2.026827096939087,1.9778227806091309,2.0022082328796387,1.9982025861740111
1.9755600690841677,2.0112955570220947,1.9934682846069336,2.0298521518707275,2.038990259170532,2.009833264350891
2.00248122215271,1.9767085313797,1.9291439056396484,1.9260287284851076,1.937815546989441,1.9544355869293213
1.979658842086792,1.917838454246521,1.9904192686080933,1.9041955471038816,1.9214800596237185,1.9427184343338013
1.936695218086243,1.9066500663757324,1.933258295059204,1.8984582424163816,1.8682645559310915,1.9086652755737306
1.8667898178100584,1.8825422525405884,1.955526351928711,1.904298186302185,1.8810594081878664,1.8980432033538819
1.9078372716903689,1.911129593849182,1.896172285079956,1.8970361948013303,1.917951226234436,1.9060253143310546
1.9051207304000852,1.9346859455108645,1.9407912492752075,1.892154574394226,1.8885105848312376,1.9122526168823242
1.872239708900452,1.921526908874512,1.9367755651474,1.8615450859069824,1.8440123796463013,1.8872199296951293
1.913394927978516,1.8856480121612549,1.953952431678772,1.8808808326721191,1.8283370733261108,1.8924426555633544
1.9451327323913572,1.911230444908142,2.301906108856201,1.8953217267990112,1.8502110242843628,1.980760407447815
1.8365370035171509,1.8778020143508911,1.849910378456116,1.8715276718139648,1.8640332221984863,1.8599620580673217
1.836473822593689,1.8536571264266968,1.8967103958129885,1.8670434951782229,1.851207256317139,1.861018419265747
1.8758964538574217,1.8352893590927124,1.9213238954544067,1.8492560386657717,1.8716119527816768,1.870675539970398
1.875109314918518,1.909106969833374,1.823540210723877,1.889466404914856,1.8488655090332031,1.8692176818847657
1.8397895097732544,1.840542197227478,1.8979638814926147,1.8006057739257812,1.825762391090393,1.8409327507019042
1.8607488870620728,1.9965344667434688,1.8685786724090576,1.851218581199646,1.8443483114242556,1.8842857837677003
1.8177661895751955,1.829327940940857,1.8104904890060425,1.82649838924408,1.8181580305099487,1.8204482078552247
1.885122895240784,1.819029450416565,1.8206579685211184,1.832116961479187,1.8467861413955688,1.8407426834106446
1.8419712781906128,2.047860622406006,1.8468071222305296,1.822890400886536,1.787810444831848,1.8694679737091064
1.793603539466858,1.831549882888794,1.795443415641785,1.807524800300598,1.804378151893616,1.80649995803833
1.8510738611221316,1.905004620552063,1.8050920963287356,1.878019094467163,1.8532673120498655,1.8584913969039918
1.8472923040390012,1.866132855415344,1.9016536474227903,1.8292397260665891,1.7937451601028442,1.847612738609314
1.8163082599639893,2.072260618209839,1.933486819267273,1.834296703338623,1.7661731243133545,1.8845051050186157
1.817468881607056,2.496107816696167,1.8830316066741943,2.522615671157837,6.187880992889404,2.9814209938049316
1.7917276620864868,1.775683045387268,1.773699402809143,1.7626733779907229,2.09403657913208,1.8395640134811402
1.873942494392395,1.880536675453186,1.852834939956665,1.786616563796997,2.011096954345703,1.8810055255889893
3.7279553413391113,3.8689937591552734,3.657496213912964,4.003949165344238,3.781085968017578,3.807896089553833
3.12451434135437,3.335261344909668,3.894338846206665,3.332693338394165,3.349212884902954,3.4072041511535645
2.834010362625122,3.1937060356140137,3.167691469192505,3.2159969806671143,3.422116756439209,3.1667043209075927
2.65026330947876,2.9897749423980717,2.888302803039551,3.0929999351501465,3.0346486568450928,2.931197929382324
3.3741958141326904,2.905283212661743,2.6039929389953613,3.2081103324890137,2.832172393798828,2.9847509384155275
3.0661613941192627,2.5846221446990967,2.8272316455841064,2.8167967796325684,2.741187334060669,2.8071998596191405
2.514747381210327,2.5712103843688965,2.816480159759521,2.8355324268341064,2.5794925689697266,2.6634925842285155
2.7075986862182617,2.936041593551636,2.556486129760742,2.741185188293457,2.747495412826538,2.737761402130127
2.259507179260254,2.449301481246948,2.466439008712769,2.523811817169189,2.7491679191589355,2.489645481109619
2.2465932369232178,2.615675926208496,2.384655237197876,2.615140438079834,2.428962469100952,2.458205461502075
2.7815933227539062,2.3924505710601807,2.37458610534668,2.532789468765259,2.4827020168304443,2.512824296951294
2.3151421546936035,2.3674566745758057,2.3855135440826416,2.577073812484741,2.535042285919189,2.436045694351196
3.2942240238189697,2.341025352478028,2.2006635665893555,2.4304237365722656,2.2786827087402344,2.5090038776397705
2.0990538597106934,2.274927854537964,2.260430335998535,2.561774015426636,2.17022442817688,2.2732820987701414
2.1159377098083496,2.229987859725952,2.243703842163086,2.452738046646118,2.292264938354492,2.2669264793396
2.239000082015991,2.347996950149536,2.6672821044921875,2.3682446479797363,2.250798463821411,2.3746644496917724
2.3703784942626958,2.261237382888794,2.436908483505249,2.183558225631714,2.1672329902648926,2.2838631153106688
