/home/miura/lab/KD-hdas/results/stat/30-30/loss/g0.1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g0.1_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g0.1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g0.1_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g0.1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g0.1_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g0.1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g0.1_30-30_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-30/loss/g0.1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g0.1_30-30_tb.csv,row_average
3.899215221405029,3.845064163208008,3.9522767066955566,3.896811008453369,3.9088094234466553,3.9004353046417237
3.644532442092896,3.530613422393799,3.641232967376709,3.5562686920166016,3.579477310180664,3.590424966812134
3.3918190002441406,3.346626043319702,3.418314218521118,3.357769250869751,3.39912748336792,3.3827311992645264
3.1660945415496826,3.1160717010498047,3.2166407108306885,3.1637439727783203,3.180759191513061,3.1686620235443117
3.132822036743164,2.9652225971221924,2.9935765266418457,2.9175171852111816,2.9863076210021973,2.9990891933441164
2.87000584602356,2.8498165607452397,2.862471103668213,2.847563505172729,2.81400465965271,2.84877233505249
2.75299334526062,2.728182792663574,2.780407428741455,2.705495834350586,2.7731242179870605,2.748040723800659
2.6374454498291016,2.596813678741455,2.6820528507232666,2.561610460281372,2.6080493927001958,2.6171943664550783
2.497300863265991,2.572117805480957,2.574884414672852,2.471098661422729,2.5523362159729004,2.533547592163086
2.5072836875915527,2.4597089290618896,2.4469614028930664,2.426786422729492,2.4883852005004883,2.4658251285552977
2.370729923248291,2.3933422565460205,2.483752965927124,2.4467215538024902,2.4124789237976074,2.4214051246643065
2.392817974090576,2.408077955245972,2.330096960067749,2.279250383377075,2.247840404510498,2.331616735458374
2.32690691947937,2.2729978561401367,2.2750089168548584,2.2621309757232666,2.2942960262298584,2.286268138885498
2.222761631011963,2.259871244430542,2.2339437007904053,2.2026853561401367,2.251499652862549,2.234152317047119
2.1395184993743896,2.1710774898529053,2.11443305015564,2.1669023036956787,2.19333291053772,2.1570528507232667
2.1786491870880127,2.1924495697021484,2.08685302734375,2.1012580394744877,2.1268975734710693,2.1372214794158935
2.1344892978668213,2.074512004852295,2.1008880138397217,2.0721805095672607,2.106435537338257,2.097701072692871
2.130772113800049,2.126394510269165,2.0779852867126465,1.9814026355743408,2.0836989879608154,2.0800507068634033
2.0894155502319336,2.041035890579224,2.013796329498291,2.006154060363769,2.047306537628174,2.0395416736602785
2.0071887969970703,2.046849250793457,1.9826581478118896,1.9587867259979248,2.0664825439453125,2.012393093109131
2.0660643577575684,2.043895959854126,2.012076139450073,1.9923014640808103,1.99679172039032,2.0222259283065798
1.99138867855072,1.968600869178772,1.993323922157288,1.9568579196929927,1.9835516214370728,1.9787446022033692
1.945947527885437,1.9778172969818115,1.9541435241699217,1.941095352172852,2.0105788707733154,1.9659165143966675
1.975178599357605,1.959546446800232,1.96744966506958,1.9601374864578247,1.9854310750961304,1.9695486545562744
2.032716751098633,1.9041829109191892,1.9024646282196045,1.974989414215088,2.068749189376831,1.976620578765869
1.887055516242981,1.925093412399292,1.8985679149627688,1.9562349319458008,1.891635060310364,1.9117173671722412
1.9061203002929688,1.9028253555297847,1.902040243148804,1.9185131788253784,1.9215848445892332,1.910216784477234
1.948765754699707,1.8856841325759888,1.851862072944641,1.894858837127685,1.8425588607788088,1.8847459316253663
1.8456801176071167,1.898141860961914,1.8410484790802,1.805749773979187,1.8549643754959104,1.8491169214248657
1.8608853816986084,1.893950700759888,1.882662773132324,1.8859612941741943,1.919937252998352,1.8886794805526734
1.898664474487305,1.855801224708557,1.8610806465148928,1.8620169162750244,1.862415790557861,1.867995810508728
1.836153030395508,1.840460062026977,1.907630920410156,1.829266667366028,1.877852201461792,1.8582725763320922
1.7995095252990725,1.835174322128296,1.7961742877960205,1.7963038682937622,1.8663475513458248,1.8187019109725953
1.839868664741516,1.8238582611083984,1.8317714929580688,1.808904051780701,1.811177492141724,1.8231159925460816
1.8161548376083372,1.7623902559280396,1.805838108062744,1.847049355506897,1.8817362785339355,1.8226337671279906
1.7766335010528564,1.8189635276794436,1.8104044198989868,1.8300634622573853,1.7950081825256348,1.8062146186828614
1.8277127742767332,1.8548789024353027,1.806830883026123,1.830124855041504,1.859447717666626,1.8357990264892579
1.8401952981948853,1.888235330581665,1.7430158853530884,1.8113858699798584,1.8211182355880735,1.8207901239395141
1.7446526288986206,1.7994894981384275,1.8007136583328247,1.8210142850875852,1.7898340225219729,1.7911408185958861
1.814918875694275,1.7970027923583984,1.795671463012695,1.7538925409317017,1.8472821712493896,1.801753568649292
1.7914808988571167,1.7813550233840942,1.7930641174316406,1.8108359575271609,1.7870267629623413,1.7927525520324707
1.7707369327545166,1.795336365699768,1.8858152627944944,1.885616898536682,1.863654613494873,1.840232014656067
1.7892770767211914,1.807544231414795,1.7657158374786377,1.7781648635864258,1.780903697013855,1.784321141242981
