Wall time,Step,Value
1732035899.5896819,0,4.248978614807129
1732035941.444505,1,3.8089828491210938
1732035983.1923873,2,3.5739376544952393
1732036024.8040318,3,3.3830459117889404
1732036066.5475214,4,3.2256104946136475
1732036108.54706,5,3.0579674243927
1732036150.1602151,6,2.911466360092163
1732036191.8708785,7,2.774981737136841
1732036233.8170633,8,2.654463291168213
1732036275.8099473,9,2.552858352661133
1732036317.5452852,10,2.4323770999908447
1732036359.359732,11,2.3329648971557617
1732036401.0934968,12,2.251019239425659
1732036442.8057923,13,2.167371988296509
1732036484.6400983,14,2.0819079875946045
1732036526.3095927,15,2.0104787349700928
1732036568.1758072,16,1.963621735572815
1732036610.3440247,17,1.8916351795196533
1732036652.0777798,18,1.8335623741149902
1732036693.9689572,19,1.8005468845367432
1732036735.6544209,20,1.7466418743133545
1732036777.3495018,21,1.7065095901489258
1732036819.0895882,22,1.6497564315795898
1732036860.785999,23,1.62326979637146
1732036902.3784275,24,1.5763115882873535
1732036944.1058211,25,1.5541486740112305
1732036985.8843892,26,1.5133488178253174
1732037027.566296,27,1.4720158576965332
1732037069.520779,28,1.4639757871627808
1732037111.4024875,29,1.4107582569122314
1732037153.035224,30,1.380200982093811
1732037194.600204,31,1.360338807106018
1732037236.2384665,32,1.330680251121521
1732037277.9506178,33,1.321641445159912
1732037319.674764,34,1.290698766708374
1732037361.5157447,35,1.269197940826416
1732037403.1726158,36,1.2479485273361206
1732037444.9201434,37,1.2312153577804565
1732037486.4547493,38,1.1997547149658203
1732037528.0740008,39,1.1814007759094238
1732037569.70423,40,1.1565802097320557
1732037611.297084,41,1.148695468902588
1732037652.8864324,42,1.1312649250030518
1732037694.6209614,43,1.1173452138900757
1732037736.4915056,44,1.0924694538116455
1732037778.1994622,45,1.0607694387435913
1732037820.0396802,46,1.0541470050811768
1732037861.785197,47,1.046138882637024
1732037903.6108055,48,1.0243819952011108
1732037945.4004316,49,1.0109063386917114
1732037978.0378916,50,1.7552272081375122
1732038010.0375166,51,1.5759083032608032
1732038042.1173227,52,1.510882019996643
1732038073.7574348,53,1.4643210172653198
1732038105.384876,54,1.4288512468338013
1732038137.0949159,55,1.4025967121124268
1732038168.8456256,56,1.3727086782455444
1732038200.6898153,57,1.3480846881866455
1732038232.8973086,58,1.3341597318649292
1732038266.0421872,59,1.3178644180297852
1732038299.1455178,60,1.2964967489242554
1732038331.9858518,61,1.271677851676941
1732038365.0404325,62,1.2525547742843628
1732038398.2591846,63,1.244542121887207
1732038431.304879,64,1.2348146438598633
1732038463.0610454,65,1.2143592834472656
1732038494.6677477,66,1.192307710647583
1732038527.715625,67,1.1813889741897583
1732038559.895107,68,1.1573512554168701
1732038591.9636436,69,1.147562861442566
1732038625.0418096,70,1.1378620862960815
1732038658.1814256,71,1.1179325580596924
1732038691.0498,72,1.1038177013397217
1732038723.9423258,73,1.0933270454406738
1732038756.2361372,74,1.083080530166626
1732038789.0930173,75,1.0570111274719238
1732038821.9855623,76,1.0444024801254272
1732038855.2600029,77,1.0322680473327637
1732038887.4291441,78,1.0087289810180664
1732038920.5685427,79,0.997305691242218
1732038952.5909374,80,0.9916167855262756
1732038984.6384294,81,0.9733062982559204
1732039016.737161,82,0.9598575234413147
1732039049.7760391,83,0.9439117908477783
1732039082.1535487,84,0.9269997477531433
1732039114.0656989,85,0.914645254611969
1732039147.3219688,86,0.8941497802734375
1732039180.4791296,87,0.8855985403060913
1732039213.7405317,88,0.8606389760971069
1732039245.6408381,89,0.85097336769104
1732039277.5258393,90,0.8351202011108398
1732039310.6656432,91,0.8097922205924988
1732039343.685884,92,0.8010075092315674
1732039376.4956348,93,0.7925500869750977
1732039409.414008,94,0.7689749598503113
1732039442.584894,95,0.760125458240509
1732039475.6006887,96,0.7333824634552002
1732039508.6618423,97,0.7207761406898499
1732039541.6437979,98,0.7064124345779419
1732039574.7539191,99,0.6981635093688965
1732039607.833678,100,0.6707482933998108
1732039640.9695363,101,0.6570994257926941
