/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-discreteEval-LRreset_tb.csv,row_average
4.231462001800537,4.248978614807129,4.273375988006592,4.245156288146973,4.26771354675293,4.2677106857299805,4.336612224578857,4.277251720428467,4.256791114807129,4.226536273956299,4.263158845901489
3.809514760971069,3.8089828491210938,3.8590900897979736,3.8827075958251953,3.821781635284424,3.8551082611083984,3.889456033706665,3.871879100799561,3.8624911308288574,3.844506025314331,3.8505517482757567
3.5585083961486816,3.5739376544952397,3.620772838592529,3.635622262954712,3.6188132762908936,3.618263721466065,3.651810646057129,3.630084991455078,3.612823009490967,3.616043329238892,3.6136680126190184
3.3484737873077397,3.3830459117889404,3.4159438610076904,3.4156649112701416,3.433931350708008,3.416984796524048,3.453233003616333,3.4282474517822266,3.4037463665008545,3.4043922424316406,3.4103663682937624
3.177341938018799,3.2256104946136475,3.2356672286987305,3.2336690425872803,3.2684268951416016,3.240114450454712,3.278281688690185,3.2499680519104004,3.229053497314453,3.220792531967163,3.235892581939697
3.01692533493042,3.0579674243927,3.0670557022094727,3.068809509277344,3.1258833408355717,3.082772731781006,3.1101670265197754,3.0851175785064697,3.0711257457733154,3.0460848808288574,3.073190927505493
2.871065855026245,2.911466360092163,2.914571046829224,2.9164464473724365,2.9773709774017334,2.947381496429444,2.9620182514190674,2.954731702804565,2.919119358062744,2.8951308727264404,2.926930236816406
2.7574620246887207,2.774981737136841,2.779407024383545,2.800621271133423,2.8502047061920166,2.824584722518921,2.8300206661224365,2.808699369430542,2.788689613342285,2.787905693054199,2.800257682800293
2.642310380935669,2.654463291168213,2.6635730266571045,2.68391752243042,2.7309603691101074,2.6988675594329834,2.7115445137023926,2.6927309036254883,2.6743505001068115,2.6592776775360107,2.68119957447052
2.532029867172241,2.552858352661133,2.562692165374756,2.567990064620972,2.625504732131958,2.5978658199310303,2.600079298019409,2.5806591510772705,2.5473296642303467,2.554558277130127,2.5721567392349245
2.434147357940674,2.4323770999908447,2.4544460773468018,2.4543042182922363,2.5260539054870605,2.5037283897399902,2.4936654567718506,2.478191375732422,2.4530062675476074,2.4509897232055664,2.4680909872055055
2.3448166847229004,2.3329648971557617,2.354279041290283,2.361881971359253,2.441617727279663,2.393667221069336,2.400718688964844,2.394772529602051,2.361904621124268,2.367292642593384,2.3753916025161743
2.256216287612915,2.251019239425659,2.274381399154663,2.27659273147583,2.354947090148926,2.3109188079833984,2.3214926719665527,2.30289626121521,2.275301456451416,2.2787466049194336,2.2902512550354004
2.1941347122192383,2.167371988296509,2.186284303665161,2.1980695724487305,2.285728454589844,2.2350099086761475,2.221734046936035,2.225646734237671,2.1836516857147217,2.2138187885284424,2.21114501953125
2.108354091644287,2.0819079875946045,2.1174421310424805,2.139021873474121,2.211355447769165,2.1525824069976807,2.1439900398254395,2.154711961746216,2.1174283027648926,2.1334447860717773,2.1360239028930663
