/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-relaxEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer-analogLRreset/acc/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-relaxEval-LRreset_tb.csv,row_average
0.0690400004386901,0.068120002746582,0.0553999990224838,0.0777200013399124,0.0778400003910064,0.06351999938488,0.0702800005674362,0.0836799964308738,0.0592000000178813,0.0657999962568283,0.06905999965965744
0.1138800010085105,0.1157199963927269,0.1148400008678436,0.1037999987602233,0.1134399995207786,0.0896399989724159,0.1081999987363815,0.1072399988770484,0.1098399981856346,0.1198000013828277,0.1096399992704391
0.1376399993896484,0.1451199948787689,0.1357599943876266,0.161080002784729,0.1469199955463409,0.1352400034666061,0.1413200050592422,0.1662800014019012,0.1341200023889541,0.1678799986839294,0.1471359997987747
0.1955599933862686,0.1739600002765655,0.1868399977684021,0.1837199926376342,0.1664000004529953,0.190200001001358,0.1819199919700622,0.1794400066137313,0.1733199954032898,0.2007199972867965,0.18320799767971035
0.1940000057220459,0.215159997344017,0.2039199918508529,0.2133200019598007,0.2121199965476989,0.1982800066471099,0.2160400003194809,0.2144799977540969,0.2068399935960769,0.2312400043010711,0.21053999960422515
0.2431199997663498,0.2296800017356872,0.2387599945068359,0.2507199943065643,0.2321600019931793,0.237199991941452,0.242479994893074,0.2354799956083297,0.2311599999666214,0.2542000114917755,0.23949599862098694
0.2656799852848053,0.2583599984645843,0.2690399885177612,0.2574400007724762,0.2584800124168396,0.2629599869251251,0.2612000107765198,0.2698799967765808,0.249559998512268,0.2899200022220611,0.26425199806690214
0.2768000066280365,0.2664799988269806,0.2879599928855896,0.2873600125312805,0.2764399945735931,0.2879599928855896,0.2700800001621246,0.2917599976062774,0.2769199907779693,0.2968400120735168,0.2818599998950958
0.2885200083255768,0.299919992685318,0.3126800060272217,0.304280012845993,0.2877599895000458,0.2951599955558777,0.3071999847888946,0.3061200082302093,0.2815999984741211,0.3208799958229065,0.30041199922561646
0.3168399930000305,0.3181599974632263,0.3204799890518188,0.326880007982254,0.3185200095176697,0.3135600090026855,0.3264800012111664,0.3062399923801422,0.3147599995136261,0.3242000043392181,0.31861200034618375
