/home/miura/lab/KD-hdas/results/stat/30-20/acc/g0.01/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g0.01_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g0.01/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g0.01_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g0.01/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g0.01_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g0.01/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g0.01_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g0.01/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g0.01_30-20_tb.csv,row_average
0.0817200019955635,0.0841199979186058,0.0873999968171119,0.0827599987387657,0.0805599987506866,0.08331199884414671
0.1525200009346008,0.1281999945640564,0.133880004286766,0.1339599937200546,0.1406800001859665,0.13784799873828885
0.1810799986124038,0.1529600024223327,0.1701599955558776,0.1705600023269653,0.1684799939393997,0.16864799857139584
0.2198400050401687,0.2034399956464767,0.2058400064706802,0.1935600042343139,0.2066799998283386,0.20587200224399563
0.2576000094413757,0.2331199944019317,0.2480400055646896,0.2330400049686432,0.2565599977970123,0.24567200243473047
0.2753199934959411,0.2678799927234649,0.2840400040149688,0.2759200036525726,0.2767199873924255,0.2759759962558746
0.3019999861717224,0.2975200116634369,0.3048799932003021,0.3045200109481811,0.2976399958133697,0.30131199955940247
0.3398799896240234,0.3159999847412109,0.3132399916648865,0.3258799910545349,0.3371599912643432,0.3264319896697998
0.3419199883937835,0.3478800058364868,0.3264400064945221,0.3431200087070465,0.3404400050640106,0.33996000289916994
0.3596799969673157,0.3584400117397308,0.3620800077915191,0.3566800057888031,0.3599199950695038,0.35936000347137453
0.3751600086688995,0.3678799867630005,0.382559984922409,0.3788000047206878,0.3535999953746795,0.3715999960899353
