07/16 12:21:08AM parser.py:28 [INFO] 
07/16 12:21:08AM parser.py:29 [INFO] Parameters:
07/16 12:21:08AM parser.py:31 [INFO] ADVANCED=True
07/16 12:21:08AM parser.py:31 [INFO] BATCH_SIZE=64
07/16 12:21:08AM parser.py:31 [INFO] CIFAR=True
07/16 12:21:08AM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/16 12:21:08AM parser.py:31 [INFO] DATA_PATH=../data/
07/16 12:21:08AM parser.py:31 [INFO] DATASET=cifar100
07/16 12:21:08AM parser.py:31 [INFO] DESCRIPTION=pretrained_LR_features-0.001_classifier-0.01_cosine_warmup-0
07/16 12:21:08AM parser.py:31 [INFO] EPOCHS=50
07/16 12:21:08AM parser.py:31 [INFO] EXP_NAME=pretrained-20240716-002108
07/16 12:21:08AM parser.py:31 [INFO] GPUS=[0]
07/16 12:21:08AM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/16 12:21:08AM parser.py:31 [INFO] LR=0.001
07/16 12:21:08AM parser.py:31 [INFO] LR_MIN=0.0001
07/16 12:21:08AM parser.py:31 [INFO] MODEL_NAME=efficientnet_v2_s
07/16 12:21:08AM parser.py:31 [INFO] MOMENTUM=0.9
07/16 12:21:08AM parser.py:31 [INFO] NAME=FINETUNE2
07/16 12:21:08AM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_v2_s/FINETUNE2/pretrained-20240716-002108
07/16 12:21:08AM parser.py:31 [INFO] PRETRAINED=True
07/16 12:21:08AM parser.py:31 [INFO] SAVE=pretrained
07/16 12:21:08AM parser.py:31 [INFO] SEED=0
07/16 12:21:08AM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/16 12:21:08AM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/16 12:21:08AM parser.py:31 [INFO] WORKERS=4
07/16 12:21:08AM parser.py:32 [INFO] 
07/16 12:21:09AM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/16 12:36:50午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.4000%
07/16 12:37:55午前 trainTeacher_main.py:210 [INFO] Train: [ 14/49] Final Prec@1 96.3267%
07/16 12:37:57午前 trainTeacher_main.py:238 [INFO] Valid: [ 14/49] Final Prec@1 85.1800%
07/16 12:37:57午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.4000%
07/16 12:39:02午前 trainTeacher_main.py:210 [INFO] Train: [ 15/49] Final Prec@1 96.6467%
07/16 12:39:04午前 trainTeacher_main.py:238 [INFO] Valid: [ 15/49] Final Prec@1 84.9200%
07/16 12:39:04午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.4000%
07/16 12:40:08午前 trainTeacher_main.py:210 [INFO] Train: [ 16/49] Final Prec@1 96.9844%
07/16 12:40:10午前 trainTeacher_main.py:238 [INFO] Valid: [ 16/49] Final Prec@1 85.0200%
07/16 12:40:10午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.4000%
07/16 12:41:15午前 trainTeacher_main.py:210 [INFO] Train: [ 17/49] Final Prec@1 97.2733%
07/16 12:41:17午前 trainTeacher_main.py:238 [INFO] Valid: [ 17/49] Final Prec@1 85.6200%
07/16 12:41:17午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.6200%
07/16 12:42:22午前 trainTeacher_main.py:210 [INFO] Train: [ 18/49] Final Prec@1 97.5067%
07/16 12:42:24午前 trainTeacher_main.py:238 [INFO] Valid: [ 18/49] Final Prec@1 85.1600%
07/16 12:42:24午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.6200%
07/16 12:43:29午前 trainTeacher_main.py:210 [INFO] Train: [ 19/49] Final Prec@1 97.6778%
07/16 12:43:31午前 trainTeacher_main.py:238 [INFO] Valid: [ 19/49] Final Prec@1 85.6800%
07/16 12:43:31午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.6800%
07/16 12:44:36午前 trainTeacher_main.py:210 [INFO] Train: [ 20/49] Final Prec@1 97.8422%
07/16 12:44:38午前 trainTeacher_main.py:238 [INFO] Valid: [ 20/49] Final Prec@1 85.3800%
07/16 12:44:38午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.6800%
