/home/miura/lab/KD-hdas/results/stat/30-20/acc/g1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/acc/g1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g1_30-20_tb.csv,row_average
0.0949999988079071,0.0797199979424476,0.0945200026035308,0.0874399989843368,0.0797600001096725,0.08728799968957897
0.1558399945497512,0.1210400015115737,0.1402000039815902,0.1369999945163726,0.1376799941062927,0.13835199773311607
0.1863600015640258,0.1816399991512298,0.1823599934577942,0.1658799946308136,0.1773599982261657,0.1787199974060058
0.2153200060129165,0.2115599960088729,0.2065600007772445,0.2071200013160705,0.206399992108345,0.2093919992446899
0.2467599958181381,0.2254000008106231,0.2477999925613403,0.252480000257492,0.2420399934053421,0.2428959965705871
0.293720006942749,0.2813999950885772,0.2730399966239929,0.274399995803833,0.2681599855422973,0.27814399600028994
0.3030399978160858,0.2888799905776977,0.2990399897098541,0.3001199960708618,0.2924000024795532,0.29669599533081054
0.3360799849033355,0.3143199980258941,0.3267599940299988,0.3056800067424774,0.3299599885940552,0.32255999445915223
0.3416799902915954,0.3512400090694427,0.3411200046539306,0.3393999934196472,0.3444800078868866,0.3435840010643005
0.3454799950122833,0.3430799841880798,0.3537999987602234,0.3644799888134002,0.3612000048160553,0.35360799431800843
0.3652800023555755,0.3772799968719482,0.3785600066184997,0.3684400022029876,0.3710399866104126,0.37211999893188474
0.3803600072860718,0.3884400129318237,0.3948400020599365,0.3955200016498565,0.3790799975395202,0.38764800429344176
0.4145599901676178,0.3949599862098694,0.3928399980068207,0.4113999903202057,0.4016799926757812,0.40308799147605895
0.4069600105285644,0.4083200097084045,0.4142400026321411,0.4100399911403656,0.4187999963760376,0.41167200207710264
0.402999997138977,0.4238399863243103,0.4101600050926208,0.4313200116157532,0.4320800006389618,0.42008000016212466
0.4375599920749664,0.4346799850463867,0.4185599982738495,0.4246399998664856,0.4305199980735779,0.4291919946670532
0.4326800107955932,0.4440400004386902,0.4408000111579895,0.443120002746582,0.4380800127983093,0.4397440075874329
0.4566400051116943,0.4514400064945221,0.4355599880218506,0.4543600082397461,0.4634000062942505,0.4522800028324127
