/home/miura/lab/KD-hdas/results/stat/30-20/g-0.1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-0.1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-0.1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-0.1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-0.1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-0.1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-0.1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-0.1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-0.1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-0.1_30-20_tb.csv,row_average
3.9121713638305664,3.9956560134887695,3.900748252868652,3.902734518051148,3.88959264755249,3.920180559158325
3.582829475402832,3.6448724269866943,3.6537232398986816,3.5716402530670166,3.607655763626098,3.6121442317962646
3.4379312992095947,3.432249069213867,3.3294930458068848,3.3629281520843506,3.356685161590576,3.3838573455810548
3.1822688579559326,3.187739133834839,3.163360595703125,3.1824870109558105,3.2144134044647217,3.1860538005828856
3.058035373687744,3.037314891815185,3.0219435691833496,3.0649614334106445,2.944575786590576,3.0253662109375
2.832493782043457,2.872077703475952,2.838447093963623,2.8463144302368164,2.817462921142578,2.841359186172485
2.679692029953003,2.795886993408203,2.733090877532959,2.730426073074341,2.7329354286193848,2.734406280517578
2.5804431438446045,2.5978899002075195,2.6513421535491943,2.650425434112549,2.6596994400024414,2.6279600143432615
2.536782503128052,2.5750763416290283,2.604975461959839,2.5347375869750977,2.5538785457611084,2.561090087890625
2.463208675384521,2.420970916748047,2.466562509536743,2.416815757751465,2.4292125701904297,2.439354085922241
2.378377914428711,2.3981359004974365,2.390294551849365,2.3323192596435547,2.3912041187286377,2.378066349029541
2.282972574234009,2.3797707557678223,2.3058054447174072,2.260169506072998,2.285022497177124,2.3027481555938722
2.210042953491211,2.23510217666626,2.254855871200561,2.2152085304260254,2.280709981918335,2.2391839027404785
2.19903826713562,2.2078824043273926,2.1857447624206543,2.1981868743896484,2.207952976226806,2.1997610569000243
2.1719653606414795,2.174935340881348,2.1500535011291504,2.1330056190490723,2.144106149673462,2.1548131942749023
2.1068782806396484,2.146610736846924,2.1502139568328857,2.1161720752716064,2.1526968479156494,2.1345143795013426
2.0777010917663574,2.0958759784698486,2.100767135620117,2.083090782165528,2.115731954574585,2.094633388519287
2.031527042388916,2.0951390266418457,2.068830966949463,2.014537811279297,2.0303399562835693,2.048074960708618
2.0359978675842285,2.075755834579468,2.0095455646514893,2.0340569019317627,2.1569249629974365,2.062456226348877
1.981186389923096,2.037095546722412,1.9919371604919436,2.0897576808929443,1.9908677339553835,2.018168902397156
1.9565974473953247,2.0096538066864014,2.011952638626098,1.950965404510498,1.9749102592468264,1.9808159112930297
2.102528810501098,1.974584460258484,1.9774200916290283,1.9386630058288572,1.9622386693954468,1.991087007522583
1.922217845916748,1.9171708822250368,1.952412724494934,1.9459556341171265,2.020982265472412,1.9517478704452516
1.9475736618041992,1.97871196269989,1.9890615940093996,1.9773287773132324,1.9847720861434937,1.975489616394043
1.9740381240844729,1.9275323152542116,1.903896808624268,1.9386171102523804,2.011406421661377,1.9510981559753418
1.9063973426818848,1.9122676849365237,1.9603495597839355,1.8323609828948972,1.883309006690979,1.898936915397644
1.865455985069275,1.8977864980697632,1.942598581314087,1.850143313407898,1.9121958017349243,1.8936360359191895
1.8588335514068604,1.9468690156936648,1.8845412731170652,1.8936896324157717,1.8395633697509768,1.8846993684768676
1.8276586532592771,1.8860127925872805,1.8622196912765503,1.82786238193512,1.8102760314941408,1.8428059101104737
1.9712496995925903,1.8534517288208008,1.8730067014694212,1.808199644088745,1.88388466835022,1.8779584884643554
1.8640881776809688,1.817960500717163,1.8352652788162231,1.853835105895996,1.8490417003631592,1.844038152694702
1.774096965789795,1.8366225957870483,1.8310129642486568,1.7786763906478882,1.895638465881348,1.8232094764709472
1.7964963912963867,1.8325157165527344,1.8249144554138184,1.853609919548035,1.940998077392578,1.8497069120407104
1.82995879650116,1.830337405204773,1.8076984882354736,1.8462371826171875,1.8209388256073,1.8270341396331786
1.8097715377807615,1.8117010593414309,1.8169608116149905,1.8345307111740112,1.811702847480774,1.8169333934783936
1.845615267753601,1.819722294807434,1.812486171722412,1.8367202281951904,1.8099054098129272,1.824889874458313
1.8413081169128416,1.894822597503662,1.7815790176391602,1.8092578649520876,1.7870570421218872,1.8228049278259277
1.8189117908477783,1.8456668853759768,1.7823888063430786,1.7709236145019531,1.740145206451416,1.7916072607040405
1.822792053222656,1.7832684516906738,1.8074125051498413,1.7677544355392456,1.8265472650527956,1.8015549421310424
1.8436589241027832,1.7789288759231567,1.7939832210540771,1.8412832021713257,1.803186058998108,1.8122080564498901
1.811319589614868,1.7996755838394165,1.7748981714248655,1.779951572418213,1.8096208572387693,1.7950931549072267
1.9131954908370967,1.8024102449417116,1.772564172744751,1.7857754230499268,1.8866958618164065,1.8321282386779785
1.824768543243408,1.7920129299163818,1.7493771314620972,1.8031030893325808,1.8105499744415283,1.7959623336791992
1.7543290853500366,1.7609760761260986,1.7708497047424316,1.7335513830184937,1.7505476474761963,1.7540507793426514
1.7934616804122925,1.7587751150131226,1.7929847240447998,1.780482292175293,1.7581325769424438,1.7767672777175902
1.7982292175292969,1.777947187423706,1.754663348197937,1.721340298652649,1.7909650802612305,1.7686290264129638
1.7569546699523926,1.786933422088623,1.7773706912994385,1.739633083343506,1.7822240591049194,1.7686231851577758
1.810082197189331,1.7322579622268677,1.7590800523757937,1.752281665802002,1.819834589958191,1.774707293510437
1.783143401145935,1.805505633354187,1.763025403022766,1.7722828388214111,1.7378549575805664,1.7723624467849732
1.741500973701477,1.7884297370910645,1.727842092514038,1.7256011962890625,1.7638237476348877,1.749439549446106
3.197803020477295,2.7032041549682617,2.92836332321167,2.9550509452819824,3.2855403423309326,3.013992357254028
2.476237297058105,2.767506599426269,2.443218946456909,2.565845489501953,2.8008675575256348,2.6107351779937744
2.6057021617889404,2.275673151016236,2.481930494308472,2.261298418045044,2.599376678466797,2.4447961807250977
2.476423740386963,2.347864866256714,2.5319247245788574,2.225374460220337,2.607802629470825,2.4378780841827394
2.247056245803833,2.881545066833496,2.179131031036377,2.123161792755127,2.262756109237671,2.338730049133301
2.084639310836792,2.0457186698913574,2.301366806030273,2.020298719406128,2.600703477859497,2.2105453968048097
2.169097661972046,1.8769071102142332,2.1848361492156982,2.135305166244507,2.2375264167785645,2.1207345008850096
2.1166231632232666,1.900084972381592,2.2150216102600098,2.372509479522705,2.145937204360962,2.150035285949707
2.219943046569824,1.9871940612792969,2.010436773300171,1.944604992866516,2.048301696777344,2.0420961141586305
1.887770652770996,1.9556286334991453,2.020353078842163,2.074962615966797,2.2037193775177,2.0284868717193603
2.066112995147705,2.5873024463653564,2.0953049659729004,1.9372427463531492,2.1110386848449707,2.1594003677368163
2.163704872131348,1.8713923692703247,1.9285125732421875,1.8542054891586304,2.0032262802124023,1.9642083168029785
1.8502548933029173,1.802998185157776,2.319767713546753,1.965615153312683,1.908760666847229,1.9694793224334717
2.079014539718628,1.8579484224319456,1.872125625610352,1.9743739366531368,2.018348455429077,1.960362195968628
2.0801444053649902,1.9806675910949707,2.2566182613372803,1.9803305864334104,1.9023003578186035,2.040012240409851
1.9702098369598389,2.0072619915008545,2.2311930656433105,2.167891025543213,2.073648452758789,2.0900408744812013
1.9803956747055051,2.222276210784912,1.835610628128052,1.9126232862472532,1.9698017835617063,1.9841415166854859
