Wall time,Step,Value
1733848107.9540718,391,3.9171292781829834
1733848108.1569493,0,3.9171292781829834
1733848347.5383222,782,3.585434913635254
1733848347.7372973,1,3.585434913635254
1733848587.206862,1173,3.3547229766845703
1733848587.3829381,2,3.3547229766845703
1733848827.2073014,1564,3.165616035461426
1733848827.3844502,3,3.165616035461426
1733849066.1350374,1955,3.0059750080108643
1733849066.3208208,4,3.0059750080108643
1733849304.6987534,2346,2.8631839752197266
1733849304.8859458,5,2.8631839752197266
1733849544.671288,2737,2.7827348709106445
1733849544.8658633,6,2.7827348709106445
1733849783.9440794,3128,2.6814403533935547
1733849784.1258292,7,2.6814403533935547
1733850024.3398037,3519,2.710599899291992
1733850024.5362322,8,2.710599899291992
1733850263.2658973,3910,2.4786226749420166
1733850263.4628015,9,2.4786226749420166
1733850502.2338674,4301,2.388253927230835
1733850502.4066002,10,2.388253927230835
1733850741.1463587,4692,2.3339779376983643
1733850741.3428984,11,2.3339779376983643
1733850981.5873132,5083,2.3424606323242188
1733850981.7752516,12,2.3424606323242188
1733851220.6075902,5474,2.291170835494995
1733851220.7933562,13,2.291170835494995
1733851460.5358183,5865,2.1721127033233643
1733851460.7189486,14,2.1721127033233643
1733851699.58711,6256,2.1356704235076904
1733851699.7666998,15,2.1356704235076904
1733851939.044668,6647,2.091670513153076
1733851939.219371,16,2.091670513153076
1733852179.3577304,7038,2.061012029647827
1733852179.5386956,17,2.061012029647827
1733852418.8792064,7429,2.1291139125823975
1733852419.0611143,18,2.1291139125823975
1733852657.7890048,7820,2.038442611694336
1733852657.9715822,19,2.038442611694336
1733852896.6321058,8211,2.0247411727905273
1733852896.8036578,20,2.0247411727905273
1733853137.4054482,8602,2.017585515975952
1733853137.5876126,21,2.017585515975952
1733853377.804578,8993,1.9518743753433228
1733853377.9877741,22,1.9518743753433228
1733853617.0558193,9384,1.9418413639068604
1733853617.2380054,23,1.9418413639068604
1733853856.522916,9775,1.9593145847320557
1733853856.6777468,24,1.9593145847320557
1733854095.3469543,10166,1.9657238721847534
1733854095.5278065,25,1.9657238721847534
1733854334.2086067,10557,1.9273804426193237
1733854334.3723233,26,1.9273804426193237
1733854574.496774,10948,1.9161230325698853
1733854574.6756845,27,1.9161230325698853
1733854812.6052191,11339,1.899963617324829
1733854812.7801409,28,1.899963617324829
1733855051.7812672,11730,1.9247968196868896
1733855051.9695494,29,1.9247968196868896
1733855292.2982607,12121,1.9131357669830322
1733855292.4669192,30,1.9131357669830322
1733855531.7009885,12512,1.8126318454742432
1733855531.864031,31,1.8126318454742432
1733855772.0467875,12903,1.8523976802825928
1733855772.2211487,32,1.8523976802825928
1733856011.0245345,13294,1.8360917568206787
1733856011.2113607,33,1.8360917568206787
1733856250.009891,13685,1.8412888050079346
1733856250.184243,34,1.8412888050079346
1733856489.8185112,14076,1.8413230180740356
1733856489.9935915,35,1.8413230180740356
1733856730.0687037,14467,1.901324987411499
1733856730.3142633,36,1.901324987411499
1733856969.078387,14858,1.844084620475769
1733856969.3681314,37,1.844084620475769
1733857207.647063,15249,1.7910184860229492
1733857207.9387457,38,1.7910184860229492
1733857446.028397,15640,1.811909556388855
1733857446.3016756,39,1.811909556388855
1733857683.510669,16031,1.794519305229187
1733857683.7816243,40,1.794519305229187
1733857922.0402453,16422,1.8056576251983643
1733857922.3065813,41,1.8056576251983643
1733858159.7920952,16813,1.830069661140442
1733858160.0571108,42,1.830069661140442
