"average","step","sample1","sample2","sample3","sample4","sample5"
3.92379932403564,0,3.87792944908142,3.98159790039062,3.92145848274231,3.91712927818298,3.92088150978088
3.5948438167572,1,3.56697368621826,3.56296610832214,3.57283210754395,3.58543491363525,3.68601226806641
3.38160772323608,2,3.45403099060059,3.4052722454071,3.36225295066833,3.35472297668457,3.33175945281982
3.18243465423584,3,3.2734534740448,3.171950340271,3.13724136352539,3.16561603546143,3.16391205787659
2.99629340171814,4,3.03833699226379,3.00431656837463,2.9298791885376,3.00597500801086,3.00295925140381
2.84755997657776,5,2.89321327209473,2.8264856338501,2.79334831237793,2.86318397521973,2.86156868934631
2.73500208854675,6,2.76824641227722,2.70095419883728,2.71618127822876,2.78273487091064,2.70689368247986
2.61782894134521,7,2.60315728187561,2.60077524185181,2.54891490936279,2.68144035339355,2.65485692024231
2.60586853027344,8,2.50524854660034,2.68812274932861,2.55981516838074,2.71059989929199,2.5655562877655
2.47446856498718,9,2.54882669448853,2.44068312644958,2.43108606338501,2.47862267494202,2.47312426567078
2.39970684051514,10,2.43547868728638,2.3474428653717,2.40442872047424,2.38825392723083,2.42293000221252
2.32737174034119,11,2.31079983711243,2.29823136329651,2.36792707443237,2.33397793769836,2.32592248916626
2.27995672225952,12,2.33264231681824,2.21111083030701,2.25438618659973,2.34246063232422,2.25918364524841
2.22882633209228,13,2.23702239990234,2.20097136497498,2.18234729766846,2.291170835495,2.23261976242065
2.17097930908203,14,2.22385144233704,2.18368196487427,2.12132859230041,2.17211270332336,2.15392184257507
2.15156502723694,15,2.15219974517822,2.17604374885559,2.14293074607849,2.13567042350769,2.1509804725647
2.0922107219696,16,2.1351215839386,2.05281329154968,2.07513523101807,2.09167051315308,2.1063129901886
2.04456815719604,17,2.0572612285614,2.0150351524353,2.07323145866394,2.06101202964783,2.01630091667175
2.06073069572449,18,2.0747127532959,1.99745607376099,2.04951739311218,2.1291139125824,2.05285334587097
2.02751033306122,19,2.094642162323,1.95235407352448,2.03763318061829,2.03844261169434,2.014479637146
2.03016700744629,20,2.03234767913818,2.02315807342529,2.08124184608459,2.02474117279053,1.98934626579285
1.98871912956238,21,1.99953198432922,1.96300876140594,1.98781096935272,2.01758551597595,1.97565841674805
1.95889210700989,22,1.99577021598816,1.91834723949432,1.99085605144501,1.95187437534332,1.93761265277863
1.96228966712952,23,1.97616958618164,1.93329250812531,2.01219177246094,1.94184136390686,1.94795310497284
1.96016578674316,24,1.99966335296631,1.93318617343903,1.96859622001648,1.95931458473206,1.94006860256195
1.93006761074066,25,1.93652951717377,1.91764497756958,1.90136253833771,1.96572387218475,1.9290771484375
1.89625451564789,26,1.92204809188843,1.91415286064148,1.8371866941452,1.92738044261932,1.88050448894501
1.88603074550629,27,1.86994695663452,1.85423541069031,1.94255340099335,1.91612303256989,1.84729492664337
1.86984584331512,28,1.9152809381485,1.84093248844147,1.88196623325348,1.89996361732483,1.81108593940735
1.9018935918808,29,1.8943897485733,1.87668395042419,1.87715816497803,1.92479681968689,1.93643927574158
1.87495636940002,30,1.89620041847229,1.84819352626801,1.84241712093353,1.91313576698303,1.87483501434326
1.86821985244751,31,1.86033630371094,1.89573776721954,1.82391667366028,1.81263184547424,1.94847667217255
1.8460107088089,32,1.87739038467407,1.81699812412262,1.85758697986603,1.85239768028259,1.82568037509918
1.84058215618134,33,1.82061517238617,1.84076082706451,1.87565171718597,1.83609175682068,1.82979130744934
1.8071551322937,34,1.87784826755524,1.78023433685303,1.77349889278412,1.84128880500793,1.76290535926819
1.82801070213318,35,1.793048620224,1.81511116027832,1.85368168354034,1.84132301807404,1.83688902854919
1.83002998828888,36,1.91120874881744,1.74435687065125,1.82487678527832,1.9013249874115,1.76838254928589
1.81473076343536,37,1.8302229642868,1.78366541862488,1.83927047252655,1.84408462047577,1.77641034126282
1.80065340995789,38,1.81613087654114,1.8079686164856,1.80908715724945,1.79101848602295,1.7790619134903
1.80698571205139,39,1.84237825870514,1.76293551921844,1.84003603458405,1.81190955638886,1.77766919136047
1.79209380149841,40,1.82566070556641,1.76051330566406,1.77311050891876,1.79451930522919,1.80666518211365
1.81606090068817,41,1.79505562782288,1.79125380516052,1.81262278556824,1.80565762519836,1.87571465969086
1.79853312969208,42,1.79534327983856,1.78325545787811,1.80042767524719,1.83006966114044,1.78356957435608
1.7632896900177,43,1.77957499027252,1.75972700119019,1.76721525192261,1.76164650917053,1.74828469753265
1.78721485137939,44,1.77464139461517,1.75782549381256,1.7753244638443,1.86057281494141,1.76771008968353
1.76424100399017,45,1.76729071140289,1.75486218929291,1.75514829158783,1.77561473846436,1.76828908920288
1.7950403213501,46,1.77699911594391,1.78760921955109,1.83645021915436,1.79634273052216,1.77780032157898
1.76729018688202,47,1.78625166416168,1.74826967716217,1.76800394058228,1.74895024299622,1.78497540950775
1.75010497570038,48,1.75546157360077,1.71246314048767,1.76471424102783,1.76283097267151,1.75505495071411
1.76629719734192,49,1.81822288036346,1.76138746738434,1.75675547122955,1.76820540428162,1.72691476345062
2.29954977035522,50,2.3555896282196,2.20695877075195,2.2897572517395,2.31098532676697,2.3344578742981
2.12362089157104,51,2.09927845001221,2.03853058815002,2.02353620529175,2.22971105575562,2.22704815864563
2.04081189632416,52,2.08810305595398,2.07338452339172,2.04137182235718,1.94029867649078,2.06090140342712
1.97168459892273,53,2.00518870353699,1.95303189754486,1.95291447639465,1.91130006313324,2.03598785400391
1.93309166431427,54,2.02612018585205,2.02510595321655,1.89937174320221,1.78100168704987,1.93385875225067
1.94683957099915,55,2.05115747451782,1.82850170135498,1.85855102539063,1.89826273918152,2.09772491455078
1.8161928653717,56,1.8347270488739,1.7902398109436,1.76930165290833,1.80549740791321,1.88119840621948
1.85996842384338,57,1.89458286762238,1.86656200885773,1.85233235359192,1.80413913726807,1.88222575187683
1.88308913707733,58,1.75988876819611,1.82707607746124,2.06849265098572,1.89452052116394,1.86546766757965
1.76083498001099,59,1.71955800056458,1.77646970748901,1.74106955528259,1.79570305347443,1.77137458324432
1.82033834457397,60,1.70349681377411,1.70235192775726,2.04578542709351,1.7190580368042,1.9309995174408
1.77233824729919,61,1.78290033340454,1.78219723701477,1.81581723690033,1.73488938808441,1.74588704109192
1.72604751586914,62,1.68883144855499,1.67762279510498,1.75839829444885,1.67985439300537,1.82553064823151
1.80877351760864,63,1.82422697544098,1.72687757015228,1.92983555793762,1.84951114654541,1.71341633796692
1.78342170715332,64,1.748814702034,1.85373532772064,1.71270930767059,1.80790066719055,1.79394853115082
1.7539954662323,65,1.68996453285217,1.73303842544556,1.78290414810181,1.71652638912201,1.84754383563995
1.72028222084045,66,1.6776602268219,1.6963005065918,1.745321393013,1.72331035137177,1.75881862640381
1.67757773399353,67,1.62033927440643,1.71829640865326,1.6189638376236,1.66976737976074,1.76052176952362
1.74381921291351,68,1.65539729595184,1.75433993339539,1.73187291622162,1.69952511787415,1.87796080112457
1.70065624713898,69,1.67118430137634,1.70352721214294,1.67537403106689,1.69336569309235,1.75982999801636
1.70929338932037,70,1.75388491153717,1.79105365276337,1.68796372413635,1.59178328514099,1.72178137302399
1.74675874710083,71,1.72008037567139,1.78762221336365,1.78185510635376,1.73467087745667,1.70956516265869
1.73212921619415,72,1.63441073894501,1.67786157131195,1.94854092597961,1.73287391662598,1.66695892810822
1.64419143199921,73,1.56195938587189,1.59374308586121,1.68837809562683,1.65605854988098,1.72081804275513
1.67954888343811,74,1.67476117610931,1.67619323730469,1.64886164665222,1.65843415260315,1.73949420452118
1.70025355815887,75,1.56497526168823,1.64815592765808,1.67909097671509,1.70209324359894,1.90695238113403
1.67455017566681,76,1.68416917324066,1.65099251270294,1.73611056804657,1.64771807193756,1.65376055240631
1.66494789123535,77,1.60547018051147,1.73989975452423,1.63860702514648,1.55463099479675,1.78613150119782
1.67419922351837,78,1.70168590545654,1.62963366508484,1.76791083812714,1.64093244075775,1.63083326816559
1.66138434410095,79,1.64724171161652,1.70612442493439,1.597691655159,1.68474674224854,1.67111718654633
1.62240047454834,80,1.63055193424225,1.64099109172821,1.67240524291992,1.62080812454224,1.54724597930908
1.59912841320038,81,1.51194608211517,1.54526054859161,1.65976667404175,1.5738890171051,1.70477974414825
1.62877197265625,82,1.71729981899261,1.49487686157227,1.6894109249115,1.68265461921692,1.55961763858795
1.60331530570984,83,1.62205326557159,1.69354677200317,1.58529841899872,1.50876593589783,1.60691213607788
1.59362518787384,84,1.66689324378967,1.59030985832214,1.60869765281677,1.51935195922852,1.5828732252121
1.6376588344574,85,1.6225118637085,1.57695913314819,1.87111628055573,1.49843943119049,1.61926746368408
1.59153170585632,86,1.58601975440979,1.57023239135742,1.63075172901154,1.58013963699341,1.59051501750946
1.58535916805267,87,1.49929404258728,1.68234241008759,1.56548762321472,1.63237130641937,1.54730045795441
1.59735901355743,88,1.55431032180786,1.63824045658112,1.6024888753891,1.60046589374542,1.59128952026367
1.55490875244141,89,1.60542297363281,1.49416923522949,1.55125558376312,1.5451477766037,1.57854819297791
1.59493961334229,90,1.56906199455261,1.58302140235901,1.52136826515198,1.54176723957062,1.75947916507721
1.59239683151245,91,1.65701460838318,1.63372623920441,1.55003786087036,1.54886376857758,1.57234168052673
1.57875788211823,92,1.63921654224396,1.57107675075531,1.5429984331131,1.59217953681946,1.5483181476593
1.57386786937714,93,1.62107121944428,1.59806787967682,1.57111430168152,1.50658941268921,1.57249653339386
1.56006052494049,94,1.56313490867615,1.59641122817993,1.52352595329285,1.56052255630493,1.5567079782486
1.53516426086426,95,1.58875381946564,1.56872189044952,1.44015753269196,1.51842904090881,1.55975902080536
1.5693128824234,96,1.60184741020203,1.5608948469162,1.55713868141174,1.60207259654999,1.52461087703705
1.51506898403168,97,1.49834263324738,1.54269623756409,1.4628986120224,1.45717525482178,1.61423218250275
1.57643053531647,98,1.6284453868866,1.58557391166687,1.50826227664948,1.57566857337952,1.58420252799988
1.54224135875702,99,1.52779173851013,1.5113685131073,1.54986155033112,1.544193983078,1.57799100875855
1.54991598129272,100,1.60219550132751,1.50901329517365,1.53797852993011,1.60582065582275,1.49457192420959
1.52292563915253,101,1.54297184944153,1.61886632442474,1.4958530664444,1.42937183380127,1.5275651216507
1.55854659080505,102,1.4821183681488,1.57063269615173,1.50860178470612,1.54388809204102,1.6874920129776
1.48945822715759,103,1.49304103851318,1.52601218223572,1.43151438236237,1.48688352108002,1.50984001159668
1.53336384296417,104,1.56963837146759,1.54519784450531,1.47303080558777,1.55725955963135,1.52169263362885
1.48932149410248,105,1.52573001384735,1.48817276954651,1.44849407672882,1.47188115119934,1.51232945919037
1.48688197135925,106,1.48464691638947,1.53239047527313,1.45215332508087,1.49539828300476,1.46982085704803
1.49648478031158,107,1.51960837841034,1.49905514717102,1.51188170909882,1.50724101066589,1.44463765621185
1.48926572799683,108,1.48929488658905,1.56832873821259,1.43242764472961,1.53657805919647,1.41969931125641
1.48617222309113,109,1.50419628620148,1.50170814990997,1.50229728221893,1.46138679981232,1.46127259731293
1.48340089321136,110,1.51231122016907,1.4707168340683,1.41313028335571,1.524698138237,1.49614799022675
1.48642175197601,111,1.46677589416504,1.5197126865387,1.44341719150543,1.52835476398468,1.47384822368622
1.49146699905396,112,1.47275459766388,1.5065803527832,1.46954655647278,1.53526020050049,1.47319328784943
1.49250619411469,113,1.53222191333771,1.49498558044434,1.42751550674438,1.46954083442688,1.53826713562012
1.49420528411865,114,1.53342342376709,1.51835286617279,1.43291783332825,1.49127316474915,1.49505913257599
1.48408010005951,115,1.53391218185425,1.53528654575348,1.40600204467773,1.52429020404816,1.42090952396393
1.47692730426788,116,1.45247364044189,1.52536702156067,1.47022891044617,1.46756839752197,1.46899855136871
1.45587191581726,117,1.48042619228363,1.47214210033417,1.39933753013611,1.46200025081635,1.46545350551605
1.46549263000488,118,1.49537026882172,1.51445019245148,1.38833630084991,1.48711562156677,1.44219076633453
1.47821588516235,119,1.47025847434998,1.54123866558075,1.49861347675324,1.47018575668335,1.41078305244446
1.46554639339447,120,1.50661277770996,1.48482024669647,1.40318179130554,1.47453725337982,1.45857989788055
1.46213569641113,121,1.47232413291931,1.52084982395172,1.43650901317596,1.44419813156128,1.43679738044739
1.47557051181793,122,1.48921740055084,1.54115831851959,1.43474113941193,1.48823046684265,1.42450523376465
1.44558262825012,123,1.47750771045685,1.47895550727844,1.39319407939911,1.44733858108521,1.43091726303101
