/home/miura/lab/KD-hdas/results/stat/50-0/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g0_50-0_tb.csv,/home/miura/lab/KD-hdas/results/stat/50-0/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g0_50-0_tb.csv,/home/miura/lab/KD-hdas/results/stat/50-0/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g0_50-0_tb.csv,/home/miura/lab/KD-hdas/results/stat/50-0/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g0_50-0_tb.csv,/home/miura/lab/KD-hdas/results/stat/50-0/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g0_50-0_tb.csv,row_average
3.95890474319458,3.926121473312378,3.8828089237213135,3.9516992568969727,3.8599894046783447,3.9159047603607178
3.675558090209961,3.591902494430542,3.5572917461395264,3.5425467491149902,3.604321241378784,3.594324064254761
3.3854033946990967,3.345160722732544,3.22813081741333,3.441096305847168,3.3380141258239746,3.347561073303223
3.127742052078247,3.1571574211120605,3.088622808456421,3.211721181869507,3.138859510421753,3.1448205947875976
2.9800033569335938,3.030220031738281,3.033900737762451,3.113919496536255,3.077012062072754,3.047011137008667
2.8637566566467285,2.9310402870178223,2.783964872360229,2.897163152694702,2.8770101070404053,2.8705870151519775
2.681030511856079,2.7124922275543213,2.702906608581543,2.749512195587158,2.7287168502807617,2.714931678771973
2.6216092109680176,2.529406309127808,2.5651895999908447,2.637977600097656,2.580879211425781,2.5870123863220216
2.513153076171875,2.4939441680908203,2.4551141262054443,2.587840795516968,2.5607173442840576,2.522153902053833
2.434551477432251,2.4063708782196045,2.4052419662475586,2.549482583999634,2.442972421646118,2.447723865509033
2.3599853515625,2.3810300827026367,2.3125669956207275,2.365297079086304,2.432396650314331,2.3702552318573
2.3037338256835938,2.22297477722168,2.266548156738281,2.3050537109375,2.4183342456817627,2.3033289432525637
2.2399449348449707,2.2146332263946533,2.2458791732788086,2.3756141662597656,2.2514476776123047,2.2655038356781008
2.24890398979187,2.164371967315674,2.17987060546875,2.2328834533691406,2.259108066558838,2.2170276165008547
2.1411495208740234,2.166591167449951,2.1310110092163086,2.169297933578491,2.1788787841796875,2.1573856830596925
2.1231529712677,2.115732192993164,2.127525329589844,2.1437458992004395,2.180115938186645,2.1380544662475587
2.0563507080078125,2.056318521499634,2.056861162185669,2.0931060314178467,2.072760581970215,2.0670794010162354
2.0430729389190674,1.9752075672149656,2.0553464889526367,2.0603673458099365,2.1158652305603027,2.049971914291382
2.018052101135254,1.9674644470214844,2.060511589050293,2.0791800022125244,2.049069404602051,2.034855508804321
1.999609112739563,1.96312952041626,2.047422170639038,2.131087303161621,2.0178375244140625,2.0318171262741087
1.9553821086883545,1.95588493347168,1.984724521636963,2.087104320526123,2.0524566173553467,2.0071105003356933
1.96519935131073,1.976743221282959,1.942425847053528,1.9405280351638796,2.006051778793335,1.9661896467208861
1.97371244430542,1.9177790880203247,1.906596064567566,2.0176587104797363,1.965305209159851,1.9562103033065796
1.958094835281372,1.942121744155884,1.8982425928115845,2.004490852355957,1.9529967308044436,1.951189351081848
1.9467320442199707,1.9032459259033203,1.8805330991744995,1.957924723625183,1.9426506757736208,1.926217293739319
1.883604884147644,1.866028070449829,1.9620810747146609,1.8891000747680664,1.8926143646240237,1.8986856937408447
1.895411491394043,1.8407261371612549,1.8393431901931765,1.9206480979919436,1.9367880821228027,1.886583399772644
1.865724802017212,1.8810465335845947,1.889543890953064,1.844979166984558,1.940923810005188,1.8844436407089233
1.8238905668258667,1.8211369514465328,1.8491774797439573,1.8540685176849363,1.920547604560852,1.8537642240524292
1.905752182006836,1.805519938468933,1.8391860723495483,1.8318440914154053,1.8581998348236084,1.8481004238128662
1.8873459100723269,1.8399808406829836,1.8288774490356443,1.93465793132782,1.8655270338058472,1.8712778329849242
1.810414433479309,1.785861849784851,1.7946627140045166,1.7938852310180664,1.923428297042847,1.821650505065918
1.8754584789276123,1.7686827182769775,1.7815220355987549,1.85108482837677,1.8379532098770144,1.8229402542114257
1.7746349573135376,1.8216067552566528,1.8235658407211304,1.841498017311096,1.8394923210144043,1.8201595783233642
1.823513150215149,1.7951496839523315,1.7743515968322754,1.9225653409957888,1.8252594470977783,1.8281678438186646
1.7888805866241455,1.7905566692352295,1.782473087310791,1.7994080781936646,1.8121345043182373,1.7946905851364137
1.811941146850586,1.7885627746582031,1.7899423837661743,1.8303992748260496,1.823281168937683,1.8088253498077393
1.774751901626587,1.7404314279556274,1.7946959733963013,1.7855080366134644,1.8713791370391848,1.793353295326233
1.8201192617416384,1.7664717435836792,1.7568535804748535,1.782491683959961,1.8309632539749143,1.7913799047470094
1.7819433212280271,1.7741044759750366,1.74227774143219,1.833936095237732,1.7724483013153076,1.7809419870376586
1.751110315322876,1.7829787731170654,1.7197438478469849,1.791751742362976,1.8022677898406985,1.76957049369812
1.8102154731750488,1.859371900558472,1.7684515714645386,1.824669599533081,1.8307898044586184,1.8186996698379516
1.790349364280701,1.7743585109710691,1.7475934028625488,1.7690831422805786,1.7739380598068235,1.7710644960403443
1.743508219718933,1.7556371688842771,1.7828772068023682,1.7423800230026243,1.7957526445388794,1.7640310525894165
1.7588341236114502,1.7594646215438845,1.7515573501586914,1.7752511501312256,1.799210786819458,1.768863606452942
1.7860169410705566,1.742652177810669,1.723529577255249,1.7521281242370603,1.7673745155334473,1.7543402671813966
1.729211688041687,1.7618155479431152,1.7463914155960083,1.7848777770996094,1.7893891334533691,1.7623371124267577
1.7370538711547852,1.761762022972107,1.721111297607422,1.885396957397461,1.842705488204956,1.7896059274673461
1.754591464996338,1.732251524925232,1.671255588531494,1.721181869506836,1.774028778076172,1.7306618452072144
1.7439929246902466,1.7209845781326294,1.7206605672836304,1.7527143955230713,1.7591832876205444,1.7395071506500244
2.2269766330718994,2.2077434062957764,2.37634539604187,2.264949321746826,2.385315179824829,2.2922659873962403
2.036093711853028,2.1318118572235107,2.0845603942871094,2.02512788772583,2.253129482269287,2.106144666671753
1.9116467237472532,2.018228769302368,1.9042651653289795,2.010699987411499,2.090203046798706,1.9870087385177613
1.945350289344788,1.969236135482788,2.055663108825684,1.9841967821121216,1.887335181236267,1.9683562994003296
1.9181225299835205,1.9561846256256104,1.7996408939361572,1.9230592250823972,1.936299562454224,1.906661367416382
1.8881672620773315,1.9295161962509155,1.7305850982666016,2.0286202430725098,1.975672960281372,1.910512351989746
1.826221585273743,1.9619526863098145,1.7018107175827026,1.861582398414612,1.8375804424285889,1.8378295660018922
1.8531498908996584,1.9291192293167116,1.757083296775818,1.9238029718399048,1.694612741470337,1.8315536260604859
1.8850460052490237,1.7392607927322388,1.8343385457992556,1.767313838005066,1.831645369529724,1.8115209102630616
1.8062069416046145,1.8989918231964111,1.738731026649475,1.8514939546585083,1.8058112859725952,1.8202470064163208
1.948768615722656,1.9285722970962524,1.8073179721832275,1.8383002281188965,1.7327429056167605,1.8511404037475585
1.7268437147140503,1.7970677614212036,1.6322721242904663,1.933905243873596,1.6875330209732056,1.7555243730545045
1.7262542247772217,1.8334767818450928,1.804764032363892,1.855495572090149,1.803768754005432,1.8047518730163574
1.6704927682876587,1.7763572931289673,1.896161794662476,1.7961645126342771,1.695845603942871,1.76700439453125
1.641904592514038,1.7138100862503052,1.6343092918395996,1.796242117881775,1.8393996953964236,1.7251331567764283
1.7297500371932983,1.730966329574585,1.7820817232131958,1.739124417304993,1.7732692956924438,1.7510383605957032
1.722416877746582,1.7176997661590576,1.743404507637024,1.699808120727539,1.9429786205291748,1.7652615785598755
1.6918056011199951,1.7494707107543943,1.584560751914978,1.6817854642868042,1.7013098001480105,1.6817864656448365
1.718916654586792,2.0096256732940674,1.667057991027832,1.7155810594558716,1.7650489807128906,1.7752460718154908
1.7443662881851196,1.6969741582870483,1.657130002975464,1.7625837326049805,1.6512833833694458,1.7024675130844116
1.6930363178253174,1.6885871887207031,1.6018671989440918,1.7241429090499878,1.7926762104034424,1.7000619649887085
1.6246366500854492,1.6564003229141235,1.699180245399475,1.730437397956848,1.7914284467697144,1.7004166126251221
1.6798158884048462,1.6062341928482056,1.691515564918518,1.85171377658844,1.833734154701233,1.7326027154922485
1.6713964939117432,1.5752023458480835,1.6057380437850952,1.630824327468872,1.644447684288025,1.6255217790603638
1.739688515663147,1.706886649131775,1.6706748008728027,1.6706169843673706,1.6620572805404663,1.6899848461151123
1.6455087661743164,1.651283860206604,1.621680736541748,1.627600073814392,1.954725980758667,1.7001598834991456
1.6285687685012815,1.719901442527771,1.5286046266555786,1.6550045013427734,1.6932281255722046,1.6450614929199219
1.7353534698486328,1.635877013206482,1.6367195844650269,1.595404863357544,1.7784894704818726,1.6763688802719117
1.6614094972610474,1.652198076248169,1.6475833654403689,1.5971946716308594,1.8061482906341555,1.6729067802429198
1.6368310451507568,1.6461883783340454,1.5894997119903564,1.5644986629486084,1.6671520471572876,1.620833969116211
1.6319903135299685,1.6013450622558594,1.610507607460022,1.726104497909546,1.6692177057266235,1.6478330373764039
1.666589856147766,1.5985504388809204,1.4830788373947144,1.5582355260849,1.5938185453414917,1.5800546407699585
1.5841186046600342,1.6716792583465576,1.7292029857635498,1.6255230903625488,1.596007227897644,1.6413062334060669
1.655056715011597,1.6076916456222534,1.5559180974960327,1.571408748626709,1.6800826787948608,1.6140315771102904
1.622837781906128,1.586169958114624,1.5102664232254028,1.7265914678573608,1.5919511318206787,1.607563352584839
1.592357516288757,1.6041854619979858,1.5203473567962646,1.569744348526001,1.6034120321273804,1.578009343147278
1.5946686267852783,1.6223859786987305,1.6495193243026731,1.5458043813705444,1.652335286140442,1.6129427194595336
1.529622197151184,1.6088056564331057,1.611444115638733,1.5683209896087646,1.6246203184127808,1.5885626554489136
1.5374367237091064,1.612952470779419,1.5144037008285522,1.5804600715637207,1.5958268642425537,1.5682159662246704
1.598305583000183,1.5505932569503784,1.5643303394317627,1.5497479438781738,1.590733766555786,1.5707421779632569
1.6536386013031006,1.54171621799469,1.4633842706680298,1.5101922750473022,1.5849542617797852,1.5507771253585816
1.5593358278274536,1.7254434823989868,1.5335650444030762,1.5579127073287964,1.5691652297973633,1.5890844583511352
1.6066371202468872,1.5495359897613523,1.49791157245636,1.6647659540176392,1.6433709859848022,1.5924443244934081
1.639346718788147,1.617438793182373,1.5794074535369873,1.5546622276306152,1.6287713050842283,1.6039252996444702
1.605243682861328,1.755146026611328,1.4889978170394895,1.663665533065796,1.563156247138977,1.6152418613433839
1.5931196212768557,1.5493838787078855,1.4932029247283936,1.630119800567627,1.5115290880203247,1.5554710626602173
1.5083277225494385,1.539734959602356,1.4931234121322632,1.4548158645629885,1.5978262424468994,1.518765640258789
1.5227980613708496,1.5427110195159912,1.4922077655792236,1.5616389513015747,1.5553094148635864,1.534933042526245
1.599147915840149,1.6607954502105713,1.5058376789093018,1.477861404418945,1.5177710056304932,1.552282691001892
1.5872297286987305,1.5865379571914673,1.5300801992416382,1.4835985898971558,1.58117413520813,1.5537241220474243
1.5825951099395752,1.5551897287368774,1.484067440032959,1.5660345554351809,1.6173295974731443,1.5610432863235473
1.5444037914276123,1.5770378112792969,1.5018433332443235,1.4274413585662842,1.5807844400405884,1.5263021469116211
1.537650227546692,1.5592799186706543,1.5637980699539185,1.4483433961868286,1.5630019903182983,1.5344147205352783
1.540395736694336,1.5506244897842407,1.513797640800476,1.4541058540344238,1.4760797023773191,1.5070006847381592
1.5526108741760254,1.582344889640808,1.5377267599105835,1.4296127557754517,1.5611474514007568,1.5326885461807251
1.570465326309204,1.5905630588531494,1.5246106386184692,1.5255260467529297,1.5275260210037231,1.547738218307495
1.5047063827514648,1.5245620012283323,1.493468999862671,1.4624435901641846,1.521884799003601,1.5014131546020508
1.5434612035751345,1.5606614351272583,1.4951163530349731,1.4504586458206177,1.547859787940979,1.5195114850997924
1.5785702466964722,1.499419093132019,1.5006242990493774,1.4246476888656616,1.570268988609314,1.514706063270569
1.5997823476791382,1.5376064777374268,1.4995410442352295,1.4705315828323364,1.4960227012634275,1.5206968307495117
1.5845518112182615,1.5286028385162354,1.4841402769088743,1.4804949760437012,1.46783447265625,1.5091248750686646
1.592223882675171,1.5270098447799685,1.4800716638565063,1.4245529174804688,1.5453282594680786,1.5138373136520387
1.5184186697006226,1.4662925004959106,1.5228201150894165,1.4880551099777222,1.5153188705444336,1.502181053161621
1.5544061660766602,1.5321677923202517,1.452123761177063,1.4125382900238037,1.505186676979065,1.4912845373153687
1.527943134307861,1.5556511878967283,1.5520305633544922,1.4545936584472656,1.500721096992493,1.518187928199768
1.532699465751648,1.551788091659546,1.453359842300415,1.4826141595840454,1.4860295057296753,1.5012982130050658
1.5838041305541992,1.5708521604537964,1.4636985063552856,1.4927259683609009,1.568682074546814,1.5359525680541992
1.5562111139297483,1.536024808883667,1.4975838661193848,1.4555325508117676,1.5591411590576172,1.520898699760437
1.546156406402588,1.5444419384002686,1.4667470455169678,1.4229918718338013,1.5310261249542236,1.5022726774215698
1.4952306747436523,1.511068344116211,1.4861133098602295,1.4407384395599363,1.534366250038147,1.4935034036636352
1.5519846677780151,1.546443223953247,1.474418878555298,1.442948341369629,1.5100727081298828,1.5051735639572144
1.5569664239883425,1.5076508522033691,1.41492760181427,1.419933557510376,1.5218533277511597,1.4842663526535034
1.5052921772003174,1.502991795539856,1.4643069505691528,1.4750107526779177,1.5107505321502686,1.4916704416275024
1.5119454860687256,1.5310664176940918,1.4420815706253052,1.432745337486267,1.5211403369903564,1.4877958297729492
1.511638641357422,1.5072407722473145,1.4344426393508911,1.387010097503662,1.4816447496414185,1.4643953800201417
