/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-1_30-20_tb.csv,row_average
3.971039533615112,3.937777996063232,4.00384521484375,3.8863236904144287,3.887940406799317,3.937385368347168
3.598306179046631,3.626266479492188,3.628537893295288,3.606691837310791,3.6546924114227295,3.6228989601135253
3.3929901123046875,3.374820709228516,3.574374198913574,3.329890727996826,3.4545342922210693,3.4253220081329347
3.19891357421875,3.1676394939422607,3.1907830238342285,3.175119638442993,3.251333951950073,3.196757936477661
3.026086568832397,3.0447261333465576,3.014981985092163,2.9261841773986816,3.066619873046875,3.015719747543335
2.878381490707397,2.9500460624694824,2.830942153930664,2.827338933944702,2.9533884525299072,2.8880194187164308
2.6822330951690674,2.771840810775757,2.730372905731201,2.7694647312164307,2.8209729194641118,2.7549768924713134
2.632366418838501,2.765449047088623,2.605611801147461,2.7000412940979004,2.6399002075195312,2.6686737537384033
2.5449373722076416,2.5768136978149414,2.522120952606201,2.5350680351257324,2.562406301498413,2.548269271850586
2.423956871032715,2.4903836250305176,2.407410144805908,2.426196813583374,2.488731861114502,2.4473358631134032
2.379716157913208,2.4016964435577397,2.332709789276123,2.350092887878418,2.3673300743103027,2.366309070587158
2.3855295181274414,2.341446876525879,2.297496795654297,2.248706579208374,2.29845929145813,2.3143278121948243
2.2881224155426025,2.359892606735229,2.2126080989837646,2.264845848083496,2.282825469970703,2.281658887863159
